RM_Number,RM_Name,Census_Division,Population_2021,Weather_Station,Station_km
316,Harris,Division No. 12,205,Rosetown East,36
317,Marriott,Division No. 12,349,Rosetown East,16
318,Mountain View,Division No. 12,358,Rosetown East,34
319,Winslow,Division No. 13,344,Rosetown East,61
320,Oakdale,Division No. 13,216,Scott CDA,72
321,Prairiedale,Division No. 13,246,Scott CDA,86
322,Antelope Park,Division No. 13,124,Leader Airport,95
331,Livingston,Division No.  9,281,Kelliher,161
333,Clayton,Division No.  9,631,Kelliher,134
334,Preeceville,Division No.  9,966,Kelliher,115
335,Hazel Dell,Division No.  9,511,Kelliher,99
336,Sasman,Division No. 10,813,Kelliher,80
337,Lakeview,Division No. 10,366,Kelliher,87
338,Lakeside,Division No. 10,396,Melfort,86
339,Leroy,Division No. 10,457,Watrous East,58
340,Wolverine,Division No. 11,511,Watrous East,45
341,Viscount,Division No. 11,320,Watrous East,34
342,Colonsay,Division No. 11,260,Watrous East,49
343,Blucher,Division No. 11,1984,Watrous East,72
344,Corman Park,Division No. 11,8909,Outlook PFRA,83
345,Vanscoy,Division No. 12,2799,Outlook PFRA,59
346,Perdue,Division No. 12,471,Rosetown East,57
347,Biggar,Division No. 12,805,Rosetown East,53
349,Grandview,Division No. 13,230,Scott CDA,46
350,Mariposa,Division No. 13,291,Scott CDA,41
351,Progress,Division No. 13,265,Scott CDA,52
352,Heart's Hill,Division No. 13,234,Scott CDA,75
366,Kelvington,Division No. 14,366,Melfort,93
367,Ponass Lake,Division No. 14,416,Melfort,75
368,Spalding,Division No. 14,420,Melfort,63
369,St. Peter,Division No. 15,723,Melfort,65
370,Humboldt,Division No. 15,961,Watrous East,65
371,Bayne,Division No. 15,461,Watrous East,69
372,Grant,Division No. 15,525,Watrous East,81
373,Aberdeen,Division No. 15,1461,Watrous East,92
376,Eagle Creek,Division No. 12,643,North Battleford RCS,72
377,Glenside,Division No. 12,206,North Battleford RCS,47
378,Rosemount,Division No. 12,175,Scott CDA,40
379,Reford,Division No. 13,222,Scott CDA,17
380,Tramping Lake,Division No. 13,402,Scott CDA,12
381,Grass Lake,Division No. 13,389,Scott CDA,39
382,Eye Hill,Division No. 13,552,Scott CDA,69
394,Hudson Bay,Division No. 14,1145,Nipawin,124
395,Porcupine,Division No. 14,736,Nipawin,98
397,Barrier Valley,Division No. 14,485,Melfort,56
398,Pleasantdale,Division No. 14,599,Melfort,35
399,Lake Lenore,Division No. 15,506,Melfort,32
400,Three Lakes,Division No. 15,725,Melfort,57
401,Hoodoo,Division No. 15,802,Melfort,75
402,Fish Creek,Division No. 15,364,Melfort,92
403,Rosthern,Division No. 15,2473,Watrous East,122
404,Laird,Division No. 15,1304,North Battleford RCS,106
405,Great Bend,Division No. 16,381,North Battleford RCS,78
406,Mayfield,Division No. 16,391,North Battleford RCS,40
409,Buffalo,Division No. 13,420,Scott CDA,19
410,Round Valley,Division No. 13,384,Scott CDA,30
411,Senlac,Division No. 13,198,Scott CDA,62
426,Bjorkdale,Division No. 14,906,Melfort,74
427,Tisdale,Division No. 14,885,Melfort,42
428,Star City,Division No. 14,811,Melfort,13
429,Flett's Springs,Division No. 15,656,Melfort,14
430,Invergordon,Division No. 15,563,Melfort,45
431,St. Louis,Division No. 15,1029,Melfort,79
434,Blaine Lake,Division No. 16,301,North Battleford RCS,95
435,Redberry,Division No. 16,372,North Battleford RCS,68
436,Douglas,Division No. 16,342,North Battleford RCS,39
437,North Battleford,Division No. 16,687,North Battleford RCS,9
438,Battle River,Division No. 12,1029,North Battleford RCS,11
439,Cut Knife,Division No. 13,415,Scott CDA,47
440,Hillsdale,Division No. 13,528,Scott CDA,63
442,Manitou Lake,Division No. 13,505,Scott CDA,85
456,Arborfield,Division No. 14,338,Nipawin,38
457,Connaught,Division No. 14,491,Nipawin,31
458,Willow Creek,Division No. 14,683,Melfort,28
459,Kinistino,Division No. 15,604,Melfort,34
460,Birch Hills,Division No. 15,658,Melfort,60
461,Prince Albert,Division No. 15,3438,Melfort,81
463,Duck Lake,Division No. 15,1010,Melfort,107
464,Leask,Division No. 16,857,North Battleford RCS,105
466,Meeting Lake,Division No. 16,335,North Battleford RCS,57
467,Round Hill,Division No. 16,394,North Battleford RCS,39
468,Meota,Division No. 17,1110,North Battleford RCS,31
469,Turtle River,Division No. 17,307,North Battleford RCS,54
470,Paynton,Division No. 17,238,North Battleford RCS,61
471,Eldon,Division No. 17,700,North Battleford RCS,84
472,Wilton,Division No. 17,1473,Scott CDA,109
486,Moose Range,Division No. 14,942,Nipawin,34
487,Nipawin,Division No. 14,958,Nipawin,4
488,Torch River,Division No. 14,1219,Nipawin,29
490,Garden River,Division No. 15,647,Melfort,78
491,Buckland,Division No. 15,3277,Melfort,95
493,Shellbrook,Division No. 16,1581,Melfort,123
494,Canwood,Division No. 16,1351,North Battleford RCS,125
496,Spiritwood,Division No. 16,1245,North Battleford RCS,89
497,Medstead,Division No. 16,489,North Battleford RCS,64
498,Parkdale,Division No. 17,725,North Battleford RCS,76
499,Mervin,Division No. 17,1711,Meadow Lake,73
501,Frenchman Butte,Division No. 17,1250,Meadow Lake,84
502,Britannia,Division No. 17,2061,Meadow Lake,117
520,Paddockwood,Division No. 15,1071,Melfort,106
521,Lakeland,Division No. 15,1300,Melfort,125
555,Big River,Division No. 16,994,Meadow Lake,100
561,Loon Lake,Division No. 17,836,Meadow Lake,40
588,Meadow Lake,Division No. 17,2553,Meadow Lake,6
622,Beaver River,Division No. 17,1277,Meadow Lake,64
