Year,RM,Winter Wheat,Canola,Spring Wheat,Mustard,Durum,Sunflowers,Oats,Lentils,Peas,Barley,Fall Rye,Canary Seed,Spring Rye,Tame Hay,Flax,Chickpeas
2004,1,53.1,23.3,37.4,792,NA,1300,68,NA,38.4,56.3,56.7,1000,NA,NA,20.9,NA
2005,1,36.7,27.3,26.5,NA,NA,1100,67,NA,23.5,38,38.4,NA,NA,NA,13.4,NA
2006,1,43.2,23.3,30.6,NA,NA,1250,56,NA,31.9,48.9,41,NA,NA,NA,14.7,NA
2007,1,41.9,22.5,30.3,NA,NA,1049,61,NA,38,55.7,34.2,NA,NA,NA,18.6,NA
2008,1,37.5,23.2,36.6,NA,NA,1000,60.9,NA,31.9,54.9,37.4,NA,NA,NA,16.9,NA
2009,1,43.2,34.2,41.8,NA,NA,NA,73.7,NA,45.7,58.2,47.1,NA,NA,NA,26.1,NA
2010,1,56.8,27.6,37.8,1012,NA,1048,69.2,678,24.8,60.9,47.6,NA,NA,NA,15.5,NA
2011,1,30.6,17.2,24.8,NA,NA,NA,41.5,NA,10.7,9.6,29.8,NA,NA,NA,NA,NA
2012,1,54,22.3,36.2,NA,NA,NA,54.7,NA,29,53.8,51.8,NA,NA,NA,18,NA
2013,1,47.1,32.1,47.4,1125,NA,NA,58.7,NA,38.2,73.7,NA,NA,NA,NA,30.2,NA
2014,1,43.3,26.21,NA,476.02,NA,0,59.69,NA,36.8,52.08,39.23,NA,0,0,18.23,NA
2015,1,47.48,28.65,34.32,NA,29.18,NA,56.36,NA,37.7,50.96,41.64,NA,NA,NA,16.07,NA
2016,1,60.6,32.1,40.5,169,38.4,NA,75.7,728,26.2,68.1,58.5,NA,NA,NA,24.1,NA
2017,1,54.06,39.19,45.97,NA,NA,NA,85.82,NA,43.4,NA,51.91,NA,NA,NA,26.69,NA
2018,1,NA,39.2,50,NA,NA,NA,96,NA,42,76,NA,NA,NA,NA,25,NA
2019,1,NA,32.4,50.9,NA,NA,NA,102.1,NA,43.8,83.5,57.4,NA,NA,NA,25,NA
2020,1,NA,39.9,56,NA,NA,NA,120.2,NA,48.4,94,NA,NA,NA,NA,31.9,NA
2021,1,NA,33.2,46.2,NA,NA,NA,84,NA,37.7,63.7,NA,NA,NA,NA,22.1,NA
2022,1,NA,37.4,52.4,NA,NA,NA,105.6,NA,47.4,90.3,NA,NA,NA,NA,NA,NA
2023,1,NA,36.8,50.8,NA,NA,NA,55.1,NA,44.9,53,NA,NA,NA,NA,NA,NA
2024,1,NA,36.4,46.7,NA,NA,NA,99.4,NA,40.1,77.1,NA,NA,NA,NA,NA,NA
2025,1,NA,48.3,60.4,NA,64.3,NA,122.6,NA,53.3,80.2,NA,NA,NA,NA,NA,NA
1938,2,NA,NA,4,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA
1939,2,NA,NA,7,NA,NA,NA,6,NA,NA,9,NA,NA,NA,NA,NA,NA
1940,2,NA,NA,12,NA,NA,NA,25,NA,NA,25,NA,NA,NA,NA,5,NA
1941,2,NA,NA,20,NA,NA,NA,19,NA,NA,24,NA,NA,NA,NA,6,NA
1942,2,NA,NA,23,NA,NA,NA,45,NA,NA,39,9,NA,NA,NA,4,NA
1943,2,NA,NA,24,NA,NA,NA,39,NA,NA,28,3,NA,NA,NA,7,NA
1944,2,NA,NA,22,NA,NA,NA,42,NA,NA,21,2,NA,NA,NA,13,NA
1945,2,NA,NA,17,NA,NA,NA,30,NA,NA,22,4,NA,NA,NA,10,NA
1946,2,NA,NA,14,NA,NA,NA,25,NA,NA,20,12,NA,NA,NA,5,NA
1947,2,NA,NA,15,NA,NA,NA,33,NA,NA,23,10,NA,NA,NA,11,NA
1948,2,NA,NA,18,NA,NA,NA,32,NA,NA,18,17,NA,NA,NA,7,NA
1949,2,NA,NA,21,NA,NA,NA,33,NA,NA,14,15,NA,NA,NA,9,NA
1950,2,NA,NA,19,NA,NA,NA,39,NA,NA,27,14,NA,NA,NA,8,NA
1951,2,NA,NA,13,NA,NA,NA,22,NA,NA,18,14,NA,NA,NA,6,NA
1952,2,NA,NA,15,NA,NA,NA,26,NA,NA,19,15,NA,NA,NA,8,NA
1953,2,NA,NA,20,NA,NA,NA,35,NA,NA,20,20,NA,NA,NA,8,NA
1954,2,NA,NA,9,NA,NA,NA,15,NA,NA,13,15,NA,NA,NA,6,NA
1955,2,NA,NA,19,NA,NA,NA,35,NA,NA,19,23,NA,NA,NA,8,NA
1956,2,NA,NA,25,NA,NA,NA,35,NA,NA,33,13,NA,NA,NA,7,NA
1957,2,NA,NA,11,NA,NA,NA,15,NA,NA,11,8,NA,NA,NA,1,NA
1958,2,NA,NA,10,NA,NA,NA,15,NA,NA,13,9,NA,NA,NA,3,NA
1959,2,NA,NA,16,NA,NA,NA,30,NA,NA,19,13,NA,NA,NA,2,NA
1960,2,NA,NA,21,NA,NA,NA,35,NA,NA,25,33,NA,NA,NA,5,NA
1961,2,NA,NA,3,NA,NA,NA,1,NA,NA,2,3,NA,NA,NA,2,NA
1962,2,NA,NA,28,NA,NA,NA,58,NA,NA,43,35,NA,NA,NA,9,NA
1963,2,NA,NA,20,NA,NA,NA,40,NA,NA,25,18,NA,NA,NA,9,NA
1964,2,NA,NA,22,NA,NA,NA,45,NA,NA,20,19,NA,NA,NA,6,NA
1965,2,NA,NA,25,NA,NA,NA,55,NA,NA,35,24,NA,NA,NA,10,NA
1966,2,NA,NA,22,NA,NA,NA,50,NA,NA,33,20,NA,NA,NA,10,NA
1967,2,NA,NA,12,NA,NA,NA,22,NA,NA,14,16,NA,NA,NA,4,NA
1968,2,NA,NA,20,NA,NA,NA,33,NA,NA,34,18,NA,NA,NA,7,NA
1969,2,NA,20,30,NA,NA,NA,58,NA,NA,46,14,NA,NA,NA,14,NA
1970,2,NA,NA,20,NA,20,NA,53,NA,NA,41,21,NA,NA,NA,13,NA
1971,2,NA,18,27,NA,27,NA,54,NA,NA,46,22,NA,NA,NA,11,NA
1972,2,NA,20,19,NA,21,NA,51,NA,NA,35,21,NA,NA,NA,12,NA
1973,2,NA,20,32,NA,28,NA,70,NA,NA,55,25,NA,NA,NA,18,NA
1974,2,NA,20,25,NA,23,NA,50,NA,NA,34,35,NA,NA,NA,10,NA
1975,2,NA,17,28,NA,28,NA,48,NA,NA,35,25,NA,NA,NA,14,NA
1976,2,NA,12,28,NA,30,NA,53,NA,NA,39,29,NA,NA,NA,13,NA
1977,2,NA,21,32,NA,30,NA,58,NA,NA,48,36,NA,NA,NA,14,NA
1978,2,NA,24,32,NA,31,NA,53,NA,NA,47,35,NA,NA,NA,17,NA
1979,2,NA,13,21,NA,20,NA,35,NA,NA,29,29,NA,NA,NA,12,NA
1980,2,NA,10,15,NA,16,NA,30,NA,NA,30,15,NA,NA,NA,10,NA
1981,2,NA,19,27,NA,24,NA,42,NA,NA,34,34,NA,NA,NA,10,NA
1982,2,NA,20,31,NA,30,NA,59,NA,NA,46,39,NA,NA,NA,17,NA
1983,2,NA,18.5,25.5,NA,24.5,NA,49.3,NA,NA,37.7,30.8,NA,NA,NA,15.4,NA
1984,2,NA,11.2,25.3,NA,23.6,NA,39.6,NA,NA,36.3,34.4,NA,NA,1.3,8.5,NA
1985,2,NA,23.5,33,NA,32.5,NA,55,NA,NA,54.5,29.6,NA,NA,1.5,15.4,NA
1986,2,NA,23,34.3,NA,32.5,NA,71.1,NA,NA,63.2,29.4,NA,NA,2.45,20.7,NA
1987,2,NA,24.3,22.9,NA,24.1,NA,43.5,NA,NA,42.5,25.6,NA,NA,1.43,19.4,NA
1988,2,NA,14.8,12.1,NA,11,NA,30.6,NA,NA,26.5,14,NA,NA,0.47,12.6,NA
1989,2,NA,7.7,18.4,NA,19.2,NA,29.5,NA,NA,32.5,25.5,NA,NA,0.82,6.3,NA
1990,2,NA,20,31.4,NA,37.2,NA,60,NA,NA,55,29.4,NA,NA,1.93,23,NA
1991,2,NA,24.8,25.9,NA,29.3,NA,44.6,NA,NA,40.2,15.2,NA,NA,1.6,18.1,NA
1992,2,30,31.8,37.9,850,40.3,1148,77.2,NA,NA,75.1,41.2,NA,NA,1.43,19.3,NA
1993,2,35,30,31.1,1100,35.1,1103,62.1,NA,35,60.7,26.3,NA,NA,NA,25,NA
1994,2,25,21,27.6,755,28.5,1116,51,1300,21.7,52.5,29,1250,NA,1.5,17.5,NA
1995,2,25,17.5,20.5,716,25.7,1021,56,1200,29.2,46.1,27.8,NA,NA,1.57,23,NA
1996,2,25,21.8,24.9,825,29.4,1203,51.9,1500,30,46.4,24.8,1225,0,1.6,20.8,NA
1997,2,22.5,21.8,20.5,642.1,22.3,778.1,52.3,1233.3,28.7,40.1,22.3,NA,NA,1,14.7,NA
1998,2,35.5,25.5,27.9,802.7,27,1272.4,56.7,680,28.8,53.1,26.3,959.9,NA,NA,19.2,NA
1999,2,30,21.6,22.5,975,25.7,1383.6,34.1,1200,35,34.5,26.8,1000,NA,NA,16.9,NA
2000,2,49.9,27,31.6,771.9,32.4,1200,60.9,NA,40.6,52.4,44.1,750,NA,NA,19.3,NA
2001,2,31.8,23.5,25.5,1057,23.8,1056,46.8,NA,31.1,45.2,29.7,NA,NA,NA,22.9,NA
2002,2,27.9,23,30.8,NA,25,1796,46,NA,27.9,46,29.4,910,NA,NA,14.9,NA
2003,2,40.6,18.6,32.2,798,33,NA,47.8,NA,29.9,46.3,32,906,NA,NA,14.2,NA
2004,2,37.5,27.9,34.8,NA,28.5,875,57.8,NA,28,56.7,29.6,1063,NA,NA,17.5,NA
2005,2,26.5,26.8,31.6,991,25,1078,66.2,NA,24.1,48.3,NA,NA,NA,NA,20.5,NA
2006,2,49.9,22.4,31.7,NA,NA,NA,52.7,NA,31.6,48.6,39,NA,NA,NA,16.5,NA
2007,2,53.5,24.4,28.7,900,28,1351,59.6,NA,38.6,54.4,NA,750,NA,NA,19,NA
2008,2,33.2,27.5,34.1,862,29.3,750,56.2,NA,23.5,49.7,32.5,1250,NA,NA,21.9,NA
2009,2,46.7,36.4,40.2,1100,NA,NA,56.9,NA,32.9,54.2,33.4,NA,NA,NA,27.9,NA
2010,2,46.5,30,37.6,400,NA,1440,52.7,1300,28.5,43.5,38.2,602,NA,NA,17,NA
2011,2,35.7,26.4,32.8,NA,NA,NA,47.5,NA,15.6,31.5,NA,NA,NA,NA,NA,NA
2012,2,51.6,28.6,37.2,649,40,NA,66.1,1200,33.3,50.9,54.1,1000,NA,NA,22,NA
2013,2,40.4,33.2,48.4,730,55,NA,71.4,495,37,62.3,28.8,NA,NA,NA,19.3,NA
2014,2,41.62,28.73,NA,553.35,30.31,0,73.99,504.85,23,39.65,42.91,NA,0,0,18.23,NA
2015,2,59.28,29.45,36.63,NA,32.67,NA,55.23,NA,29.7,44.18,46.02,NA,NA,NA,18.56,NA
2016,2,54.4,31,40.3,NA,54.4,NA,104.2,767,30.1,63.1,63,NA,NA,NA,24.6,NA
2017,2,51.35,33.77,44.32,NA,NA,NA,70.13,NA,34,50.92,NA,NA,NA,NA,27.39,NA
2018,2,NA,33.8,44.4,NA,NA,NA,71.4,NA,47,63,NA,NA,NA,NA,24,NA
2019,2,NA,34.4,51.1,NA,NA,NA,83.5,NA,43.1,59.8,NA,NA,NA,NA,17.1,NA
2020,2,45,41.3,58.1,NA,60,NA,93.5,1909,56.4,80.8,60,NA,NA,NA,30.6,NA
2021,2,20,30.4,43.7,NA,37.7,NA,76.5,NA,44.1,52.1,20,NA,NA,NA,20.6,NA
2022,2,30,39.1,46.5,NA,53.1,NA,77.9,NA,46.9,61.2,30,NA,NA,NA,27.5,NA
2023,2,NA,34.4,48.5,NA,NA,NA,81.8,1728.4,41.3,50.5,42.1,NA,NA,NA,NA,NA
2024,2,NA,36.2,56.2,NA,45.7,NA,95.3,1523,48.3,67.5,NA,1500,NA,NA,32.6,NA
2025,2,NA,44.6,59.9,NA,53.9,NA,104.3,NA,53.7,86.7,40,NA,NA,NA,27.1,NA
1938,3,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA
1939,3,NA,NA,5,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,2,NA
1940,3,NA,NA,14,NA,NA,NA,24,NA,NA,19,NA,NA,NA,NA,7,NA
1941,3,NA,NA,20,NA,NA,NA,31,NA,NA,27,NA,NA,NA,NA,5,NA
1942,3,NA,NA,23,NA,NA,NA,37,NA,NA,32,17,NA,NA,NA,6,NA
1943,3,NA,NA,22,NA,NA,NA,35,NA,NA,29,12,NA,NA,NA,8,NA
1944,3,NA,NA,20,NA,NA,NA,39,NA,NA,28,11,NA,NA,NA,11,NA
1945,3,NA,NA,17,NA,NA,NA,32,NA,NA,21,11,NA,NA,NA,11,NA
1946,3,NA,NA,16,NA,NA,NA,30,NA,NA,21,13,NA,NA,NA,8,NA
1947,3,NA,NA,15,NA,NA,NA,27,NA,NA,19,14,NA,NA,NA,10,NA
1948,3,NA,NA,17,NA,NA,NA,30,NA,NA,23,12,NA,NA,NA,8,NA
1949,3,NA,NA,22,NA,NA,NA,34,NA,NA,26,14,NA,NA,NA,9,NA
1950,3,NA,NA,19,NA,NA,NA,42,NA,NA,31,13,NA,NA,NA,6,NA
1951,3,NA,NA,14,NA,NA,NA,31,NA,NA,20,15,NA,NA,NA,6,NA
1952,3,NA,NA,15,NA,NA,NA,37,NA,NA,35,15,NA,NA,NA,9,NA
1953,3,NA,NA,20,NA,NA,NA,39,NA,NA,26,21,NA,NA,NA,11,NA
1954,3,NA,NA,11,NA,NA,NA,22,NA,NA,21,14,NA,NA,NA,9,NA
1955,3,NA,NA,17,NA,NA,NA,30,NA,NA,23,20,NA,NA,NA,8,NA
1956,3,NA,NA,23,NA,NA,NA,39,NA,NA,29,9,NA,NA,NA,7,NA
1957,3,NA,NA,14,NA,NA,NA,24,NA,NA,21,13,NA,NA,NA,2,NA
1958,3,NA,NA,9,NA,NA,NA,14,NA,NA,12,10,NA,NA,NA,4,NA
1959,3,NA,NA,17,NA,NA,NA,32,NA,NA,27,20,NA,NA,NA,4,NA
1960,3,NA,NA,20,NA,NA,NA,31,NA,NA,25,25,NA,NA,NA,7,NA
1961,3,NA,NA,4,NA,NA,NA,5,NA,NA,5,5,NA,NA,NA,2,NA
1962,3,NA,NA,30,NA,NA,NA,60,NA,NA,35,28,NA,NA,NA,10,NA
1963,3,NA,NA,23,NA,NA,NA,50,NA,NA,27,22,NA,NA,NA,10,NA
1964,3,NA,NA,25,NA,NA,NA,58,NA,NA,30,23,NA,NA,NA,9,NA
1965,3,NA,NA,25,NA,NA,NA,53,NA,NA,32,25,NA,NA,NA,11,NA
1966,3,NA,NA,22,NA,NA,NA,43,NA,NA,32,26,NA,NA,NA,9,NA
1967,3,NA,NA,15,NA,NA,NA,28,NA,NA,23,15,NA,NA,NA,5,NA
1968,3,NA,NA,19,NA,NA,NA,25,NA,NA,28,16,NA,NA,NA,8,NA
1969,3,NA,NA,32,NA,NA,NA,60,NA,NA,47,19,NA,NA,NA,15,NA
1970,3,NA,16,22,NA,23,NA,53,NA,NA,41,20,NA,NA,NA,14,NA
1971,3,NA,20,29,NA,27,NA,56,NA,NA,48,21,NA,NA,NA,13,NA
1972,3,NA,21,21,NA,23,NA,51,NA,NA,32,21,NA,NA,NA,13,NA
1973,3,NA,20,27,NA,30,NA,70,NA,NA,50,22,NA,NA,NA,13,NA
1974,3,NA,20,24,NA,20,NA,36,NA,NA,32,15,NA,NA,NA,11,NA
1975,3,NA,18,28,NA,27,NA,46,NA,NA,35,25,NA,NA,NA,15,NA
1976,3,NA,20,27,NA,27,NA,51,NA,NA,41,25,NA,NA,NA,12,NA
1977,3,NA,18,27,NA,25,NA,49,NA,NA,50,28,NA,NA,NA,10,NA
1978,3,NA,22,31,NA,31,NA,59,NA,NA,52,32,NA,NA,NA,16,NA
1979,3,NA,13,21,NA,21,NA,41,NA,NA,34,25,NA,NA,NA,10,NA
1980,3,NA,10,12,NA,15,NA,25,NA,NA,25,10,NA,NA,NA,10,NA
1981,3,NA,16,26,NA,24,NA,36,NA,NA,32,34,NA,NA,NA,10,NA
1982,3,NA,21,27,NA,24,NA,51,NA,NA,44,36,NA,NA,NA,17,NA
1983,3,NA,18.9,25.5,NA,23.3,NA,42,NA,NA,39.9,30,NA,NA,NA,14.1,NA
1984,3,NA,13.6,21.3,NA,19.4,NA,30.8,NA,NA,32,27.7,NA,NA,0.63,9.3,NA
1985,3,NA,20.2,32.5,NA,32.7,NA,51,NA,NA,51.9,27.9,NA,NA,0.88,14,NA
1986,3,NA,25.4,34.7,NA,33.3,NA,75.5,NA,NA,56.8,34.3,NA,NA,1.53,20.6,NA
1987,3,NA,23.1,27.5,NA,25.8,NA,51.9,NA,NA,43,28.8,NA,NA,1.66,17.4,NA
1988,3,NA,16.8,15.2,NA,14.8,NA,25.1,NA,NA,25.3,12.5,NA,NA,1.06,10.9,NA
1989,3,NA,6.8,16.4,NA,15.8,NA,21.2,NA,NA,18.7,22.5,NA,NA,0.83,7.4,NA
1990,3,NA,19,32,NA,31,NA,65,NA,NA,36.8,33.3,NA,NA,1.32,20.7,NA
1991,3,NA,23.5,23,NA,24.6,NA,47.6,NA,NA,45.8,23.2,NA,NA,1.03,16,NA
1992,3,NA,28.8,34.5,1050,30.3,NA,75,1200,20,68.5,22.5,NA,20,0.5,16,NA
1993,3,NA,30,31.5,886,32.4,1000,63.3,NA,32.3,53.5,40,NA,NA,2,20.6,NA
1994,3,NA,20.4,22.1,775,16.8,1200,60,1795,32.5,60,35,NA,NA,1.5,12.8,NA
1995,3,NA,18.8,26.3,864,28.3,500,49.2,1203,25,44.4,28.6,500,NA,1.3,20.4,NA
1996,3,37,24.1,29.3,707,28.1,NA,56.9,2212,21,51.4,27.9,NA,0,1.4,22.2,NA
1997,3,NA,16.6,21.5,595.6,23.7,NA,46.3,950.1,20.5,38.4,20.7,NA,NA,1.5,15.8,NA
1998,3,NA,20.5,25.3,692.5,28.4,NA,51.2,867.1,24.3,44.6,29.1,NA,NA,NA,18.2,NA
1999,3,50,20.3,25.1,695.2,26.9,NA,42.4,1305.8,30,45.3,35.6,779.9,NA,NA,17.3,NA
2000,3,58.2,21.6,31.7,877,33.4,450,52.6,875.7,23.8,44.1,25,750,NA,NA,16,NA
2001,3,31.3,21.2,27.3,713,30.8,NA,57.2,678,31,47.9,32.5,NA,NA,NA,18,NA
2002,3,30,19.5,27.6,403,29,NA,50.9,380,21.9,44.4,28.7,1063,NA,NA,16.4,NA
2003,3,48.1,13.4,21.3,666,20.4,NA,41.5,480,23.9,41,23.1,1286,NA,NA,9.7,NA
2004,3,36.2,27.5,31.6,523,35.5,NA,59.2,900,39.1,41.6,30,1750,NA,NA,18.5,NA
2005,3,26.7,25.9,30.2,454,35.7,NA,59.1,900,10.8,54.8,24.9,1250,NA,NA,20.2,900
2006,3,41.9,19.3,30,250,32.5,700,54.4,480,29,50.9,31.2,1250,NA,NA,14,600
2007,3,42.5,22.7,37.2,1000,38.1,600,61.4,600,32.8,56,32.5,850,NA,NA,18.8,500
2008,3,36.1,24.4,31.2,550,30.2,NA,49.2,660,31,55.7,29.1,1250,NA,NA,15.7,600
2009,3,40,28.1,34,625,41.7,NA,55,720,23.5,58.5,25.6,1125,NA,NA,19.4,1200
2010,3,52.3,29.2,35.6,597,35,511,59.6,909,27.1,53.5,31.6,1155,NA,NA,17.4,900
2011,3,33.7,20.1,27.9,700,35,NA,57.3,522,31.2,42.8,30.6,900,NA,NA,16.3,450
2012,3,59.3,25.1,39.4,700,40.3,NA,71.2,600,27.5,55.6,50.6,983,NA,NA,16.1,900
2013,3,52.4,35.2,46.3,1250,49,NA,68.1,707,35,68.4,40,1750,NA,NA,27.4,1200
2014,3,36.3,36.44,37.41,500,38.91,0,51.01,644,30.7,70.06,27.95,1500,0,0,17.82,900
2015,3,33.69,31.04,36.46,500,36.61,NA,59.79,1156.46,27.1,54.24,21.2,1222.56,NA,NA,23.45,900
2016,3,58.6,37.3,46,600,47.4,NA,66.8,933,33.2,68.6,51.4,1200,NA,NA,21.8,1299
2017,3,49.94,32.55,42.78,500,34.91,NA,71.67,1404.56,28.8,64.34,35,1250,NA,NA,26.16,1200
2018,3,40,32.6,46.6,NA,50,NA,72.5,1684,35.5,65,28.5,NA,NA,NA,26.2,NA
2019,3,40,33.1,48.9,750,49.7,NA,60.3,1287,39.1,63.1,38.3,1750,NA,NA,19.3,1500
2020,3,56.3,34.5,49.5,NA,46.7,NA,68.1,2319,39.5,78.2,NA,NA,NA,NA,25.1,NA
2021,3,NA,26.1,44.5,500,42.3,NA,74.6,900,44.5,70.8,NA,1000,NA,NA,15.8,1500
2022,3,60,42.2,55.2,NA,57.5,NA,82.8,NA,41.2,72.5,44.7,NA,NA,NA,31.9,NA
2023,3,NA,31.5,49,NA,42.7,NA,76.9,1594,36.9,62.6,55.3,NA,NA,NA,26.1,NA
