Risk_Zone,Crop,Variety,Year,Acres,Yield
1,Canola/Rapeseed,LR354PC,2022,,
1,Canola/Rapeseed,LR354PC,2023,570,26.9
1,Canola/Rapeseed,LR354PC,2024,1991,38.9
1,Canola/Rapeseed,LR354PC,2025,466,35.9
1,Canola/Rapeseed,L233P,2021,78076,34.5
1,Canola/Rapeseed,L233P,2022,53539,39.5
1,Canola/Rapeseed,L233P,2023,47458,37.7
1,Canola/Rapeseed,L233P,2024,17574,37.7
1,Canola/Rapeseed,L233P,2025,4478,49.6
1,Canola/Rapeseed,L330PC,2021,,
1,Canola/Rapeseed,L330PC,2022,,
1,Canola/Rapeseed,L330PC,2023,,
1,Canola/Rapeseed,L330PC,2024,,
1,Canola/Rapeseed,L330PC,2025,3966,48.3
1,Canola/Rapeseed,L333PC,2021,,
1,Canola/Rapeseed,L333PC,2022,,
1,Canola/Rapeseed,L333PC,2023,,
1,Canola/Rapeseed,L333PC,2024,,
1,Canola/Rapeseed,L333PC,2025,9074,47.7
1,Canola/Rapeseed,L340PC,2021,10949,31.8
1,Canola/Rapeseed,L340PC,2022,64315,43.5
1,Canola/Rapeseed,L340PC,2023,75706,39.1
1,Canola/Rapeseed,L340PC,2024,111711,38.3
1,Canola/Rapeseed,L340PC,2025,121491,48.5
1,Canola/Rapeseed,L343PC,2021,,
1,Canola/Rapeseed,L343PC,2022,1160,40.5
1,Canola/Rapeseed,L343PC,2023,6300,34.1
1,Canola/Rapeseed,L343PC,2024,4110,34.1
1,Canola/Rapeseed,L343PC,2025,5198,47.8
1,Canola/Rapeseed,L345PC,2021,22564,34.9
1,Canola/Rapeseed,L345PC,2022,15880,41.7
1,Canola/Rapeseed,L345PC,2023,18338,40.5
1,Canola/Rapeseed,L345PC,2024,17109,38.9
1,Canola/Rapeseed,L345PC,2025,5991,47.3
1,Canola/Rapeseed,L350PC,2021,,
1,Canola/Rapeseed,L350PC,2022,,
1,Canola/Rapeseed,L350PC,2023,9257,40.5
1,Canola/Rapeseed,L350PC,2024,6157,35.1
1,Canola/Rapeseed,L350PC,2025,6585,46.6
1,Canola/Rapeseed,L356PC,2021,,
1,Canola/Rapeseed,L356PC,2022,10403,41.0
1,Canola/Rapeseed,L356PC,2023,28170,41.8
1,Canola/Rapeseed,L356PC,2024,45736,40.3
1,Canola/Rapeseed,L356PC,2025,26988,50.4
1,Canola/Rapeseed,PV 661 LCM,2021,,
1,Canola/Rapeseed,PV 661 LCM,2022,,
1,Canola/Rapeseed,PV 661 LCM,2023,,
1,Canola/Rapeseed,PV 661 LCM,2024,,
1,Canola/Rapeseed,PV 661 LCM,2025,3470,38.7
1,Canola/Rapeseed,P520L,2021,,
1,Canola/Rapeseed,P520L,2022,,
1,Canola/Rapeseed,P520L,2023,,
1,Canola/Rapeseed,P520L,2024,434,37.6
1,Canola/Rapeseed,P520L,2025,1809,46.8
1,Canola/Rapeseed,5440 INVIGOR,2021,,
1,Canola/Rapeseed,5440 INVIGOR,2022,,
1,Canola/Rapeseed,5440 INVIGOR,2023,,
1,Canola/Rapeseed,5440 INVIGOR,2024,,
1,Canola/Rapeseed,5440 INVIGOR,2025,1175,46.6
1,Fall Rye,HAZLET,2021,,
1,Fall Rye,HAZLET,2022,1414,42.1
1,Fall Rye,HAZLET,2023,1341,52.2
1,Fall Rye,HAZLET,2024,,
1,Fall Rye,HAZLET,2025,1337,48.3
1,Field Peas,AMARILLO CDC,2021,4615,34.2
1,Field Peas,AMARILLO CDC,2022,3702,36.0
1,Field Peas,AMARILLO CDC,2023,2081,39.7
1,Field Peas,AMARILLO CDC,2024,1566,44.5
1,Field Peas,AMARILLO CDC,2025,1586,55.4
1,Field Peas,CARVER AAC,2021,4835,37.1
1,Field Peas,CARVER AAC,2022,6229,40.7
1,Field Peas,CARVER AAC,2023,6895,40.9
1,Field Peas,CARVER AAC,2024,9513,42.6
1,Field Peas,CARVER AAC,2025,5852,56.4
1,Field Peas,CHROME AAC,2021,5583,39.9
1,Field Peas,CHROME AAC,2022,5785,36.4
1,Field Peas,CHROME AAC,2023,3799,42.7
1,Field Peas,CHROME AAC,2024,4472,39.1
1,Field Peas,CHROME AAC,2025,3764,58.5
1,Field Peas,FOREST CDC,2021,2179,43.3
1,Field Peas,FOREST CDC,2022,3370,38.0
1,Field Peas,FOREST CDC,2023,1649,41.8
1,Field Peas,FOREST CDC,2024,3578,46.5
1,Field Peas,FOREST CDC,2025,3695,65.5
1,Field Peas,HICKIE CDC,2021,,
1,Field Peas,HICKIE CDC,2022,,
1,Field Peas,HICKIE CDC,2023,,
1,Field Peas,HICKIE CDC,2024,,
1,Field Peas,HICKIE CDC,2025,1477,44.4
1,Field Peas,INCA CDC,2021,2003,38.0
1,Field Peas,INCA CDC,2022,7907,46.9
1,Field Peas,INCA CDC,2023,4805,43.2
1,Field Peas,INCA CDC,2024,5464,45.0
1,Field Peas,INCA CDC,2025,2949,60.9
1,Field Peas,JULIUS AAC,2021,,
1,Field Peas,JULIUS AAC,2022,,
1,Field Peas,JULIUS AAC,2023,,
1,Field Peas,JULIUS AAC,2024,,
1,Field Peas,JULIUS AAC,2025,2176,43.6
1,Field Peas,RAEZER CDC,2021,9651,30.8
1,Field Peas,RAEZER CDC,2022,5025,31.8
1,Field Peas,RAEZER CDC,2023,2251,38.1
1,Field Peas,RAEZER CDC,2024,3200,55.2
1,Field Peas,RAEZER CDC,2025,4719,48.6
1,Field Peas,SPECTRUM CDC,2021,1610,42.2
1,Field Peas,SPECTRUM CDC,2022,1018,47.7
1,Field Peas,SPECTRUM CDC,2023,1145,39.3
1,Field Peas,SPECTRUM CDC,2024,987,44.4
1,Field Peas,SPECTRUM CDC,2025,678,59.9
1,Field Peas,SPRUCE CDC,2021,2206,33.8
1,Field Peas,SPRUCE CDC,2022,3157,41.8
1,Field Peas,SPRUCE CDC,2023,6101,39.2
1,Field Peas,SPRUCE CDC,2024,4198,53.9
1,Field Peas,SPRUCE CDC,2025,5296,48.4
1,Flax,ACC BRIGHT,2021,,
1,Flax,ACC BRIGHT,2022,,
1,Flax,ACC BRIGHT,2023,,
1,Flax,ACC BRIGHT,2024,,
1,Flax,ACC BRIGHT,2025,850,36.4
1,Flax,BETHUNE CDC,2021,443,16.8
1,Flax,BETHUNE CDC,2022,920,19.8
1,Flax,BETHUNE CDC,2023,1403,10.7
1,Flax,BETHUNE CDC,2024,1050,11.0
1,Flax,BETHUNE CDC,2025,998,21.3
1,Flax,GLAS CDC,2021,6589,21.4
1,Flax,GLAS CDC,2022,4978,31.2
1,Flax,GLAS CDC,2023,3640,19.9
1,Flax,GLAS CDC,2024,2223,30.1
1,Flax,GLAS CDC,2025,3011,35.8
1,Flax,OMEGA,2021,963,17.0
1,Flax,OMEGA,2022,671,23.7
1,Flax,OMEGA,2023,,
1,Flax,OMEGA,2024,,
1,Flax,OMEGA,2025,860,30.7
1,Flax,ROWLAND CDC,2021,,
1,Flax,ROWLAND CDC,2022,575,32.7
1,Flax,ROWLAND CDC,2023,1842,21.5
1,Flax,ROWLAND CDC,2024,2114,30.1
1,Flax,ROWLAND CDC,2025,2800,35.3
1,Flax,SORREL CDC,2021,1986,20.9
1,Flax,SORREL CDC,2022,1174,34.0
1,Flax,SORREL CDC,2023,760,18.5
1,Flax,SORREL CDC,2024,407,21.9
1,Flax,SORREL CDC,2025,522,29.5
1,IP Canola/Rapeseed,B3018N,2021,,
1,IP Canola/Rapeseed,B3018N,2022,,
1,IP Canola/Rapeseed,B3018N,2023,,
1,IP Canola/Rapeseed,B3018N,2024,,
1,IP Canola/Rapeseed,B3018N,2025,907,45.0
1,IP Canola/Rapeseed,B3901N,2021,,
1,IP Canola/Rapeseed,B3901N,2022,,
1,IP Canola/Rapeseed,B3901N,2023,,
1,IP Canola/Rapeseed,B3901N,2024,,
1,IP Canola/Rapeseed,B3901N,2025,2441,43.9
1,IP Canola/Rapeseed,L358HPC,2021,,
1,IP Canola/Rapeseed,L358HPC,2022,,
1,IP Canola/Rapeseed,L358HPC,2023,,
1,IP Canola/Rapeseed,L358HPC,2024,3095,36.9
1,IP Canola/Rapeseed,L358HPC,2025,4201,44.2
1,Oats,ANSON CDC,2021,,
1,Oats,ANSON CDC,2022,,
1,Oats,ANSON CDC,2023,,
1,Oats,ANSON CDC,2024,,
1,Oats,ANSON CDC,2025,2031,105.4
1,Oats,ARBORG CDC,2021,,
1,Oats,ARBORG CDC,2022,2458,101.2
1,Oats,ARBORG CDC,2023,1185,71.4
1,Oats,ARBORG CDC,2024,2784,89.4
1,Oats,ARBORG CDC,2025,1731,103.9
1,Oats,CAMDEN CS,2021,5530,80.7
1,Oats,CAMDEN CS,2022,6253,113.7
1,Oats,CAMDEN CS,2023,4008,86.8
1,Oats,CAMDEN CS,2024,3857,97.6
1,Oats,CAMDEN CS,2025,2872,120.8
1,Oats,DOUGLAS AAC,2021,,
1,Oats,DOUGLAS AAC,2022,,
1,Oats,DOUGLAS AAC,2023,,
1,Oats,DOUGLAS AAC,2024,,
1,Oats,DOUGLAS AAC,2025,733,81.2
1,Oats,ENDURE CDC,2021,,
1,Oats,ENDURE CDC,2022,920,141.7
1,Oats,ENDURE CDC,2023,1875,76.6
1,Oats,ENDURE CDC,2024,3572,114.1
1,Oats,ENDURE CDC,2025,4056,126.5
1,Oats,ORE3541M,2021,511,67.5
1,Oats,ORE3541M,2022,650,98.1
1,Oats,ORE3541M,2023,,
1,Oats,ORE3541M,2024,1348,119.6
1,Oats,ORE3541M,2025,850,100.5
1,Oats,SUMMIT,2021,4690,67.3
1,Oats,SUMMIT,2022,5336,90.0
1,Oats,SUMMIT,2023,2090,83.2
1,Oats,SUMMIT,2024,5391,103.5
1,Oats,SUMMIT,2025,4971,122.4
1,Soybean,AKRAS R2,2021,,
1,Soybean,AKRAS R2,2022,,
1,Soybean,AKRAS R2,2023,1606,24.3
1,Soybean,AKRAS R2,2024,,
1,Soybean,AKRAS R2,2025,1866,28.6
1,Soybean,DKB001-07 RR2X,2021,,
1,Soybean,DKB001-07 RR2X,2022,,
1,Soybean,DKB001-07 RR2X,2023,,
1,Soybean,DKB001-07 RR2X,2024,805,35.5
1,Soybean,DKB001-07 RR2X,2025,3339,28.7
1,Soybean,DKB002-32,2021,,
1,Soybean,DKB002-32,2022,748,32.8
1,Soybean,DKB002-32,2023,3797,23.6
1,Soybean,DKB002-32,2024,2738,36.3
1,Soybean,DKB002-32,2025,3611,34.1
1,Soybean,DKB006-99,2021,,
1,Soybean,DKB006-99,2022,,
1,Soybean,DKB006-99,2023,,
1,Soybean,DKB006-99,2024,,
1,Soybean,DKB006-99,2025,660,37.0
1,Soybean,GENERAL,2021,8706,21.6
1,Soybean,GENERAL,2022,3759,31.5
1,Soybean,GENERAL,2023,5195,25.1
1,Soybean,GENERAL,2024,3335,29.4
1,Soybean,GENERAL,2025,3512,24.9
1,Soybean,PV 22S002 R2X,2021,,
1,Soybean,PV 22S002 R2X,2022,,
1,Soybean,PV 22S002 R2X,2023,907,29.8
1,Soybean,PV 22S002 R2X,2024,,
1,Soybean,PV 22S002 R2X,2025,1485,34.5
1,Soybean,P004Z87E,2021,,
1,Soybean,P004Z87E,2022,,
1,Soybean,P004Z87E,2023,,
1,Soybean,P004Z87E,2024,,
1,Soybean,P004Z87E,2025,1070,36.3
1,Soybean,S001-D8X,2021,,
1,Soybean,S001-D8X,2022,,
1,Soybean,S001-D8X,2023,700,19.1
1,Soybean,S001-D8X,2024,,
1,Soybean,S001-D8X,2025,590,37.3
1,Soybean,S003-R5X,2021,,
1,Soybean,S003-R5X,2022,,
1,Soybean,S003-R5X,2023,,
1,Soybean,S003-R5X,2024,1568,30.5
1,Soybean,S003-R5X,2025,622,32.5
1,Soybean,WARREN NSC RR,2021,1488,25.6
1,Soybean,WARREN NSC RR,2022,3129,33.3
1,Soybean,WARREN NSC RR,2023,5103,29.5
1,Soybean,WARREN NSC RR,2024,4577,33.6
1,Soybean,WARREN NSC RR,2025,5170,27.5
1,Wheat - Durum,CREDENCE CDC,2021,,
1,Wheat - Durum,CREDENCE CDC,2022,,
1,Wheat - Durum,CREDENCE CDC,2023,,
1,Wheat - Durum,CREDENCE CDC,2024,1037,51.6
1,Wheat - Durum,CREDENCE CDC,2025,3690,50.4
1,Wheat - Durum,DEFY CDC,2021,,
1,Wheat - Durum,DEFY CDC,2022,,
1,Wheat - Durum,DEFY CDC,2023,,
1,Wheat - Durum,DEFY CDC,2024,8190,57.7
1,Wheat - Durum,DEFY CDC,2025,8652,61.4
1,Wheat - Durum,DONLOW AAC,2021,,
1,Wheat - Durum,DONLOW AAC,2022,,
1,Wheat - Durum,DONLOW AAC,2023,2890,39.5
1,Wheat - Durum,DONLOW AAC,2024,4239,53.7
1,Wheat - Durum,DONLOW AAC,2025,7644,64.7
1,Wheat - Durum,PRECISION CDC,2021,1244,52.4
1,Wheat - Durum,PRECISION CDC,2022,4255,52.8
1,Wheat - Durum,PRECISION CDC,2023,3570,35.3
1,Wheat - Durum,PRECISION CDC,2024,2426,47.0
1,Wheat - Durum,PRECISION CDC,2025,4661,52.1
1,Wheat - Durum,SCHRADER AAC,2021,,
1,Wheat - Durum,SCHRADER AAC,2022,,
1,Wheat - Durum,SCHRADER AAC,2023,,
1,Wheat - Durum,SCHRADER AAC,2024,,
1,Wheat - Durum,SCHRADER AAC,2025,1917,59.3
1,Wheat - Durum,SPITFIRE AAC,2021,1346,47.7
1,Wheat - Durum,SPITFIRE AAC,2022,3504,52.5
1,Wheat - Durum,SPITFIRE AAC,2023,4537,47.3
1,Wheat - Durum,SPITFIRE AAC,2024,2422,53.1
1,Wheat - Durum,SPITFIRE AAC,2025,2181,53.6
1,Wheat - Durum,VANTTA CDC,2021,,
1,Wheat - Durum,VANTTA CDC,2022,,
1,Wheat - Durum,VANTTA CDC,2023,,
1,Wheat - Durum,VANTTA CDC,2024,,
1,Wheat - Durum,VANTTA CDC,2025,1931,49.8
1,Wheat - Durum,WEYBURN VB AAC,2021,,
1,Wheat - Durum,WEYBURN VB AAC,2022,,
1,Wheat - Durum,WEYBURN VB AAC,2023,646,41.5
1,Wheat - Durum,WEYBURN VB AAC,2024,1064,55.7
1,Wheat - Durum,WEYBURN VB AAC,2025,2290,53.5
1,Wheat - Hard Red Spring,ALIDA VB AAC,2021,3784,51.0
1,Wheat - Hard Red Spring,ALIDA VB AAC,2022,5682,45.0
1,Wheat - Hard Red Spring,ALIDA VB AAC,2023,2512,41.6
1,Wheat - Hard Red Spring,ALIDA VB AAC,2024,4556,33.1
1,Wheat - Hard Red Spring,ALIDA VB AAC,2025,1226,57.0
1,Wheat - Hard Red Spring,BRANDON AAC,2021,86773,48.2
1,Wheat - Hard Red Spring,BRANDON AAC,2022,80271,50.6
1,Wheat - Hard Red Spring,BRANDON AAC,2023,93176,49.7
1,Wheat - Hard Red Spring,BRANDON AAC,2024,82020,55.7
1,Wheat - Hard Red Spring,BRANDON AAC,2025,66495,57.9
1,Wheat - Hard Red Spring,BROADACRES AAC,2021,,
1,Wheat - Hard Red Spring,BROADACRES AAC,2022,,
1,Wheat - Hard Red Spring,BROADACRES AAC,2023,,
1,Wheat - Hard Red Spring,BROADACRES AAC,2024,575,51.1
1,Wheat - Hard Red Spring,BROADACRES AAC,2025,2810,51.1
1,Wheat - Hard Red Spring,CARBERRY,2021,10287,41.6
1,Wheat - Hard Red Spring,CARBERRY,2022,6655,45.3
1,Wheat - Hard Red Spring,CARBERRY,2023,9995,42.8
1,Wheat - Hard Red Spring,CARBERRY,2024,7170,50.7
1,Wheat - Hard Red Spring,CARBERRY,2025,6003,52.1
1,Wheat - Hard Red Spring,ELIE AAC,2021,14947,49.0
1,Wheat - Hard Red Spring,ELIE AAC,2022,9009,53.9
1,Wheat - Hard Red Spring,ELIE AAC,2023,10413,49.1
1,Wheat - Hard Red Spring,ELIE AAC,2024,10096,51.0
1,Wheat - Hard Red Spring,ELIE AAC,2025,3329,55.6
1,Wheat - Hard Red Spring,GLENN,2021,,
1,Wheat - Hard Red Spring,GLENN,2022,1240,40.8
1,Wheat - Hard Red Spring,GLENN,2023,1450,48.7
1,Wheat - Hard Red Spring,GLENN,2024,978,62.8
1,Wheat - Hard Red Spring,GLENN,2025,960,57.0
1,Wheat - Hard Red Spring,HOCKLEY AAC,2021,,
1,Wheat - Hard Red Spring,HOCKLEY AAC,2022,,
1,Wheat - Hard Red Spring,HOCKLEY AAC,2023,1334,55.3
1,Wheat - Hard Red Spring,HOCKLEY AAC,2024,12179,63.6
1,Wheat - Hard Red Spring,HOCKLEY AAC,2025,22522,63.9
1,Wheat - Hard Red Spring,HODGE AAC VB,2021,,
1,Wheat - Hard Red Spring,HODGE AAC VB,2022,,
1,Wheat - Hard Red Spring,HODGE AAC VB,2023,2422,58.8
1,Wheat - Hard Red Spring,HODGE AAC VB,2024,10542,65.1
1,Wheat - Hard Red Spring,HODGE AAC VB,2025,12032,66.3
1,Wheat - Hard Red Spring,LANDMARK CDC,2021,2467,47.2
1,Wheat - Hard Red Spring,LANDMARK CDC,2022,928,51.4
1,Wheat - Hard Red Spring,LANDMARK CDC,2023,2814,49.2
1,Wheat - Hard Red Spring,LANDMARK CDC,2024,1574,48.6
1,Wheat - Hard Red Spring,LANDMARK CDC,2025,2211,53.9
1,Wheat - Hard Red Spring,LEROY AAC VB,2021,1685,45.9
1,Wheat - Hard Red Spring,LEROY AAC VB,2022,4183,53.5
1,Wheat - Hard Red Spring,LEROY AAC VB,2023,6752,54.0
1,Wheat - Hard Red Spring,LEROY AAC VB,2024,7806,54.4
1,Wheat - Hard Red Spring,LEROY AAC VB,2025,4903,57.0
1,Wheat - Hard Red Spring,MANNESS SY,2021,,
1,Wheat - Hard Red Spring,MANNESS SY,2022,,
1,Wheat - Hard Red Spring,MANNESS SY,2023,,
1,Wheat - Hard Red Spring,MANNESS SY,2024,,
1,Wheat - Hard Red Spring,MANNESS SY,2025,1526,55.4
1,Wheat - Hard Red Spring,RUSSELL AAC VB,2021,,
1,Wheat - Hard Red Spring,RUSSELL AAC VB,2022,,
1,Wheat - Hard Red Spring,RUSSELL AAC VB,2023,,
1,Wheat - Hard Red Spring,RUSSELL AAC VB,2024,524,41.6
1,Wheat - Hard Red Spring,RUSSELL AAC VB,2025,1909,43.1
1,Wheat - Hard Red Spring,STARBUCK AAC VB,2021,4716,49.8
1,Wheat - Hard Red Spring,STARBUCK AAC VB,2022,21268,58.1
1,Wheat - Hard Red Spring,STARBUCK AAC VB,2023,32823,54.0
1,Wheat - Hard Red Spring,STARBUCK AAC VB,2024,32952,55.7
1,Wheat - Hard Red Spring,STARBUCK AAC VB,2025,47917,63.7
1,Wheat - Hard Red Spring,VESPER,2021,1623,43.9
1,Wheat - Hard Red Spring,VESPER,2022,1380,53.8
1,Wheat - Hard Red Spring,VESPER,2023,2180,44.9
1,Wheat - Hard Red Spring,VESPER,2024,1568,51.8
1,Wheat - Hard Red Spring,VESPER,2025,1212,53.8
1,Wheat - Hard Red Spring,VIEWFIELD AAC,2021,6774,51.3
1,Wheat - Hard Red Spring,VIEWFIELD AAC,2022,9907,58.7
1,Wheat - Hard Red Spring,VIEWFIELD AAC,2023,10802,51.2
1,Wheat - Hard Red Spring,VIEWFIELD AAC,2024,8067,53.8
1,Wheat - Hard Red Spring,VIEWFIELD AAC,2025,8787,69.0
1,Wheat - Hard Red Spring,WHEATLAND VB AAC,2021,3089,53.0
1,Wheat - Hard Red Spring,WHEATLAND VB AAC,2022,7307,53.9
1,Wheat - Hard Red Spring,WHEATLAND VB AAC,2023,6308,54.2
1,Wheat - Hard Red Spring,WHEATLAND VB AAC,2024,8176,61.2
1,Wheat - Hard Red Spring,WHEATLAND VB AAC,2025,4944,59.6
1,Canary Seed,KEET,2021,1810,1250
1,Canary Seed,KEET,2022,,
1,Canary Seed,KEET,2023,,
1,Canary Seed,KEET,2024,2903,1806
1,Canary Seed,KEET,2025,1879,1964
1,Lentils - Red,NIMBLE,2021,,
1,Lentils - Red,NIMBLE,2022,,
1,Lentils - Red,NIMBLE,2023,,
1,Lentils - Red,NIMBLE,2024,823,1563
1,Lentils - Red,NIMBLE,2025,723,1894
1,Lentils - Red,PROCLAIM CDC,2021,2046,1821
1,Lentils - Red,PROCLAIM CDC,2022,3696,1318
1,Lentils - Red,PROCLAIM CDC,2023,973,1517
1,Lentils - Red,PROCLAIM CDC,2024,897,2000
1,Lentils - Red,PROCLAIM CDC,2025,1173,2004
1,Lentils - Red,SIMMIE CDC,2021,531,1914
1,Lentils - Red,SIMMIE CDC,2022,,
1,Lentils - Red,SIMMIE CDC,2023,1263,1830
1,Lentils - Red,SIMMIE CDC,2024,1668,1409
1,Lentils - Red,SIMMIE CDC,2025,760,1755
2,Barley,AUSTENSON CDC,2021,560,29.6
2,Barley,AUSTENSON CDC,2022,,
2,Barley,AUSTENSON CDC,2023,704,43.4
2,Barley,AUSTENSON CDC,2024,,
2,Barley,AUSTENSON CDC,2025,1048,77.9
2,Barley,COWBOY CDC,2021,1100,26.7
2,Barley,COWBOY CDC,2022,806,38.7
2,Barley,COWBOY CDC,2023,649,43.6
2,Barley,COWBOY CDC,2024,912,49.9
2,Barley,COWBOY CDC,2025,675,51.7
2,Barley,DURANGO CDC,2021,,
2,Barley,DURANGO CDC,2022,,
2,Barley,DURANGO CDC,2023,,
2,Barley,DURANGO CDC,2024,,
2,Barley,DURANGO CDC,2025,1030,81.4
2,Barley,MAVERICK CDC,2021,,
2,Barley,MAVERICK CDC,2022,873,60.9
2,Barley,MAVERICK CDC,2023,,
2,Barley,MAVERICK CDC,2024,1055,60.5
2,Barley,MAVERICK CDC,2025,782,46.9
2,Barley,METCALFE AC,2021,6555,36.6
2,Barley,METCALFE AC,2022,3506,60.9
2,Barley,METCALFE AC,2023,3328,35.5
2,Barley,METCALFE AC,2024,1286,32.3
2,Barley,METCALFE AC,2025,484,81.0
2,Barley,SYNERGY AAC,2021,3176,55.8
2,Barley,SYNERGY AAC,2022,1858,89.1
2,Barley,SYNERGY AAC,2023,6693,61.2
2,Barley,SYNERGY AAC,2024,9383,68.2
2,Barley,SYNERGY AAC,2025,10424,75.7
2,Canola/Rapeseed,BY 7204LL,2021,,
2,Canola/Rapeseed,BY 7204LL,2022,,
2,Canola/Rapeseed,BY 7204LL,2023,,
2,Canola/Rapeseed,BY 7204LL,2024,3988,29.8
2,Canola/Rapeseed,BY 7204LL,2025,2121,46.0
2,Canola/Rapeseed,CP21T3P,2021,,
2,Canola/Rapeseed,CP21T3P,2022,1631,33.5
2,Canola/Rapeseed,CP21T3P,2023,880,16.5
2,Canola/Rapeseed,CP21T3P,2024,478,8.7
2,Canola/Rapeseed,CP21T3P,2025,582,41.4
2,Canola/Rapeseed,DK 801 LL,2021,,
2,Canola/Rapeseed,DK 801 LL,2022,,
2,Canola/Rapeseed,DK 801 LL,2023,,
2,Canola/Rapeseed,DK 801 LL,2024,,
2,Canola/Rapeseed,DK 801 LL,2025,1555,33.5
2,Canola/Rapeseed,DK400TL,2021,,
2,Canola/Rapeseed,DK400TL,2022,,
2,Canola/Rapeseed,DK400TL,2023,,
2,Canola/Rapeseed,DK400TL,2024,3914,27.1
2,Canola/Rapeseed,DK400TL,2025,3059,39.5
2,Canola/Rapeseed,LR354PC,2021,,
2,Canola/Rapeseed,LR354PC,2022,,
2,Canola/Rapeseed,LR354PC,2023,979,25.5
2,Canola/Rapeseed,LR354PC,2024,1977,32.1
2,Canola/Rapeseed,LR354PC,2025,897,38.7
2,Canola/Rapeseed,L140P,2021,,
2,Canola/Rapeseed,L140P,2022,4390,41.8
2,Canola/Rapeseed,L140P,2023,2070,25.6
2,Canola/Rapeseed,L140P,2024,,
2,Canola/Rapeseed,L140P,2025,1068,42.5
