Year,RM,Spring Wheat,Durum,Canola,Barley,Oats,Peas
2019,9,,57.2,41.8,,79.3,30.5
2020,9,,47.7,42.2,,,32.4
2021,9,,30.1,27.9,,34.6,21
2022,9,,36.3,31.8,,37.8,40.1
2023,9,,21.3,17.9,,16,23.7
2024,9,,16.8,9.3,,11.4,13.4
2015,10,13.79,26.81,28.18,30.65,,15
2016,10,,41.6,40.3,,,42.8
2017,10,17,12.22,11,46.09,,12.6
2018,10,21,20.7,16,,,22
2019,10,,50.5,27.9,29.6,,
2020,10,,48.8,30.9,,,
2021,10,26,29.8,27.5,,,20
2022,10,35,36.5,27.2,,24.8,26.5
2023,10,22,22.2,18,,,15.8
2024,10,16,15.1,2.5,,,7
2015,11,17.79,25.5,21.67,38.56,,21.1
2016,11,33.5,50,42.6,58.4,60,30.6
2017,11,,14,6.94,,,17.9
2018,11,,25,21.3,,40,
2019,11,,52.7,29,84.7,31,
2020,11,,57.8,35.6,78.8,,39.2
2021,11,,24.1,12.7,,8,
2022,11,,37.4,24.6,37.2,,21.6
2023,11,,38.7,30.1,,,
2024,11,,22,10.6,25,7.2,12.1
2015,12,27.54,26.87,33.4,61.76,73.73,17.9
2016,12,38.4,57,38.9,83.5,79.1,37
2017,12,14.44,20.02,12.05,20,25,17.1
2018,12,19.4,20,16.7,50,40,19
2019,12,41.5,47.4,32.6,100,82.9,39.7
2020,12,,46.3,35.1,50,55,42.5
2021,12,6.9,10.8,12,3.4,,6.7
2022,12,14.1,28.8,19.7,,10.5,24.7
2023,12,11.8,30.5,30.1,,,23.9
2024,12,,20.8,11.6,22.1,8.4,19
2015,17,29.62,36.39,33.17,57.52,66.42,26.1
2016,17,34.2,44.5,44.7,66.3,71.5,42.1
2017,17,11.47,22.55,18.38,12.89,,12.2
2018,17,,22.5,28,41,,12.2
2019,17,37.4,39.5,37.7,58.3,,29.6
2020,17,39.3,34.1,26.2,48,,29.2
2021,17,11,8.5,15,10.6,,6.1
2022,17,14.8,13.6,10.9,14.9,,9
2023,17,22.8,15.2,,22.8,,14.8
2024,17,35.1,29.2,24.1,46.2,,21.1
2015,18,20.52,34.55,,33.25,86.05,35.9
2016,18,25.2,43.5,,63.4,,32.8
2017,18,8.27,22.39,,29.7,,17.2
2018,18,34,22.4,18,45,,17.2
2019,18,46.8,42.1,27.2,64.9,,34.1
2020,18,45.4,37.4,24.2,60.9,,37
2021,18,17.1,7.1,,3.4,,8
2022,18,12.6,11.9,1.9,13.1,,11.2
2023,18,19.9,12.3,5.5,20.6,,14.3
2024,18,25.8,26.1,,36.7,,21.2
2015,19,23.46,31.49,28.76,29.09,66.63,19.7
2016,19,25.5,46,44.6,,66,34.4
2017,19,22.29,27.92,5.75,20.86,,8.6
2018,19,19.1,25,5,24,,16
2019,19,21.2,33.4,26.4,47,,33.5
2020,19,25.6,31.6,29.2,41.6,,33.8
2021,19,12.6,9.6,4.1,6.3,,10.2
2022,19,10.5,13.6,6.4,14.1,,13.8
2023,19,12.5,10.7,,11.1,,15
2024,19,18,24.3,10.2,28.1,,21
2015,31,39.95,,31.38,48.81,55.44,26.9
2016,31,46.7,,36.6,74.1,70.7,30.9
2017,31,41.11,,35.44,54.7,77.01,43.1
2018,31,44.1,51,35.4,62.2,85,40
2019,31,52.2,55,37.6,83.6,74.4,44.1
2020,31,54.6,50.5,40.7,81.6,85.7,49.8
2021,31,43.7,38.9,31.8,57,57.2,27.9
2022,31,53.2,64.9,42.7,75.9,92.4,43.5
2023,31,48.8,,38.9,69.6,72.6,36.3
2024,31,61.5,66.8,40.5,83.9,103.7,53.6
2015,32,39.91,,34.79,51.87,70.45,40.9
2016,32,41.8,47.6,35.8,59.7,88.7,38.6
2017,32,41.59,,31.41,60.14,81.04,37.7
2018,32,44.7,,32.3,64,84,44
2019,32,46.7,,32.9,76.3,78.2,40.1
2020,32,56.1,,38.5,79.2,76.7,52.5
2021,32,46,,34.7,63.1,71,36.7
2022,32,49.5,,40.5,73.8,92.7,40.2
2023,32,49.2,,37.6,73.5,63.5,41.5
2024,32,57.2,54.1,36.3,83.9,114.1,49.3
2015,33,32.73,22.81,32.69,56.5,71.43,38.8
2016,33,47.9,46.2,40.5,65.4,78.6,43.5
2017,33,37.11,40.9,30.35,59.16,66.13,37.8
2018,33,41.7,41,32.9,79,65.5,47
2019,33,50,39.1,37.1,81.3,83,49
2020,33,54.9,58.2,41.8,85.6,97.1,56.8
2021,33,49.5,54.2,33.9,77.2,73.9,43.6
2022,33,53,51.8,43.7,75.1,89.7,39.8
2023,33,46.1,44.3,38.7,62.1,77.5,38.5
2024,33,56,52.5,38.5,87.1,105.3,45.6
2015,34,38.06,42.48,29.63,58.04,57.92,35.1
2016,34,52.3,54.8,35.5,73.4,79.5,37.3
2017,34,46.18,51.48,30.26,65.04,71.41,34.4
2018,34,46.2,50,36.4,68.5,73,40.5
2019,34,47.5,49.7,37.9,64.9,67,37.5
2020,34,50.5,48.5,37.9,77.3,91,41.1
2021,34,50.3,45.2,32.4,71.7,98.8,36
2022,34,53.6,53.9,40.7,80.1,115.4,30.4
2023,34,48.2,36.5,35.6,63.1,93.3,37
2024,34,52.5,52.1,37.8,78,111.9,32.8
2015,35,29.75,35.87,27.35,41.4,34.51,30.5
2016,35,38.4,50.4,33,59.3,66.8,34.3
2017,35,41.51,40.39,35.58,69.22,52.55,31.3
2018,35,41.5,48,35.6,68,48,36
2019,35,41.6,45,35.5,71.7,,37.4
2020,35,50.9,57.2,39.2,81.4,52.9,45.5
2021,35,37.5,34.9,27.6,49.5,,30
2022,35,53,54.7,42.9,83.3,,31.2
2023,35,41.2,36.4,30.2,63.7,,31.7
2024,35,48.9,47.2,31.9,72.3,,32.4
2015,36,25.76,38.54,29.27,36.29,53.75,30.8
2016,36,32.6,53.4,31,44.9,47.4,42.2
2017,36,28.3,29.06,26.94,38.52,,18.5
2018,36,35.1,39.5,32,58,48,40
2019,36,45.8,51,33.4,64.9,44.6,40.5
2020,36,43.5,53.8,39,72.6,55.7,37.1
2021,36,30.1,33,23.3,43.2,17.6,22.7
2022,36,50.3,59.9,43.5,63.2,79.8,37.7
2023,36,34.5,37.4,27.4,53.7,14.7,30.8
2024,36,43,44.6,31.1,69.8,49.7,25.3
2015,37,29.04,29.41,31.82,45.03,56.54,31.3
2016,37,36.6,44.2,35.6,63.4,49.9,40.1
2017,37,17.7,22.13,15.44,,15.85,17.3
2018,37,27.8,33.6,25.7,,58,38
2019,37,33,37.5,20.2,,45.2,36.2
2020,37,43.2,44.2,32.7,,21.7,41.3
2021,37,22.9,28.6,21.5,,,29.7
2022,37,47.8,52.9,36.6,,,40.8
2023,37,38.1,31.3,24.6,,,32.5
2024,37,31.8,31.8,22.4,38.1,,29.2
2015,38,27.33,28.73,29.45,20.85,38.82,21
2016,38,29.5,43.3,40.7,44.8,51.1,40.3
2017,38,21.17,22.33,13.34,25,19.83,18
2018,38,34.3,29.4,23.3,39,49.3,25
2019,38,37.1,39.9,27,45.8,55.4,30.6
2020,38,41.1,46,37.2,55.1,53.5,37.3
2021,38,33.5,30,23.8,26.5,38.7,27.5
2022,38,39.1,48.4,36.4,52.3,71.9,33.5
2023,38,35.4,32.6,24.5,45.8,30,28.9
2024,38,20.3,23.3,14.9,7.4,2.6,26.9
2015,39,28.95,34.01,28.8,41.55,54.99,23.5
2016,39,36.3,57.6,46.6,55,67.4,42.5
2017,39,21.62,25.44,17.83,,,21.3
2018,39,37.5,37.8,31.6,,,38
2019,39,47.1,57.5,37.8,86.4,39.9,39.6
2020,39,,62.1,40.7,80.8,,46.6
2021,39,,39.1,28.9,45.8,,31.1
2022,39,,43.9,30.3,37.4,,31.7
2023,39,,34.3,25.8,3.4,15.7,30.2
2024,39,,22.5,11.1,29,,19.5
2015,40,25.82,22.67,26.86,30.8,25.61,18.7
2016,40,24.1,38.8,37.1,42.4,124.9,31.5
2017,40,12.56,14.95,11.57,,19.6,11.1
2018,40,17.8,22.2,30,45,19.6,19.1
2019,40,28.9,38.3,29.9,46.7,,29.9
2020,40,26.4,41.3,26.6,37.3,43.9,34
2021,40,8.9,28,20.6,24.3,,21.6
2022,40,15.7,36.6,25.9,14,,27.1
2023,40,6.3,21,18.8,24.9,14.8,23.6
2024,40,16,16.8,7.4,10.4,,13.4
2015,42,27.47,34.25,37.93,39.31,64.91,26.8
2016,42,40.5,52.7,50.9,52.8,78.1,38.2
2017,42,14.94,17.97,14.91,22.96,,16.1
2018,42,28,27,34,60,,26
2019,42,36.4,46.1,37.6,56,,31
2020,42,35.4,46.9,32.5,53.7,,36.9
2021,42,18.9,14.9,13.6,23.5,,14.6
2022,42,27.5,38.5,25.4,40.5,,27.3
2023,42,19.7,26.3,27.4,29.5,,25.5
2024,42,19.4,21.6,10.7,32.3,,21.1
2015,43,24.82,25.04,20.48,20.79,48.01,24.9
2016,43,28.9,40.2,37.3,34.1,67.7,35
2017,43,16.98,14.21,9.49,10.19,30,13.1
2018,43,18.5,19.7,15.5,20,31,15.9
2019,43,32,35.3,18,30.5,46,21.2
2020,43,37.2,38.9,22.2,40,40.3,30
2021,43,8.7,6.9,6,5.6,15,5.8
2022,43,30.3,28.2,25.9,31,35.1,21
2023,43,15.5,16.9,11.8,2.9,,16.6
2024,43,19.9,17,8,14.9,17.7,13.6
2015,44,21.32,34.37,37.74,37.05,43.66,24.5
2016,44,25,40.9,47.1,70.4,56.6,38.4
2017,44,12.34,25.1,17.56,59.41,2.37,10.6
2018,44,15.1,26.4,18,9,4,14.3
2019,44,21.4,37.4,35.5,51.3,34.2,24.9
2020,44,17.8,31.4,19.4,28.9,59,20.8
2021,44,3.9,,,,,
2022,44,21.7,22.6,17.3,17.1,8.8,27
2023,44,17.4,11.8,10.8,7.5,,19.4
2024,44,23.2,16.8,10.3,11.7,22.9,22.9
2015,45,29.2,32.29,32.5,67.72,55.42,25.3
2016,45,,49.2,,26.9,47.3,29
2017,45,11.34,24.33,9.33,,,15.4
2018,45,13,24.3,30,12,,19.7
2019,45,34.4,35.3,38.9,38.5,,25.5
2020,45,25.9,37.8,24.4,51.4,,29.6
2021,45,3.3,1.7,4,1.7,,2.7
2022,45,11.1,19.3,11.4,16.2,14.8,18.8
2023,45,12.7,17.5,13.4,16.9,,28
2024,45,11.7,23,13.5,10.7,45.1,27.3
2015,46,40.74,40.53,,53.98,88.12,29.1
2016,46,50.8,46.8,,53.6,39.5,28
2017,46,12.5,23.53,12.63,15.7,27.69,10.4
2018,46,26,26.4,,29,,22
2019,46,38.4,42.4,36.9,47.1,,31.1
2020,46,23.1,40.4,,41.3,26.9,35.7
2021,46,7.2,4.2,6,3.4,4.1,3.5
2022,46,17.7,18.1,15.4,19.4,13.9,14.1
2023,46,13.7,11.8,,19.2,1,19.1
2024,46,39.5,28.4,19.8,64.4,,21.4
2015,49,33.83,39.36,28,54.68,82.84,35.2
2016,49,32.8,50.8,26.8,56,100,45
2017,49,,20.49,17.52,38.02,,15.2
2018,49,,25.2,25,37,,20.1
2019,49,34.7,43.4,33.9,52.8,,37
2020,49,38.8,33.8,26.7,43.4,,33.1
2021,49,,11.8,18.3,15.7,,14
2022,49,13.3,19.3,12.1,45.3,10.1,14.2
2023,49,21.5,17.7,12.7,28.8,,19.3
2024,49,23.7,30.3,20.6,45.9,,23.6
2015,51,25.53,26.12,15.67,44.13,,29.3
2016,51,34.1,42.3,36,64,56.3,45.6
2017,51,18.35,24.9,14.48,29.6,,24.1
2018,51,21.9,24.9,13.5,35.1,44,25
2019,51,27.1,33.7,19.5,47,60,31.4
2020,51,16.8,21.9,15.1,31.6,30,27
2021,51,8.3,8.8,4.6,11.8,,12.2
2022,51,14.1,20.4,,24.1,,19.6
2023,51,19.4,24,19,40.1,28.3,26.7
2024,51,21.8,28.5,,40.7,33.8,21.7
2015,61,38.76,44.8,31.43,66.93,85.13,35
2016,61,42.5,42.5,33.6,66.6,76.6,32.9
2017,61,51.34,62.6,35.76,70.31,82.41,48.2
2018,61,51.5,56,34.6,70.3,91.2,47
2019,61,54.2,,38.6,76.5,99,48.4
2020,61,58.3,,40.6,78.3,103,53.3
2021,61,49.4,,34.9,58.6,79.3,32.8
2022,61,53.6,,38.8,69.9,121.3,34.7
2023,61,55.5,,42.8,74.9,101.2,47
2024,61,60.9,,39.5,88.9,113.5,49.9
2015,63,41.39,,34.48,71.91,62.25,39.6
2016,63,50.4,,38.5,78.4,72.6,34.2
2017,63,52.04,59.51,33.82,84.6,93.41,41
2018,63,55,72,39.4,92,99.9,46
2019,63,51,62.1,40,87.8,103.9,51.8
2020,63,58.7,78.6,46.3,87.4,143,60.4
2021,63,54.8,55.7,38.6,84.1,83.2,45.1
2022,63,50.3,66,44.6,84.7,128.6,39.2
2023,63,54.5,41,42,76.5,63.2,32.8
2024,63,58.5,65.1,41.1,94.3,,44.1
2015,64,39.57,30.1,32.49,66.31,80.01,35.3
2016,64,44.9,49.5,37.9,70.3,78.7,32.9
2017,64,42.31,36.23,32.5,71,85,42.7
2018,64,44.4,42.5,38,79.5,102.5,39
2019,64,42.1,37.5,38.7,72.8,92.9,42.9
2020,64,58.9,52.4,39.7,71.8,94.8,38.4
2021,64,46.5,37.2,38.6,71.7,86.9,36.8
2022,64,44,39.6,39,75.4,87.7,34.1
2023,64,46.8,37.8,35.9,58.1,70.5,25.5
2024,64,52.7,54.6,38.3,74.9,103,35.7
2015,65,34.25,27.22,26.78,34.63,53.68,25
2016,65,43.1,39.5,34.1,62.1,62.6,38.5
2017,65,34.99,28.83,24.75,46.9,48.99,31.2
2018,65,40.7,35.4,33.6,58.5,56.5,33
2019,65,50.4,50.7,39.8,59.8,60.8,45.6
2020,65,39.8,38.9,42.4,76.2,92,48
2021,65,34.9,31.7,29,49.5,54,33.9
2022,65,50,51.6,42.1,83.7,89.9,42.3
2023,65,41.2,30.6,28.2,51.7,28.3,31
2024,65,45.9,45.7,33.9,64.3,63.6,37.8
2015,66,36.69,30.63,28.89,34.03,67.8,21.1
2016,66,40.4,41.5,39.5,57,,43.9
2017,66,35.53,26.44,22.92,47.85,,26.8
2018,66,42.1,38.2,31.5,52.1,75,35
2019,66,54.2,47.1,39,83.2,,39.7
2020,66,49.6,51.7,38.6,84.1,,49.2
2021,66,37.3,32,26.8,50.4,69.6,31.1
2022,66,52.2,54.5,43.6,70.8,113.9,42.4
2023,66,38.6,30.3,24.9,48.7,,30.8
2024,66,45.4,40.4,29.8,75,106.6,37
2015,67,33.48,32.72,27.13,56.42,65.43,33.3
2016,67,41.7,45.4,35.5,78.3,85.3,32.9
2017,67,27.7,30.33,19.96,51.96,38.86,22.1
2018,67,31.4,39.7,29.5,67,60,38
2019,67,43.9,50.1,30.2,69.4,74.8,39.9
2020,67,43,47.7,32.8,65.7,68.5,51.7
2021,67,26.9,30.9,20.6,40.1,52.4,30.3
2022,67,43.4,53.4,41.2,60.4,76.6,44.3
2023,67,36.1,34.5,29.8,54.1,49.5,35.4
2024,67,34,39,25.6,49.2,66.9,34.5
2015,68,16.37,24.18,25.7,36.51,,17.2
2016,68,31.9,47.8,42.7,69.9,,19.4
2017,68,15.03,18.01,17.01,25.17,11.6,8.3
2018,68,31,31.3,31.5,62,23,22
2019,68,27.1,41.7,27.7,41.8,,32
2020,68,36.4,43.5,33,61.8,59.3,35.9
2021,68,25.1,30.6,21.5,32.3,,27.5
2022,68,40.2,48.2,37.7,44.1,71.7,29.8
2023,68,29,31.7,26.3,42.6,,19.6
2024,68,22.3,33,21,31.5,39.4,25
2015,69,14.87,21.67,29.67,23.75,22.55,13.7
2016,69,29.4,43.3,37.6,34.6,54.5,30.1
2017,69,15.26,24.28,20.8,12.82,20.05,14.4
2018,69,20.8,30.5,24.9,31,26,28
2019,69,29.9,41.5,33,31.5,31.1,29.9
2020,69,30.1,47.4,37,26.6,51.2,38.5
2021,69,24.1,34.5,25.7,32.9,24.5,27.2
2022,69,20,42.3,33.7,17.2,40.6,30.2
2023,69,22.1,27.8,21.5,20.2,9.4,22.3
2024,69,31.8,30,15.6,37.5,24.1,11.5
2015,70,18.72,29.63,32.81,25.48,31.11,20.7
2016,70,35.9,35.4,39.8,41,64.5,31.8
2017,70,17.95,24.16,16.86,31.29,,16.3
2018,70,26,29.6,25,35,,29
2019,70,24,42.1,34.1,35,32,34
2020,70,22.8,43.3,40.6,53.9,50.2,32.7
2021,70,30.8,32,24.2,27,26.6,22.3
2022,70,40.7,44.5,34.3,,,35.9
2023,70,,33.5,27.3,34.7,,30.1
2024,70,13,30,18.7,42.9,,21.1
2015,71,27.19,31.44,33.44,33.64,26.57,24
2016,71,36.6,45,40.1,54.4,79.1,30.6
2017,71,24.23,20.18,18.1,13.85,,14.1
2018,71,37,26.6,26.5,40,,21.6
2019,71,50,45.1,41,64.1,,36.3
2020,71,42.3,48.2,34.2,65.4,,40.6
2021,71,30.5,28.2,21.1,27.6,,26.5
2022,71,42,41.9,34.7,57.9,,34.8
2023,71,,24.9,17.5,24.9,,22.8
2024,71,,18,9.7,34.6,22.5,15.5
2015,72,43.06,31.29,31.94,40.45,,27.6
2016,72,62.5,58.6,47.9,55.3,92,39.4
2017,72,25.77,32.06,24.84,27.57,,18
2018,72,40,32.1,28.3,35,,22.5
2019,72,57.9,51.4,43.4,66.3,,26.6
2020,72,51.4,48.3,34.9,73,,31.6
2021,72,29.1,18.6,14.2,24.2,,23.7
2022,72,41.6,38.5,26.8,61.2,,27.3
2023,72,35,22.1,17.9,43.5,,28.9
2024,72,33.3,16.9,10.6,37.4,,16.3
2015,73,30.79,32.44,36.82,40.55,58.57,27.4
2016,73,40.7,49.4,40.9,63.3,45,22.1
2017,73,35.36,31.48,24.44,53.46,,16.3
2018,73,35,28.8,24.9,,,18.6
2019,73,42.6,44.5,39.8,59.6,,28
2020,73,40.7,44.7,32.2,44.5,,36.5
2021,73,14.3,9.2,7,16.3,25,10
2022,73,30.5,28.1,17.5,38.8,,21.6
2023,73,19.5,17.6,15.9,36.9,,16.4
2024,73,21,14.8,10.3,19.3,11,15.7
2015,74,33.01,35.07,35.17,,62.47,30.6
2016,74,22.2,50.6,42.3,78.3,,32.4
2017,74,23.99,30.48,24.66,36.56,,18.5
2018,74,24,27.7,24.7,7,,18.5
2019,74,47,44.6,34,46,,27.1
2020,74,20.2,35.5,21.8,41.8,,24.3
2021,74,5.1,3.3,5.2,6.8,,7.6
2022,74,18.9,18.8,12.3,24.6,,15.1
2023,74,18.6,11.3,12.3,15.3,,11.4
2024,74,25.5,17.9,14.2,31.4,,14.5
2015,75,37.3,37.68,38.25,61.15,56,36
2016,75,49.5,53.3,48.3,70.3,85,35.4
2017,75,25.06,28.48,19.88,40,50,20.2
2018,75,26,25.1,24,48,60,23
2019,75,40.3,42.6,33.7,46.9,80,40.8
2020,75,27.5,34.3,27.6,36.5,50,26.6
2021,75,6.2,3.5,7.4,8,10,8.6
2022,75,10.8,17.1,14.6,19.2,30,16.4
2023,75,7.2,8.6,12.2,7.9,6,15.7
2024,75,19.6,19.5,13.7,28.5,40,22.9
2015,76,31.82,43.79,42.17,56.16,29.59,35.4
2016,76,49.4,41.8,46.1,59,44.5,38.7
2017,76,22.38,20.44,18.39,21.68,22.97,16.7
2018,76,23.5,20.4,15,21.5,25,16.7
2019,76,55.2,45.7,,56.2,,35.9
2020,76,40.6,37.5,30.6,52.6,,33.5
2021,76,8.9,4.7,7.3,1.5,,7.4
2022,76,19.6,17.7,9,18.9,14.7,16.1
2023,76,15.4,15.3,13.8,18.4,11,18.4
2024,76,22.9,27.2,14.3,47.4,,24.5
2015,77,34.95,37.28,36.87,39.05,27.86,29.3
2016,77,21.9,51,41.8,34.9,69.8,37.3
2017,77,,22.29,20.62,17.59,32,13.2
2018,77,,22.3,20.6,,,16.1
2019,77,47.4,46.9,35.5,70,80,37.4
2020,77,33.8,36.1,27.7,48.7,50,31.8
2021,77,8,7.8,5.9,9.5,,12.1
2022,77,16.7,13.9,7,18.6,,14.4
2023,77,15,11.8,8.8,9.6,,11.7
2024,77,35.9,28.2,26.1,35.3,,19.2
2015,78,23.37,39.05,33.38,51.42,,26.9
2016,78,40.5,56.7,51.6,52.5,,41.4
2017,78,25,32.46,22.11,50,40,26.3
2018,78,,32.5,22.1,44,,26.3
2019,78,39.1,50.9,42.3,55.8,,40.9
2020,78,,37.2,28.3,48,,34.8
2021,78,,18.3,16.5,20.7,,15
2022,78,,25.9,14.7,36.7,,24.5
2023,78,18.9,16.4,14.2,18.2,20.1,16.3
2024,78,,37.1,23.6,51.7,,26
2015,79,27.49,40.64,31.56,42.51,47.08,29.5
2016,79,23.7,48.9,48.7,57.4,73.2,35.1
2017,79,25.48,24.66,19.4,26.78,,16.1
2018,79,40,29.7,24.5,40.8,,24.7
2019,79,39.7,45.5,34,52.4,,35.4
2020,79,34.5,36,22.7,55.5,50,29.5
2021,79,27.4,20.7,22.9,28.7,,23.3
2022,79,23,28.1,17.5,34.2,,19.9
2023,79,22.1,18.6,16.7,27.7,25,17.4
2024,79,32,25.8,22.4,44.9,,24.1
2015,91,44.22,,35.24,60.65,77.81,54.9
2016,91,49.3,,36.7,71.2,95.7,35.2
2017,91,54.25,,38.21,73.44,93.96,42.2
2018,91,54,,38.9,70.3,70,40
2019,91,55.2,,41.8,86.9,93.2,47.1
2020,91,63.9,,45.9,88.4,85.3,60.8
2021,91,50.9,,33.1,62.8,63.4,33
2022,91,55.1,,40.8,69.9,102.9,43.1
2023,91,58.3,,43,74.5,61.1,41.4
2024,91,63.4,,38.5,90.1,103.5,46.6
2015,92,40.8,,36.07,62.39,62.64,29.7
2016,92,48.6,62.1,40.3,65.7,54.2,45.1
2017,92,51.41,,40.66,63.07,68.85,49.7
2018,92,53.2,51,40.7,63.2,74,52
2019,92,58.9,,43.3,82.2,78.7,50.2
2020,92,63.2,64.9,45.6,85,96.3,54.2
2021,92,53.5,,37,65.2,69.8,43
2022,92,50.7,51,37.5,67.6,88.2,22.9
2023,92,56.1,52.4,43.1,77.4,78.6,45.1
2024,92,60.1,50.3,39.1,82.9,120.4,48.7
2015,93,41.29,,38.81,63.82,52.81,61.5
2016,93,49.9,,39.3,68,79.1,
2017,93,49.87,,37.93,79.48,71.59,
2018,93,49.8,,40.5,78,80,
2019,93,55.7,,42.4,75,74.4,36.4
2020,93,60.7,,45.1,77.9,119.6,
2021,93,52.2,,33.3,72.1,69.4,41.2
2022,93,51.3,,42.8,65.2,106.3,28.7
2023,93,50.6,,43.2,66.9,62.9,
2024,93,63.8,,39.9,72.9,108.7,
2015,94,34.42,,26.07,50.04,62.06,37.1
2016,94,42.7,,35.5,55.6,72.5,39.3
2017,94,42.19,59.9,28.88,68.61,56.41,56.2
2018,94,53,60,39.6,74,66.1,59.5
2019,94,54.2,61,44.1,60.9,61.3,42.2
2020,94,50.6,65,42.3,84.4,67.4,49
2021,94,47.1,53.3,27.7,47.6,47.1,37
2022,94,42.9,62.2,41.4,61.9,113.3,49.8
2023,94,44.3,39.1,34,59.9,,32.4
2024,94,58,49,34.5,77.2,57.2,34.9
2015,95,38.49,39.81,37.53,63.53,61.8,32.2
2016,95,46.5,52.6,40.1,80.2,77.1,38.3
2017,95,47.09,47.56,31.97,61.96,79.04,38.3
2018,95,50.5,60,37,71,79,42.6
2019,95,56.6,54.7,42.4,74.7,83.9,45.7
2020,95,49.3,49.6,41.1,74.1,77,41.9
2021,95,44,35.2,27.5,58.8,62.3,32.8
2022,95,52.1,50.7,41.7,62.3,74.2,42
