Year,Municipality,Variety,Farms,Acres,Yield_bu_ac,Reported
2020,PRAIRIE VIEW,AAC BRANDON (BW 932),44,12737,56.2,TRUE
2020,PRAIRIE VIEW,AAC CAMERON VB <CANTERRA>,3,1151,70,TRUE
2020,PRAIRIE VIEW,AAC REDBERRY,35,13933,61.7,TRUE
2020,PRAIRIE VIEW,AAC REDWATER (PT457),5,1034,42.8,TRUE
2020,PRAIRIE VIEW,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,46,23464,54.1,TRUE
2020,PRAIRIE VIEW,BOLLES <SEED DEPOT>,20,11257,63.1,TRUE
2020,PRAIRIE VIEW,CDC LANDMARK,14,4191,62.2,TRUE
2020,PRAIRIE VIEW,GLENN,3,1464,61.2,TRUE
2020,REYNOLDS,AAC BRANDON (BW 932),6,1158,47.3,TRUE
2020,RHINELAND,AAC BRANDON (BW 932),148,30732,67.5,TRUE
2020,RHINELAND,AAC ELIE(BW931),5,1093,66.3,TRUE
2020,RIDING MOUNTAIN WEST,AAC ALIDA (BW980),4,1878,62.8,TRUE
2020,RIDING MOUNTAIN WEST,AAC BRANDON (BW 932),40,17131,64.9,TRUE
2020,RIDING MOUNTAIN WEST,AAC ELIE(BW931),3,1490,55.6,TRUE
2020,RIDING MOUNTAIN WEST,AAC REDBERRY,23,6653,63.9,TRUE
2020,RIDING MOUNTAIN WEST,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,22,8347,65.7,TRUE
2020,RIDING MOUNTAIN WEST,BOLLES <SEED DEPOT>,23,8425,65,TRUE
2020,RIDING MOUNTAIN WEST,CDC LANDMARK,31,15421,63.7,TRUE
2020,RIDING MOUNTAIN WEST,CDC PLENTIFUL (PT580),4,697,73.5,TRUE
2020,RITCHOT,AAC BRANDON (BW 932),27,10518,70.7,TRUE
2020,RITCHOT,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,7,642,73.2,TRUE
2020,RIVERDALE,AAC BRANDON (BW 932),45,20224,57.6,TRUE
2020,RIVERDALE,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,5,1405,48.6,TRUE
2020,ROCKWOOD,AAC BRANDON (BW 932),62,22658.2,61.1,TRUE
2020,ROCKWOOD,AAC ELIE(BW931),8,2524,65.8,TRUE
2020,ROCKWOOD,BOLLES <SEED DEPOT>,4,910,60.6,TRUE
2020,ROLAND,AAC BRANDON (BW 932),61,17558,67.8,TRUE
2020,ROLAND,BOLLES <SEED DEPOT>,5,518,77.6,TRUE
2020,ROLAND,CARDALE (BW429),9,3143,66.6,TRUE
2020,ROSEDALE,AAC BRANDON (BW 932),34,12072,66.4,TRUE
2020,ROSEDALE,AAC ELIE(BW931),4,2922,60.3,TRUE
2020,ROSEDALE,AAC REDBERRY,5,2113,68.5,TRUE
2020,ROSEDALE,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,10,4819,63.7,TRUE
2020,ROSEDALE,BOLLES <SEED DEPOT>,4,684,74.5,TRUE
2020,ROSSBURN,AAC BRANDON (BW 932),36,14125,61.4,TRUE
2020,ROSSBURN,AAC REDBERRY,9,2994,57.9,TRUE
2020,ROSSBURN,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,7,2664,57.9,TRUE
2020,ROSSBURN,BOLLES <SEED DEPOT>,10,1904,63.1,TRUE
2020,ROSSER,AAC BRANDON (BW 932),35,16118,71.1,TRUE
2020,ROSSER,AAC ELIE(BW931),5,1842,62.8,TRUE
2020,ROSSER,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,3,1970,81.6,TRUE
2020,RUSSELL-BINSCARTH,AAC BRANDON (BW 932),13,3443,64.8,TRUE
2020,RUSSELL-BINSCARTH,AAC ELIE(BW931),3,1139,60.2,TRUE
2020,RUSSELL-BINSCARTH,AAC REDBERRY,10,4798,66.7,TRUE
2020,RUSSELL-BINSCARTH,BOLLES <SEED DEPOT>,4,535,68.3,TRUE
2020,RUSSELL-BINSCARTH,CDC LANDMARK,10,5875,60.5,TRUE
2020,RUSSELL-BINSCARTH,CDC PLENTIFUL (PT580),3,710,63.5,TRUE
2020,SIFTON,AAC BRANDON (BW 932),18,4883,50.9,TRUE
2020,SOURIS-GLENWOOD,AAC BRANDON (BW 932),30,17478,63.7,TRUE
2020,SOURIS-GLENWOOD,AAC TISDALE (PT250),3,2205,57.9,TRUE
2020,SOURIS-GLENWOOD,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,9,3374,61.6,TRUE
2020,SPRINGFIELD,AAC BRANDON (BW 932),46,14143,69.3,TRUE
2020,SPRINGFIELD,AAC ELIE(BW931),3,705,69.7,TRUE
2020,SPRINGFIELD,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,4,1690,84.7,TRUE
2020,SPRINGFIELD,BOLLES <SEED DEPOT>,8,1480,72.1,TRUE
2020,ST. ANDREWS,AAC BRANDON (BW 932),34,16459,70.8,TRUE
2020,ST. ANDREWS,AAC ELIE(BW931),11,4938,60.4,TRUE
2020,ST. ANDREWS,BOLLES <SEED DEPOT>,5,932,70.2,TRUE
2020,ST. ANDREWS,CARDALE (BW429),4,1395,76,TRUE
2020,ST. ANDREWS,CS DAYBREAK <CANTERRA>,3,990,64.8,TRUE
2020,ST. CLEMENTS,AAC BRANDON (BW 932),28,7973,63.8,TRUE
2020,ST. CLEMENTS,AAC ELIE(BW931),9,3122,71.1,TRUE
2020,ST. CLEMENTS,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,8,2318,76.9,TRUE
2020,ST. FRANCIS XAVIER,AAC BRANDON (BW 932),20,6457,66.7,TRUE
2020,ST. LAURENT,AAC BRANDON (BW 932),3,871,27.6,TRUE
2020,STANLEY,AAC BRANDON (BW 932),84,15544,68.2,TRUE
2020,STANLEY,AAC ELIE(BW931),12,3147,67.2,TRUE
2020,STANLEY,AAC TISDALE (PT250),3,879,55.8,TRUE
2020,STANLEY,CARDALE (BW429),5,708,69.3,TRUE
2020,STE. ANNE,AAC BRANDON (BW 932),25,4097,68.2,TRUE
2020,STE. ROSE,AAC BRANDON (BW 932),19,8740,64.3,TRUE
2020,STE. ROSE,AAC TISDALE (PT250),9,2168,56.8,TRUE
2020,SWAN VALLEY WEST,AAC BRANDON (BW 932),26,11111,66.5,TRUE
2020,SWAN VALLEY WEST,AAC CONNERY |PT245|,5,2039,59.2,TRUE
2020,SWAN VALLEY WEST,AAC REDBERRY,9,3112,57.7,TRUE
2020,SWAN VALLEY WEST,AAC TISDALE (PT250),8,1140,56,TRUE
2020,SWAN VALLEY WEST,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,77,42496,72.4,TRUE
2020,SWAN VALLEY WEST,AC STETTLER <SECAN> |BW867|,4,962,59,TRUE
2020,SWAN VALLEY WEST,BOLLES <SEED DEPOT>,6,1374,67.8,TRUE
2020,SWAN VALLEY WEST,CDC LANDMARK,4,981,63.6,TRUE
2020,SWAN VALLEY WEST,CDC PLENTIFUL (PT580),4,828,52.1,TRUE
2020,TACHE,AAC BRANDON (BW 932),52,12553,67.8,TRUE
2020,THOMPSON,AAC BRANDON (BW 932),51,15441,66.1,TRUE
2020,TWO BORDERS,AAC BRANDON (BW 932),80,44332.5,58.8,TRUE
2020,TWO BORDERS,AAC CAMERON VB <CANTERRA>,4,2177,48.5,TRUE
2020,TWO BORDERS,AAC ELIE(BW931),49,27266.5,56.7,TRUE
2020,TWO BORDERS,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,8,3244,52.6,TRUE
2020,TWO BORDERS,CARBERRY (BW874),6,2885,50.7,TRUE
