Year,RM,Spring Wheat,Durum,Canola,Barley,Oats,Peas,Lentils,Flax
2022,1,52.4,,37.4,90.3,105.6,47.4,,
2023,1,50.8,,36.8,53,55.1,44.9,,
2024,1,46.7,,36.4,77.1,99.4,40.1,,
2025,1,60.4,64.3,48.3,80.2,122.6,53.3,,
1990,2,31.4,37.2,20,55,60,,,23
1991,2,25.9,29.3,24.8,40.2,44.6,,,18.1
1992,2,37.9,40.3,31.8,75.1,77.2,,,19.3
1993,2,31.1,35.1,30,60.7,62.1,35,,25
1994,2,27.6,28.5,21,52.5,51,21.7,1300,17.5
1995,2,20.5,25.7,17.5,46.1,56,29.2,1200,23
1996,2,24.9,29.4,21.8,46.4,51.9,30,1500,20.8
1997,2,20.5,22.3,21.8,40.1,52.3,28.7,1233.3,14.7
1998,2,27.9,27,25.5,53.1,56.7,28.8,680,19.2
1999,2,22.5,25.7,21.6,34.5,34.1,35,1200,16.9
2000,2,31.6,32.4,27,52.4,60.9,40.6,,19.3
2001,2,25.5,23.8,23.5,45.2,46.8,31.1,,22.9
2002,2,30.8,25,23,46,46,27.9,,14.9
2003,2,32.2,33,18.6,46.3,47.8,29.9,,14.2
2004,2,34.8,28.5,27.9,56.7,57.8,28,,17.5
2005,2,31.6,25,26.8,48.3,66.2,24.1,,20.5
2006,2,31.7,,22.4,48.6,52.7,31.6,,16.5
2007,2,28.7,28,24.4,54.4,59.6,38.6,,19
2008,2,34.1,29.3,27.5,49.7,56.2,23.5,,21.9
2009,2,40.2,,36.4,54.2,56.9,32.9,,27.9
2010,2,37.6,,30,43.5,52.7,28.5,1300,17
2011,2,32.8,,26.4,31.5,47.5,15.6,,
2012,2,37.2,40,28.6,50.9,66.1,33.3,1200,22
2013,2,48.4,55,33.2,62.3,71.4,37,495,19.3
2014,2,,30.31,28.73,39.65,73.99,23,504.85,18.23
2015,2,36.63,32.67,29.45,44.18,55.23,29.7,,18.56
2016,2,40.3,54.4,31,63.1,104.2,30.1,767,24.6
2017,2,44.32,,33.77,50.92,70.13,34,,27.39
2018,2,44.4,,33.8,63,71.4,47,,24
2019,2,51.1,,34.4,59.8,83.5,43.1,,17.1
2020,2,58.1,60,41.3,80.8,93.5,56.4,1909,30.6
2021,2,43.7,37.7,30.4,52.1,76.5,44.1,,20.6
2022,2,46.5,53.1,39.1,61.2,77.9,46.9,,27.5
2023,2,48.5,,34.4,50.5,81.8,41.3,1728.4,
2024,2,56.2,45.7,36.2,67.5,95.3,48.3,1523,32.6
2025,2,59.9,53.9,44.6,86.7,104.3,53.7,,27.1
1990,3,32,31,19,36.8,65,,,20.7
1991,3,23,24.6,23.5,45.8,47.6,,,16
1992,3,34.5,30.3,28.8,68.5,75,20,1200,16
1993,3,31.5,32.4,30,53.5,63.3,32.3,,20.6
1994,3,22.1,16.8,20.4,60,60,32.5,1795,12.8
1995,3,26.3,28.3,18.8,44.4,49.2,25,1203,20.4
1996,3,29.3,28.1,24.1,51.4,56.9,21,2212,22.2
1997,3,21.5,23.7,16.6,38.4,46.3,20.5,950.1,15.8
1998,3,25.3,28.4,20.5,44.6,51.2,24.3,867.1,18.2
1999,3,25.1,26.9,20.3,45.3,42.4,30,1305.8,17.3
2000,3,31.7,33.4,21.6,44.1,52.6,23.8,875.7,16
2001,3,27.3,30.8,21.2,47.9,57.2,31,678,18
2002,3,27.6,29,19.5,44.4,50.9,21.9,380,16.4
2003,3,21.3,20.4,13.4,41,41.5,23.9,480,9.7
2004,3,31.6,35.5,27.5,41.6,59.2,39.1,900,18.5
2005,3,30.2,35.7,25.9,54.8,59.1,10.8,900,20.2
2006,3,30,32.5,19.3,50.9,54.4,29,480,14
2007,3,37.2,38.1,22.7,56,61.4,32.8,600,18.8
2008,3,31.2,30.2,24.4,55.7,49.2,31,660,15.7
2009,3,34,41.7,28.1,58.5,55,23.5,720,19.4
2010,3,35.6,35,29.2,53.5,59.6,27.1,909,17.4
2011,3,27.9,35,20.1,42.8,57.3,31.2,522,16.3
2012,3,39.4,40.3,25.1,55.6,71.2,27.5,600,16.1
2013,3,46.3,49,35.2,68.4,68.1,35,707,27.4
2014,3,37.41,38.91,36.44,70.06,51.01,30.7,644,17.82
2015,3,36.46,36.61,31.04,54.24,59.79,27.1,1156.46,23.45
2016,3,46,47.4,37.3,68.6,66.8,33.2,933,21.8
2017,3,42.78,34.91,32.55,64.34,71.67,28.8,1404.56,26.16
2018,3,46.6,50,32.6,65,72.5,35.5,1684,26.2
2019,3,48.9,49.7,33.1,63.1,60.3,39.1,1287,19.3
2020,3,49.5,46.7,34.5,78.2,68.1,39.5,2319,25.1
2021,3,44.5,42.3,26.1,70.8,74.6,44.5,900,15.8
2022,3,55.2,57.5,42.2,72.5,82.8,41.2,,31.9
2023,3,49,42.7,31.5,62.6,76.9,36.9,1594,26.1
2024,3,51.2,51.7,38.6,83.3,99.3,36.8,549,18.3
2025,3,55.6,58.4,48.2,95.1,110.5,51,1653,28.6
1990,4,25.9,26.7,,36.7,60,,,16
1991,4,21.2,23.5,,36.9,60.9,,,12
1992,4,31,38.2,29.6,40,35,,,12
1993,4,28.1,30.2,,42.1,52.8,,,15
1994,4,19.4,17.7,20,30,41.3,15,,20
1995,4,23.7,23,14.1,40,50,26.4,,20.1
1996,4,24.7,27,16.8,37.8,43,23.6,851,17.2
1997,4,17.9,18,9.4,27.3,33.2,16.9,,12.6
1998,4,20.6,22.4,19.4,42.2,51.8,27.1,,16.4
1999,4,19.6,20.8,20.7,38.4,47.9,29.1,1500,16.3
2000,4,22.9,29.3,23.8,40.8,45.3,33.3,722.9,14
2001,4,22.8,23.5,18.6,33.1,47.8,24,960,14.3
2002,4,23.9,28.7,19.8,28.9,40.6,22.2,,15.9
2003,4,21.6,18.4,15.7,34.1,42.6,19.5,,12.6
2004,4,26.6,27.5,23.4,59,46.5,26.4,,16.9
2005,4,35.6,36,25.3,39.7,51.5,18.7,,21
2006,4,30.3,32.5,18.9,49.3,42.3,26.6,,19.3
2007,4,28,23.9,20.3,53.4,42.6,30.3,,16.5
2008,4,29.6,26.2,22.9,40.8,39.8,26.4,,17.4
2009,4,33.9,29.9,24.9,44.2,,25.9,,18.4
2010,4,32.3,27.4,27.9,44.3,58.7,25.1,790,15.2
2011,4,21.7,30.2,19.5,29.1,35.6,,,19.1
2012,4,31.6,31,21.6,46.8,31.9,29.7,,18.7
2013,4,42.2,31.9,31.3,37,37.3,28.3,716,22.4
2014,4,43.42,41.34,32.7,68.15,53.66,32.6,,20.16
2015,4,28.78,23.53,25.39,38.62,47.87,27.8,1406.96,14.76
2016,4,45.4,42.6,35.6,43.8,106.7,31.2,1178,28.1
2017,4,39.11,36.54,29.46,50.42,61.16,36.6,1405.62,21.33
2018,4,46,46,36,50.4,,38,979,21
2019,4,44.3,57,39.1,58.7,68.9,38.7,1742,19.3
2020,4,45.6,51.6,33.3,51,,43.2,2061,25
2021,4,48,44,33.3,47.3,62.7,34.1,1958,23.5
2022,4,46.4,52.2,34.8,68.3,74.5,30.9,1641.8,27.5
2023,4,33.3,32.7,30.8,45,80,38.4,1366.9,26.4
2024,4,43.9,45.7,28.8,64.1,88.9,20.3,1373,26.3
2025,4,55.9,51.1,43.9,92.4,110.2,49.3,2096,31.6
1990,5,29.5,31.6,,35,55,,,22
1991,5,26.1,21.5,,40,45,,,8
1992,5,35.1,36,30,37.6,50.7,,,14.2
1993,5,31.4,31.2,,49.7,62.8,,,
1994,5,25.8,24.4,19.5,55,54.2,25,1796,18
1995,5,24.3,24.2,17,30,53.5,20,1100,17.8
1996,5,25,26,23.6,52.5,57.3,20.1,1198,19
1997,5,20.6,20.8,15.1,41.6,34.8,27.2,,11.2
1998,5,22.9,24.2,19.6,43.9,46.3,32.5,1238.4,16.5
1999,5,18.7,25.8,18,36.5,41.1,30.7,1177.2,18.5
2000,5,24.8,29.6,24.9,43.7,40.5,30.3,899.1,13.7
2001,5,21.4,21.8,17.9,32.6,44.4,29.8,908,17.4
2002,5,22.2,18.4,13.4,31.6,41.5,23.9,724,15.9
2003,5,18.5,19,7.7,30.1,34,17.1,822,8.3
2004,5,32.3,28.7,25.6,52.6,71.1,,1091,12.8
2005,5,28.9,32.4,24,50.7,52.3,,,18.7
2006,5,27.1,33.5,20.9,50,40,30.2,,16.2
2007,5,26.6,36.8,22.1,52.2,54.2,46.3,,19.3
2008,5,28.5,26.8,23.4,44.1,31.1,25.8,,16.4
2009,5,32,33.8,33,,,,,21
2010,5,27.1,31,29.8,60.6,56.9,25.7,928,19.6
2011,5,21.7,20.9,17.2,,,19.2,530,13
2012,5,29,27.3,26.8,44,,35,1516,18
2013,5,34.6,44.5,35.1,47.4,67,33.7,,16.5
2014,5,35.57,34.55,31.02,72.35,82.5,35.4,,17.79
2015,5,31.26,36.55,30.6,49,,32.5,1204.96,22.05
2016,5,26.5,45,32.1,76.8,,32.5,1274,22.9
2017,5,35.69,29.55,24.72,,,30.1,1473.01,17
2018,5,39.1,49,29.9,72,,34,1579,25
2019,5,43.3,44.5,33.9,58.2,48,37,1380,14.6
2020,5,47.6,50.8,34.8,83.4,,41.9,1583,27.4
2021,5,39.8,40.3,28.7,64.4,,35.2,1634,18
2022,5,37.6,52.6,42.2,84.6,,38.5,1571.9,28
2023,5,40.2,33.5,23.9,50,,32.7,1269.9,29.2
2024,5,47.6,40.7,29.5,52.1,,33.6,1523,18.4
2025,5,57.1,53.9,47.6,73.2,,46.9,1885,31.3
1990,6,29.4,28.5,,43,44,,,14
1991,6,22.4,32.4,,35,40,,,18
1992,6,39.2,38,,50,40,,,14
1993,6,29.8,33.9,27.6,43.5,48,,900,18
1994,6,23.7,28,19.9,35,60,,,18
1995,6,26.5,27.6,20.7,36.3,48,25,926,16.2
1996,6,26.9,29,28,46.4,56.2,9.5,1114,19.9
1997,6,18,17.9,12.6,41.6,51,23.3,1049.1,16.7
1998,6,20.9,23.2,17,49.9,52,28.7,1420.1,17.5
1999,6,15.6,24.6,18.2,49.2,60.1,30.8,1723.8,18.5
2000,6,26,32.1,29.9,51,67.3,26.7,1059.7,20.8
2001,6,23.1,25.7,22.3,34.3,40.1,28.6,1004,18.2
2002,6,27.1,21.5,15.6,37.4,37.9,21.3,776,13.1
2003,6,18,21.2,10.6,24,22.9,17.8,786,11.6
2004,6,25.1,31.9,30,33.5,60.1,32.2,917,13.3
2005,6,21.6,29.1,27,68.9,40.1,25.6,949,25
2006,6,25.3,21.8,10.8,33,30.9,18.4,694,10.4
2007,6,24.2,23.8,22.2,47.2,,27.8,898,13.9
2008,6,31.1,28.1,26.9,61.9,,31.4,1134,16.8
2009,6,33.7,41,38.7,,,41.6,1299,21.1
2010,6,28.3,29.4,25.6,47.1,32,22.4,929,17.5
2011,6,19.2,21.1,15.1,,,5.1,500,14.1
2012,6,29.1,28.1,22.3,,,25.4,1155,19.6
2013,6,47.6,47.4,38.2,49.4,72.3,37.1,1284,24.7
2014,6,38,48.76,35.04,70.27,91.3,29.5,1639.67,27.26
2015,6,30.56,37.62,31.42,34.87,87.23,33.1,1418.14,18.53
2016,6,33,47.1,34.8,54.4,97.3,35.4,1478,21
2017,6,23,24.77,15.69,27.85,,18.3,674.86,9.75
2018,6,37,36.4,24.8,54,,30,1137,20
2019,6,39.8,52.2,30.3,62.6,,38.7,1087,9.5
2020,6,43.4,51.1,35.3,87.3,58.7,39.4,1543,24.9
2021,6,36.3,41.9,30.1,56.2,47.3,33.8,1287,17.3
2022,6,53,55.5,39.2,69.5,,32.7,1131.2,24.6
2023,6,30.4,27.5,21,54,,25.3,780.2,23
2024,6,46.5,42.2,30.6,43.1,58.6,35.8,1212,21.6
2025,6,54.7,53.3,47,74.1,,38.9,1410,29
1990,7,29.2,27.7,,45,45,,,16.5
1991,7,19.3,28.7,,30,30,,,15
1992,7,35.4,40.7,,55,61.7,,,13
1993,7,29.6,33.7,25.9,15,35,,,26.2
1994,7,27.1,29.8,18.8,,85,,,15.1
1995,7,26,31.5,22.9,34.4,70,18.3,1100,19.5
1996,7,27.4,29.9,21.2,60.9,62.5,23.3,1286,24.5
1997,7,20.3,21.2,13.1,33.1,40.3,18.9,966.2,14.1
1998,7,22.3,25.1,20.2,38.2,62.4,30.3,1117.1,19.7
1999,7,24,25.9,19.4,49.7,44.8,21.7,1207,19.1
2000,7,24.7,29.3,21.4,40.6,,40.5,1262.8,14.4
2001,7,18.8,24.1,18.4,37.6,,21.5,924,18.1
2002,7,24.2,24.6,16.4,28.1,29.9,17.1,780,13.9
2003,7,19.3,21.2,12.8,38.3,47.1,18.7,952,11.3
2004,7,26.4,30.6,26.5,38.6,46.6,39,1025,10.7
2005,7,29.9,33.7,26.4,,55.2,31.8,1300,19
2006,7,23.5,26.4,16.7,,29.6,19.7,577,12
2007,7,17.7,24.1,21.9,48.2,37.3,34.2,1194,13.3
2008,7,,29,28.1,42.7,,27.5,1090,15.6
2009,7,30.5,36.5,33.2,,,34.7,1553,24.5
2010,7,35.4,32.5,32.6,,46.5,32.2,1459,25.5
2011,7,25.8,26.3,21,,,15.2,935,16.5
2012,7,30.3,31.6,25.8,,,28.5,1067,16.1
2013,7,48.6,51.2,42,85,,30.6,1186,26.3
2014,7,51.91,44.59,37.37,29.85,52.01,40.7,1776.15,25.74
2015,7,28.42,40.45,33.19,26.83,,32.8,1602.76,22.36
2016,7,44.9,47.3,37.9,44.3,110,37.1,1317,25.3
2017,7,,20.62,14.08,,,12.5,863.75,10.16
2018,7,49,32.8,25,,,21.5,1091,17.6
2019,7,53.2,50.4,29.3,88.5,66.5,31.6,1060,14.1
2020,7,21.5,49.8,35.6,67.8,,41.5,1512,26.1
2021,7,30,38.8,27.2,64.9,,29.9,1217,18.7
2022,7,41.9,51.4,38.5,69.6,54.6,33.4,1221.6,30.3
2023,7,28.3,29.5,21,32.6,,24.9,1054.7,19.5
2024,7,27.1,39,28.2,,,27.8,1472,
2025,7,,49.3,45,79.2,,34,1473,35.1
1990,8,25.7,22.5,,30,45,,,16
1991,8,20.7,27.1,,30,50,,,14
1992,8,32.3,28.8,,50,80,,,12
1993,8,25.8,37.7,,45.7,67.4,,,25
1994,8,27,29.9,25,40,63.5,20,,18
1995,8,18.3,28.8,15,40,44.6,12.5,600,21.8
1996,8,22.8,27.2,17,36.1,45.5,30,1500,18
1997,8,16.8,13.7,13.1,19.6,23.9,25,1200,7.8
1998,8,23.2,22.3,18.3,31.5,37.2,41.7,1229.3,14.4
1999,8,27.1,27.3,26.3,39.9,57.4,25,1563,17
2000,8,26.5,31.2,26.8,48.5,53.2,34,1631.5,21.7
2001,8,22.2,25.3,21.4,43.4,56.1,16.2,876,20.2
2002,8,22.3,24.7,20,35.4,43,22.5,1200,16.4
2003,8,16.4,16.1,6,20.1,29.1,16.3,387,7.9
2004,8,20,22.9,,40.1,60.9,33.7,961,13.5
2005,8,20.2,26.6,30,40,52.1,17,1260,21.2
2006,8,20.9,22.4,30,31.1,32,16.1,,10.3
2007,8,16.1,22.8,,38.6,19.8,29,,11.1
2008,8,16.8,23.7,,,28.3,23.7,,14.3
2009,8,24.4,36.7,27.1,,,32.1,1350,20.8
2010,8,28,30.8,31,67.1,59.6,31.6,1258,21.9
2011,8,24.2,32.2,22.9,,25.5,30,1360,15.7
2012,8,26.9,26.2,23.7,14.5,29.5,29,1116,14
2013,8,34,40.3,35.7,52,74.9,29.4,1547,23.4
2014,8,23.48,34.38,30.49,49.51,92.87,38.1,1440.97,19.84
2015,8,25.66,24.15,29.22,,29.57,24.1,1104.24,15.42
2016,8,35.9,33.8,40.4,40,66.7,36.8,1573,20.7
2017,8,17.17,25.71,14.2,,,,926.83,10
2018,8,31,32.4,23.6,,52,,1205,17
2019,8,33.9,53.6,30.2,,72.3,40.7,1391,17.5
2020,8,27.4,41.3,34.4,,67.9,,1413,22.5
2021,8,19.6,31.9,25.7,12.3,,21.5,1173,11.3
2022,8,19.5,38.7,30.9,,51.3,36.1,1385.3,17.9
2023,8,19.3,32.5,20.5,,19.6,26.1,1210.8,10.5
2024,8,27.5,22.5,17.7,23.2,36.9,17.4,1099,
2025,8,28.5,53.6,43.9,29.6,65.4,44.6,1626,30.2
1990,9,26.7,26.4,,30,43.3,,,10
1991,9,26.9,29.3,,38.7,60.2,,,5
1992,9,34.8,36.3,,59,55,,,10
1993,9,30.5,34.3,,44.4,65.2,,,16.5
1994,9,27.4,28.4,20,30,50,10,1500,14
1995,9,26.2,28.5,15,37.4,53.8,,1200,25
1996,9,30.9,26,,43.1,41.5,,900,
1997,9,28.4,24.9,,30,34.3,,,
1998,9,25.6,27.7,20,35.4,60.4,18,1050,20.4
1999,9,24.5,26.3,18.7,38.5,57.4,22.5,1200,17.2
2000,9,23.2,24.9,20,37,63,31.9,717,22
2001,9,20,21.3,,34.7,41.3,23.9,,12.7
2002,9,24.4,19.4,7.2,25.8,32.3,17.7,,8.9
2003,9,20.4,21.2,,32.6,31.4,24.4,465,6.7
2004,9,22.4,28,,44,48.5,35.2,642,14.4
2005,9,17.8,25.5,,29.7,40,22.7,846,18.7
2006,9,18,19.7,,22,27.3,16.2,,8.8
2007,9,16.3,22.4,20,41.3,33.9,23.9,960,14.7
2008,9,21.2,22.1,20,34.1,65.9,23.6,810,14
2009,9,28.9,32.3,,,55.5,31.9,1716,26.1
2010,9,31.7,33.4,25.9,58,50.1,35.6,1252,21
2011,9,29.4,32,20.1,,,27.1,1138,20
2012,9,22.2,25.2,22.5,,,29.6,1020,14.7
2013,9,37.1,41.3,37.7,58.9,57.5,42,1540,29.4
2014,9,28.8,36.17,35.71,,39.39,37.1,1593.65,21.32
2015,9,23.72,28.7,,,,22.8,1113.67,12.82
2016,9,,43.5,,,69.2,43,1773,22
2017,9,,19.9,17.31,,31.04,,615.96,8.12
2018,9,15,31.9,39,,61,36,922,
2019,9,,57.2,41.8,,79.3,30.5,1596,23.3
2020,9,,47.7,42.2,,,32.4,1281,
2021,9,,30.1,27.9,,34.6,21,1164,16.8
2022,9,,36.3,31.8,,37.8,40.1,1027.2,16
2023,9,,21.3,17.9,,16,23.7,1020.1,
2024,9,,16.8,9.3,,11.4,13.4,698,
2025,9,,44.5,42.8,,,35.9,1594,31.3
1990,10,18,19.2,,20,26.6,,,8
1991,10,26.3,32.6,,40,43.5,,,
1992,10,36.9,37.6,,52.2,52.9,,,9.3
1993,10,29.4,37,,55,70.3,,,
1994,10,25.7,28.7,,40,55.4,,,
1995,10,28.7,28.3,14,41.2,33,16.7,1000,14
1996,10,27.8,26.8,18,39,47.2,20.8,1045,
1997,10,21.8,19.2,15,24,39.5,20.7,900,16
1998,10,18.9,24.2,16,45,50,28.3,700,14
1999,10,25.3,23.3,19,45,43.6,32.1,1074.2,17
2000,10,22.8,27,19.5,40,40,38.3,1236.9,18
2001,10,21.8,22,16,24,47.3,27.8,887,16
2002,10,20.6,20.8,16,24.8,36.7,24,900,
2003,10,17.3,19.8,7.5,25.8,37.2,21.7,806,
2004,10,22.2,22.3,17,38.6,39.9,28,1010,
2005,10,23.5,30.1,16,31.7,40,21.2,1269,
2006,10,19.8,21.4,12,26.3,27.5,24,516,
2007,10,17.8,19.1,11,19.2,20.2,24.5,740,
2008,10,20.3,26.7,16,34.8,24,22.2,1320,
2009,10,24.7,28.8,18,31.2,42.8,23.3,1097,
2010,10,26.6,28.7,27.3,44,29.7,22.8,1213,
2011,10,22,24,20.9,22,27.9,22.4,1053,
2012,10,22.1,27.1,21.7,26,,24.5,1086,13
2013,10,23.4,39.6,31.8,,,27.4,1577,23.5
2014,10,24.89,21.84,30.45,40.17,,27.6,1320.12,18.07
2015,10,13.79,26.81,28.18,30.65,,15,1292.35,18.29
2016,10,,41.6,40.3,,,42.8,1609,30
2017,10,17,12.22,11,46.09,,12.6,675.01,
2018,10,21,20.7,16,,,22,807,
2019,10,,50.5,27.9,29.6,,,604,
2020,10,,48.8,30.9,,,,1446,23.8
2021,10,26,29.8,27.5,,,20,1237,14.2
2022,10,35,36.5,27.2,,24.8,26.5,874.8,17.9
2023,10,22,22.2,18,,,15.8,1083.8,13.6
2024,10,16,15.1,2.5,,,7,331,5
2025,10,38,35,28.2,29.1,,34.2,1404,19.8
1990,11,24.4,22.6,,42.5,33,,,10
1991,11,30,34.1,,36.5,63.3,,,
1992,11,33.3,35.1,,40,50,,,7
1993,11,30.5,30.2,15,44,40,,500,10
1994,11,28.6,27.1,15,30,27.3,,1200,10
1995,11,30,35.9,13.2,30,40,13.3,1000,20
1996,11,26.4,24.6,,40.6,40.6,23.7,1493,
1997,11,25.3,27.1,9.3,41.6,63.5,22,676,15
1998,11,25.2,31.1,23.9,45.1,43.7,30.2,1200,16
1999,11,28.2,35.4,21.1,44.2,43.8,32.7,1000,15.6
2000,11,25.5,26.7,11.2,27.4,52.7,32.8,,
2001,11,24.2,25.4,13.2,34.2,33.2,23.8,825,
2002,11,22.6,26.1,,34.1,31.3,25.5,,9.2
2003,11,19.9,19.2,7.2,22.1,24.7,18.5,,
2004,11,26.5,21.2,23.9,31.4,50.9,32.9,,
2005,11,24.5,29.2,20,49.3,39.8,29.6,965,
2006,11,15.7,20.1,9,24.5,23.7,19.7,,15.1
2007,11,23.1,21.4,11.3,44.7,56.7,38.6,,7.3
2008,11,24.1,24.5,,,25.6,24.8,,
2009,11,30.3,34.2,,,,25.8,,
2010,11,26.2,29,31.5,,32.1,25.7,1247,12
2011,11,24.3,27.4,22.6,,,22.3,924,
2012,11,28.4,28.6,24.6,,,29.3,1499,16
2013,11,29.5,39.6,33,,,33.4,1874,
2014,11,35.94,33.14,32.52,39.22,,28.2,1581.47,16.65
2015,11,17.79,25.5,21.67,38.56,,21.1,1129.19,
2016,11,33.5,50,42.6,58.4,60,30.6,1934,
2017,11,,14,6.94,,,17.9,522.7,
2018,11,,25,21.3,,40,,865,
2019,11,,52.7,29,84.7,31,,721,
2020,11,,57.8,35.6,78.8,,39.2,1808,32
2021,11,,24.1,12.7,,8,,970,12.8
2022,11,,37.4,24.6,37.2,,21.6,1333.8,14.5
2023,11,,38.7,30.1,,,,1144.6,26.6
2024,11,,22,10.6,25,7.2,12.1,737,2.5
2025,11,,29.7,29.7,,80.8,,1324,20.2
1990,12,12,17.5,,20,25,,,6
1991,12,25,26.3,,35,60,,,15
1992,12,31.4,25,,45.8,60,,,15
1993,12,30.5,32.8,,58.1,39.5,,1333,
1994,12,27,27.2,,30.7,50,12,1104,8
1995,12,28.1,31,15.5,55,65,,1237,20
1996,12,26.4,26.4,15.7,41.7,33.6,15,786,16
1997,12,22,24.4,11.3,30.1,40,,920.1,10.5
1998,12,22.1,21.4,13.6,35,62.3,,692.8,10
1999,12,31,32.5,26.9,53.5,69.2,19.2,1353.5,20
2000,12,24.7,30.8,19.9,36,63.8,32,1118.1,
2001,12,21,19.7,10,35.5,42.7,18.8,714,10.8
2002,12,16.3,20.8,15.5,37.4,47.2,21.9,926,8
2003,12,13.4,18.9,12.5,17.8,26,13.6,440,5.5
2004,12,22.1,22.3,16.7,43.2,50,41.4,1260,14.5
2005,12,29.8,27.2,17.7,42.9,42.4,25.5,1250,14.8
2006,12,19.3,20.1,21.3,19.5,29.8,14.6,660,10.9
2007,12,19.3,18.1,12.6,33.1,24.4,23.1,730,6.9
2008,12,27.5,28.5,20.2,47.3,40.7,21.7,789,12.5
2009,12,29,36.5,40,39.4,50,27.1,1538,30
2010,12,31.2,23.9,30.3,51,48.1,21.6,1374,13.4
2011,12,22.4,20.7,15.9,32.5,54.3,14.2,679,9.5
2012,12,32.9,29.6,22.2,36.3,44.4,27.6,1615,17.2
2013,12,43.8,39.1,33.9,57.6,78.4,32.2,1405,26.7
2014,12,45.05,35.71,33.33,37.46,,30.3,1528.66,21.13
2015,12,27.54,26.87,33.4,61.76,73.73,17.9,848.13,18.03
2016,12,38.4,57,38.9,83.5,79.1,37,2152,27.1
2017,12,14.44,20.02,12.05,20,25,17.1,737.51,3.62
2018,12,19.4,20,16.7,50,40,19,840,10
2019,12,41.5,47.4,32.6,100,82.9,39.7,1593,30
2020,12,,46.3,35.1,50,55,42.5,1512,30
2021,12,6.9,10.8,12,3.4,,6.7,450,5.9
2022,12,14.1,28.8,19.7,,10.5,24.7,1039.4,14.7
2023,12,11.8,30.5,30.1,,,23.9,1076.3,
2024,12,,20.8,11.6,22.1,8.4,19,577,
2025,12,,19.5,32.1,,12.1,17.3,1124,19.5
1990,17,16.1,15.5,,20,25,,,9
1991,17,32.1,28.6,,45,70,,,12
1992,17,19.2,21.7,,51.6,95,,,14
1993,17,28.3,33,25,72.6,80.8,36.7,695,30
1994,17,26.4,26.8,25,44.6,60,30,1400,20
1995,17,27.9,26.9,32.5,50.7,64.5,43.3,983,25
1996,17,21.8,20.7,14,32.8,47,33.3,1125,15
1997,17,28.2,30.9,20,37,48.4,15,660,20
1998,17,28.1,31.7,23,44.3,61.5,22.3,1138.9,20
1999,17,32.1,37.9,20,50,57.4,30,1445.7,20
2000,17,26.8,28.5,20,46.3,70,41,1159.5,20
2001,17,22.2,24.1,,37.8,42.5,15.2,669,
2002,17,26.2,35.2,,35.6,63.2,26.3,,
2003,17,23.4,22.5,,36,36.1,23,1103,
2004,17,38.1,39.6,30.1,70.2,80.3,46.3,2034,24.2
2005,17,29.9,33.3,,45.6,59.8,29,1032,14.2
2006,17,18.7,26.4,16.7,42.3,60,15.6,547,11
2007,17,20.5,20.1,,37.6,43,12.7,520,
2008,17,24.4,26.3,20,43.1,36.8,24.1,,
2009,17,25.8,27.2,27,42.1,60.1,19.9,,
2010,17,29,34.1,28.8,50.2,41.1,28.2,1813,
2011,17,33.2,36.2,16.5,47.9,43.6,16.8,1264,
2012,17,32.1,35,,42.2,,24.6,1198,20
2013,17,42.5,47.2,,69.8,77.5,34.6,1477,38.3
2014,17,35.32,43.02,,49.77,,38.6,1875.29,27.8
