field_id,soil_zone,variety,acres,yield_bu_ac,protein_pct,seeded_rate_lb_ac
W083,Dark Brown,AAC Viewfield,221,34.3,16.2,120
W084,Black,AAC Viewfield,365,58.0,14.9,113
W085,Black,AAC Brandon,399,51.3,16.4,124
W086,Dark Brown,AAC Viewfield,551,45.7,13.3,120
W087,Black,CDC Landmark,568,62.4,12.5,139
W088,Brown,CDC Landmark,318,38.1,16.2,92
W089,Dark Brown,AAC Brandon,123,44.5,15.3,134
W090,Dark Brown,AAC Brandon,560,51.4,16.6,94
W091,Dark Brown,AAC Brandon,156,32.9,16.2,124
W092,Dark Brown,AAC Brandon,492,44.1,16.5,102
W093,Brown,CDC Landmark,411,32.3,16.0,123
W094,Black,AAC Viewfield,212,49.7,13.9,108
W095,Brown,AAC Viewfield,85,30.2,17.2,127
W096,Black,AAC Brandon,620,,15.4,124
W097,Dark Brown,AAC Viewfield,306,47.5,14.5,101
W098,Dark Brown,CDC Landmark,581,46.4,13.8,108
W099,Black,AAC Brandon,386,52.4,13.1,99
W100,Dark Brown,AAC Viewfield,129,44.3,15.7,119
W101,Dark Brown,CDC Landmark,205,48.5,16.7,118
W102,Black,AAC Viewfield,532,52.8,15.4,124
W103,Dark Brown,AAC Brandon,311,42.7,15.0,108
W104,Black,AAC Brandon,138,55.8,15.7,127
W105,Dark Brown,AAC Brandon,122,52.9,13.5,138
W106,Brown,CDC Landmark,335,37.1,15.8,125
W107,Dark Brown,CDC Landmark,197,51.9,15.2,111
W108,Dark Brown,AAC Viewfield,297,38.4,16.7,92
W109,Dark Brown,AAC Viewfield,310,48.8,15.1,134
W110,Black,CDC Landmark,204,49.1,,103
W111,Black,CDC Landmark,100,51.9,14.7,128
W112,Dark Brown,AAC Viewfield,182,39.5,15.7,113
W113,Brown,AAC Brandon,133,42.0,16.2,93
W114,Brown,CDC Landmark,570,40.9,15.7,122
W115,Brown,AAC Viewfield,436,45.0,15.7,125
W116,Dark Brown,AAC Brandon,373,39.5,14.7,102
W117,Black,CDC Landmark,622,59.7,13.8,114
W118,Brown,AAC Viewfield,200,38.6,17.2,96
W119,Brown,AAC Brandon,326,42.5,16.6,126
W120,Brown,CDC Landmark,82,43.5,16.0,93
W121,Dark Brown,CDC Landmark,429,48.5,14.5,128
W122,Black,AAC Viewfield,259,54.3,14.6,126
W123,Black,AAC Viewfield,407,43.9,14.8,116
W124,Brown,CDC Landmark,552,39.8,15.9,111
W125,Brown,AAC Viewfield,325,36.3,16.5,123
W126,Brown,CDC Landmark,480,40.3,15.3,125
W127,Dark Brown,AAC Viewfield,356,35.6,14.4,132
W128,Black,AAC Viewfield,462,45.1,15.0,137
W129,Brown,AAC Brandon,511,35.3,15.1,95
W130,Dark Brown,AAC Viewfield,340,47.1,15.4,111
W131,Dark Brown,AAC Viewfield,361,42.6,16.0,137
W132,Dark Brown,AAC Brandon,312,40.5,15.4,131
W133,Brown,CDC Landmark,370,,16.4,116
W134,Black,AAC Viewfield,563,51.9,15.2,95
W135,Black,AAC Brandon,417,55.4,14.5,128
W136,Brown,AAC Viewfield,233,33.5,17.3,122
W137,Brown,CDC Landmark,412,40.2,17.0,125
W138,Dark Brown,AAC Brandon,350,45.5,16.8,122
W139,Dark Brown,CDC Landmark,255,41.3,15.8,120
W140,Dark Brown,AAC Viewfield,265,51.1,17.5,94
W141,Black,CDC Landmark,122,53.1,13.7,136
W142,Dark Brown,AAC Brandon,460,50.1,14.6,109
W143,Brown,AAC Viewfield,518,31.8,16.7,90
W144,Dark Brown,CDC Landmark,520,47.9,16.3,119
W145,Brown,CDC Landmark,96,44.3,14.7,135
W146,Dark Brown,AAC Viewfield,221,37.9,15.2,95
W147,Black,AAC Viewfield,554,49.3,15.2,129
W148,Dark Brown,AAC Viewfield,350,45.3,16.1,100
W149,Black,AAC Brandon,438,51.5,15.5,123
W150,Dark Brown,AAC Brandon,378,40.4,15.6,112
