Year,RM,Crop,Yield,Unit
2005,3,Canola,25.9,bu/ac
2006,3,Canola,19.3,bu/ac
2007,3,Canola,22.7,bu/ac
2008,3,Canola,24.4,bu/ac
2009,3,Canola,28.1,bu/ac
2010,3,Canola,29.2,bu/ac
2011,3,Canola,20.1,bu/ac
2012,3,Canola,25.1,bu/ac
2013,3,Canola,35.2,bu/ac
2014,3,Canola,36.44,bu/ac
2015,3,Canola,31.04,bu/ac
2016,3,Canola,37.3,bu/ac
2017,3,Canola,32.55,bu/ac
2018,3,Canola,32.6,bu/ac
2019,3,Canola,33.1,bu/ac
2020,3,Canola,34.5,bu/ac
2021,3,Canola,26.1,bu/ac
2022,3,Canola,42.2,bu/ac
2023,3,Canola,31.5,bu/ac
2024,3,Canola,38.6,bu/ac
2025,3,Canola,48.2,bu/ac
1992,4,Canola,29.6,bu/ac
1994,4,Canola,20,bu/ac
1995,4,Canola,14.1,bu/ac
1996,4,Canola,16.8,bu/ac
1997,4,Canola,9.4,bu/ac
1998,4,Canola,19.4,bu/ac
1999,4,Canola,20.7,bu/ac
2000,4,Canola,23.8,bu/ac
2001,4,Canola,18.6,bu/ac
2002,4,Canola,19.8,bu/ac
2003,4,Canola,15.7,bu/ac
2004,4,Canola,23.4,bu/ac
2005,4,Canola,25.3,bu/ac
2006,4,Canola,18.9,bu/ac
2007,4,Canola,20.3,bu/ac
2008,4,Canola,22.9,bu/ac
2009,4,Canola,24.9,bu/ac
2010,4,Canola,27.9,bu/ac
2011,4,Canola,19.5,bu/ac
2012,4,Canola,21.6,bu/ac
2013,4,Canola,31.3,bu/ac
2014,4,Canola,32.7,bu/ac
2015,4,Canola,25.39,bu/ac
2016,4,Canola,35.6,bu/ac
2017,4,Canola,29.46,bu/ac
2018,4,Canola,36,bu/ac
2019,4,Canola,39.1,bu/ac
2020,4,Canola,33.3,bu/ac
2021,4,Canola,33.3,bu/ac
2022,4,Canola,34.8,bu/ac
2023,4,Canola,30.8,bu/ac
2024,4,Canola,28.8,bu/ac
2025,4,Canola,43.9,bu/ac
1992,5,Canola,30,bu/ac
1994,5,Canola,19.5,bu/ac
1995,5,Canola,17,bu/ac
1996,5,Canola,23.6,bu/ac
1997,5,Canola,15.1,bu/ac
1998,5,Canola,19.6,bu/ac
1999,5,Canola,18,bu/ac
2000,5,Canola,24.9,bu/ac
2001,5,Canola,17.9,bu/ac
2002,5,Canola,13.4,bu/ac
2003,5,Canola,7.7,bu/ac
2004,5,Canola,25.6,bu/ac
2005,5,Canola,24,bu/ac
2006,5,Canola,20.9,bu/ac
2007,5,Canola,22.1,bu/ac
2008,5,Canola,23.4,bu/ac
2009,5,Canola,33,bu/ac
2010,5,Canola,29.8,bu/ac
2011,5,Canola,17.2,bu/ac
2012,5,Canola,26.8,bu/ac
2013,5,Canola,35.1,bu/ac
2014,5,Canola,31.02,bu/ac
2015,5,Canola,30.6,bu/ac
2016,5,Canola,32.1,bu/ac
2017,5,Canola,24.72,bu/ac
2018,5,Canola,29.9,bu/ac
2019,5,Canola,33.9,bu/ac
2020,5,Canola,34.8,bu/ac
2021,5,Canola,28.7,bu/ac
2022,5,Canola,42.2,bu/ac
2023,5,Canola,23.9,bu/ac
2024,5,Canola,29.5,bu/ac
2025,5,Canola,47.6,bu/ac
1993,6,Canola,27.6,bu/ac
1994,6,Canola,19.9,bu/ac
1995,6,Canola,20.7,bu/ac
1996,6,Canola,28,bu/ac
1997,6,Canola,12.6,bu/ac
1998,6,Canola,17,bu/ac
1999,6,Canola,18.2,bu/ac
2000,6,Canola,29.9,bu/ac
2001,6,Canola,22.3,bu/ac
2002,6,Canola,15.6,bu/ac
2003,6,Canola,10.6,bu/ac
2004,6,Canola,30,bu/ac
2005,6,Canola,27,bu/ac
2006,6,Canola,10.8,bu/ac
2007,6,Canola,22.2,bu/ac
2008,6,Canola,26.9,bu/ac
2009,6,Canola,38.7,bu/ac
2010,6,Canola,25.6,bu/ac
2011,6,Canola,15.1,bu/ac
2012,6,Canola,22.3,bu/ac
2013,6,Canola,38.2,bu/ac
2014,6,Canola,35.04,bu/ac
2015,6,Canola,31.42,bu/ac
2016,6,Canola,34.8,bu/ac
2017,6,Canola,15.69,bu/ac
2018,6,Canola,24.8,bu/ac
2019,6,Canola,30.3,bu/ac
2020,6,Canola,35.3,bu/ac
2021,6,Canola,30.1,bu/ac
2022,6,Canola,39.2,bu/ac
2023,6,Canola,21,bu/ac
2024,6,Canola,30.6,bu/ac
2025,6,Canola,47,bu/ac
1993,7,Canola,25.9,bu/ac
1994,7,Canola,18.8,bu/ac
1995,7,Canola,22.9,bu/ac
1996,7,Canola,21.2,bu/ac
1997,7,Canola,13.1,bu/ac
1998,7,Canola,20.2,bu/ac
1999,7,Canola,19.4,bu/ac
2000,7,Canola,21.4,bu/ac
2001,7,Canola,18.4,bu/ac
2002,7,Canola,16.4,bu/ac
2003,7,Canola,12.8,bu/ac
2004,7,Canola,26.5,bu/ac
2005,7,Canola,26.4,bu/ac
2006,7,Canola,16.7,bu/ac
2007,7,Canola,21.9,bu/ac
2008,7,Canola,28.1,bu/ac
2009,7,Canola,33.2,bu/ac
2010,7,Canola,32.6,bu/ac
2011,7,Canola,21,bu/ac
2012,7,Canola,25.8,bu/ac
2013,7,Canola,42,bu/ac
2014,7,Canola,37.37,bu/ac
2015,7,Canola,33.19,bu/ac
2016,7,Canola,37.9,bu/ac
2017,7,Canola,14.08,bu/ac
2018,7,Canola,25,bu/ac
2019,7,Canola,29.3,bu/ac
2020,7,Canola,35.6,bu/ac
2021,7,Canola,27.2,bu/ac
2022,7,Canola,38.5,bu/ac
2023,7,Canola,21,bu/ac
2024,7,Canola,28.2,bu/ac
2025,7,Canola,45,bu/ac
1994,8,Canola,25,bu/ac
1995,8,Canola,15,bu/ac
1996,8,Canola,17,bu/ac
1997,8,Canola,13.1,bu/ac
1998,8,Canola,18.3,bu/ac
1999,8,Canola,26.3,bu/ac
2000,8,Canola,26.8,bu/ac
2001,8,Canola,21.4,bu/ac
2002,8,Canola,20,bu/ac
2003,8,Canola,6,bu/ac
2005,8,Canola,30,bu/ac
2006,8,Canola,30,bu/ac
2009,8,Canola,27.1,bu/ac
2010,8,Canola,31,bu/ac
2011,8,Canola,22.9,bu/ac
2012,8,Canola,23.7,bu/ac
2013,8,Canola,35.7,bu/ac
2014,8,Canola,30.49,bu/ac
2015,8,Canola,29.22,bu/ac
2016,8,Canola,40.4,bu/ac
2017,8,Canola,14.2,bu/ac
2018,8,Canola,23.6,bu/ac
2019,8,Canola,30.2,bu/ac
2020,8,Canola,34.4,bu/ac
2021,8,Canola,25.7,bu/ac
2022,8,Canola,30.9,bu/ac
2023,8,Canola,20.5,bu/ac
2024,8,Canola,17.7,bu/ac
2025,8,Canola,43.9,bu/ac
1994,9,Canola,20,bu/ac
1995,9,Canola,15,bu/ac
1998,9,Canola,20,bu/ac
1999,9,Canola,18.7,bu/ac
2000,9,Canola,20,bu/ac
2002,9,Canola,7.2,bu/ac
2007,9,Canola,20,bu/ac
2008,9,Canola,20,bu/ac
2010,9,Canola,25.9,bu/ac
2011,9,Canola,20.1,bu/ac
2012,9,Canola,22.5,bu/ac
2013,9,Canola,37.7,bu/ac
2014,9,Canola,35.71,bu/ac
2017,9,Canola,17.31,bu/ac
2018,9,Canola,39,bu/ac
2019,9,Canola,41.8,bu/ac
2020,9,Canola,42.2,bu/ac
2021,9,Canola,27.9,bu/ac
2022,9,Canola,31.8,bu/ac
2023,9,Canola,17.9,bu/ac
2024,9,Canola,9.3,bu/ac
2025,9,Canola,42.8,bu/ac
1995,10,Canola,14,bu/ac
1996,10,Canola,18,bu/ac
1997,10,Canola,15,bu/ac
1998,10,Canola,16,bu/ac
1999,10,Canola,19,bu/ac
2000,10,Canola,19.5,bu/ac
2001,10,Canola,16,bu/ac
2002,10,Canola,16,bu/ac
2003,10,Canola,7.5,bu/ac
2004,10,Canola,17,bu/ac
2005,10,Canola,16,bu/ac
2006,10,Canola,12,bu/ac
2007,10,Canola,11,bu/ac
2008,10,Canola,16,bu/ac
2009,10,Canola,18,bu/ac
2010,10,Canola,27.3,bu/ac
2011,10,Canola,20.9,bu/ac
2012,10,Canola,21.7,bu/ac
2013,10,Canola,31.8,bu/ac
2014,10,Canola,30.45,bu/ac
2015,10,Canola,28.18,bu/ac
2016,10,Canola,40.3,bu/ac
2017,10,Canola,11,bu/ac
2018,10,Canola,16,bu/ac
2019,10,Canola,27.9,bu/ac
2020,10,Canola,30.9,bu/ac
2021,10,Canola,27.5,bu/ac
2022,10,Canola,27.2,bu/ac
2023,10,Canola,18,bu/ac
2024,10,Canola,2.5,bu/ac
2025,10,Canola,28.2,bu/ac
1993,11,Canola,15,bu/ac
1994,11,Canola,15,bu/ac
1995,11,Canola,13.2,bu/ac
1997,11,Canola,9.3,bu/ac
1998,11,Canola,23.9,bu/ac
1999,11,Canola,21.1,bu/ac
2000,11,Canola,11.2,bu/ac
2001,11,Canola,13.2,bu/ac
2003,11,Canola,7.2,bu/ac
2004,11,Canola,23.9,bu/ac
2005,11,Canola,20,bu/ac
2006,11,Canola,9,bu/ac
2007,11,Canola,11.3,bu/ac
2010,11,Canola,31.5,bu/ac
2011,11,Canola,22.6,bu/ac
2012,11,Canola,24.6,bu/ac
2013,11,Canola,33,bu/ac
2014,11,Canola,32.52,bu/ac
2015,11,Canola,21.67,bu/ac
2016,11,Canola,42.6,bu/ac
2017,11,Canola,6.94,bu/ac
2018,11,Canola,21.3,bu/ac
2019,11,Canola,29,bu/ac
2020,11,Canola,35.6,bu/ac
2021,11,Canola,12.7,bu/ac
2022,11,Canola,24.6,bu/ac
2023,11,Canola,30.1,bu/ac
2024,11,Canola,10.6,bu/ac
2025,11,Canola,29.7,bu/ac
1995,12,Canola,15.5,bu/ac
1996,12,Canola,15.7,bu/ac
1997,12,Canola,11.3,bu/ac
1998,12,Canola,13.6,bu/ac
1999,12,Canola,26.9,bu/ac
2000,12,Canola,19.9,bu/ac
2001,12,Canola,10,bu/ac
2002,12,Canola,15.5,bu/ac
2003,12,Canola,12.5,bu/ac
2004,12,Canola,16.7,bu/ac
2005,12,Canola,17.7,bu/ac
2006,12,Canola,21.3,bu/ac
2007,12,Canola,12.6,bu/ac
2008,12,Canola,20.2,bu/ac
2009,12,Canola,40,bu/ac
2010,12,Canola,30.3,bu/ac
2011,12,Canola,15.9,bu/ac
2012,12,Canola,22.2,bu/ac
2013,12,Canola,33.9,bu/ac
2014,12,Canola,33.33,bu/ac
2015,12,Canola,33.4,bu/ac
2016,12,Canola,38.9,bu/ac
2017,12,Canola,12.05,bu/ac
2018,12,Canola,16.7,bu/ac
2019,12,Canola,32.6,bu/ac
2020,12,Canola,35.1,bu/ac
2021,12,Canola,12,bu/ac
2022,12,Canola,19.7,bu/ac
2023,12,Canola,30.1,bu/ac
2024,12,Canola,11.6,bu/ac
2025,12,Canola,32.1,bu/ac
1993,17,Canola,25,bu/ac
1994,17,Canola,25,bu/ac
1995,17,Canola,32.5,bu/ac
1996,17,Canola,14,bu/ac
1997,17,Canola,20,bu/ac
1998,17,Canola,23,bu/ac
1999,17,Canola,20,bu/ac
2000,17,Canola,20,bu/ac
2004,17,Canola,30.1,bu/ac
2006,17,Canola,16.7,bu/ac
2008,17,Canola,20,bu/ac
2009,17,Canola,27,bu/ac
2010,17,Canola,28.8,bu/ac
2011,17,Canola,16.5,bu/ac
2015,17,Canola,33.17,bu/ac
2016,17,Canola,44.7,bu/ac
2017,17,Canola,18.38,bu/ac
2018,17,Canola,28,bu/ac
2019,17,Canola,37.7,bu/ac
2020,17,Canola,26.2,bu/ac
2021,17,Canola,15,bu/ac
2022,17,Canola,10.9,bu/ac
2024,17,Canola,24.1,bu/ac
2025,17,Canola,16.4,bu/ac
1993,18,Canola,22.5,bu/ac
1994,18,Canola,17.5,bu/ac
1996,18,Canola,12,bu/ac
1997,18,Canola,14.5,bu/ac
1998,18,Canola,21.1,bu/ac
1999,18,Canola,24,bu/ac
2000,18,Canola,20,bu/ac
2010,18,Canola,18.7,bu/ac
2011,18,Canola,18.3,bu/ac
2013,18,Canola,32.4,bu/ac
2018,18,Canola,18,bu/ac
2019,18,Canola,27.2,bu/ac
2020,18,Canola,24.2,bu/ac
2022,18,Canola,1.9,bu/ac
2023,18,Canola,5.5,bu/ac
1993,19,Canola,20,bu/ac
1994,19,Canola,18,bu/ac
1995,19,Canola,25,bu/ac
1996,19,Canola,15.9,bu/ac
1997,19,Canola,16.9,bu/ac
1998,19,Canola,17.8,bu/ac
1999,19,Canola,22.5,bu/ac
2000,19,Canola,20.2,bu/ac
2001,19,Canola,12.5,bu/ac
2002,19,Canola,15.1,bu/ac
2004,19,Canola,32.6,bu/ac
2005,19,Canola,18.5,bu/ac
2010,19,Canola,22,bu/ac
2011,19,Canola,20.6,bu/ac
2012,19,Canola,16,bu/ac
2013,19,Canola,41.2,bu/ac
2014,19,Canola,30.98,bu/ac
2015,19,Canola,28.76,bu/ac
2016,19,Canola,44.6,bu/ac
2017,19,Canola,5.75,bu/ac
2018,19,Canola,5,bu/ac
2019,19,Canola,26.4,bu/ac
2020,19,Canola,29.2,bu/ac
2021,19,Canola,4.1,bu/ac
2022,19,Canola,6.4,bu/ac
2024,19,Canola,10.2,bu/ac
1990,31,Canola,18,bu/ac
1991,31,Canola,27.9,bu/ac
1992,31,Canola,19,bu/ac
1993,31,Canola,20.8,bu/ac
1994,31,Canola,18.9,bu/ac
1995,31,Canola,20.8,bu/ac
1996,31,Canola,22.2,bu/ac
1997,31,Canola,20.1,bu/ac
1998,31,Canola,20.9,bu/ac
1999,31,Canola,12.6,bu/ac
2000,31,Canola,25,bu/ac
2001,31,Canola,20.9,bu/ac
2002,31,Canola,13.3,bu/ac
2003,31,Canola,18.3,bu/ac
2004,31,Canola,28.3,bu/ac
2005,31,Canola,24,bu/ac
2006,31,Canola,23.5,bu/ac
2007,31,Canola,23.1,bu/ac
2008,31,Canola,26.8,bu/ac
2009,31,Canola,32.9,bu/ac
2010,31,Canola,29.3,bu/ac
2011,31,Canola,18.8,bu/ac
2012,31,Canola,25.1,bu/ac
2013,31,Canola,33.5,bu/ac
2014,31,Canola,23.88,bu/ac
2015,31,Canola,31.38,bu/ac
2016,31,Canola,36.6,bu/ac
2017,31,Canola,35.44,bu/ac
2018,31,Canola,35.4,bu/ac
2019,31,Canola,37.6,bu/ac
2020,31,Canola,40.7,bu/ac
2021,31,Canola,31.8,bu/ac
2022,31,Canola,42.7,bu/ac
2023,31,Canola,38.9,bu/ac
2024,31,Canola,40.5,bu/ac
2025,31,Canola,48,bu/ac
1990,32,Canola,21,bu/ac
1991,32,Canola,22.2,bu/ac
1992,32,Canola,19.1,bu/ac
1993,32,Canola,28.6,bu/ac
1994,32,Canola,17.4,bu/ac
1995,32,Canola,14.9,bu/ac
1996,32,Canola,24.6,bu/ac
1997,32,Canola,24.3,bu/ac
1998,32,Canola,22.2,bu/ac
1999,32,Canola,20.5,bu/ac
2000,32,Canola,27,bu/ac
2001,32,Canola,19.4,bu/ac
2002,32,Canola,21.1,bu/ac
2003,32,Canola,21.1,bu/ac
2004,32,Canola,24.1,bu/ac
2005,32,Canola,27.7,bu/ac
2006,32,Canola,22.6,bu/ac
2007,32,Canola,23.7,bu/ac
2008,32,Canola,27.8,bu/ac
2009,32,Canola,32.6,bu/ac
2010,32,Canola,28.7,bu/ac
2011,32,Canola,25.6,bu/ac
2012,32,Canola,24.7,bu/ac
2013,32,Canola,33.6,bu/ac
2014,32,Canola,24.8,bu/ac
2015,32,Canola,34.79,bu/ac
2016,32,Canola,35.8,bu/ac
2017,32,Canola,31.41,bu/ac
2018,32,Canola,32.3,bu/ac
2019,32,Canola,32.9,bu/ac
2020,32,Canola,38.5,bu/ac
2021,32,Canola,34.7,bu/ac
2022,32,Canola,40.5,bu/ac
2023,32,Canola,37.6,bu/ac
2024,32,Canola,36.3,bu/ac
2025,32,Canola,45.7,bu/ac
1990,33,Canola,20,bu/ac
1991,33,Canola,20,bu/ac
1992,33,Canola,27.9,bu/ac
1993,33,Canola,26.7,bu/ac
1994,33,Canola,21.6,bu/ac
1995,33,Canola,18.9,bu/ac
1996,33,Canola,25.3,bu/ac
1997,33,Canola,20.6,bu/ac
1998,33,Canola,23.5,bu/ac
1999,33,Canola,25.1,bu/ac
2000,33,Canola,26.7,bu/ac
2001,33,Canola,23.7,bu/ac
2002,33,Canola,23.2,bu/ac
2003,33,Canola,16.4,bu/ac
2004,33,Canola,22.2,bu/ac
2005,33,Canola,29.7,bu/ac
2006,33,Canola,20.6,bu/ac
2007,33,Canola,24.2,bu/ac
2008,33,Canola,25.8,bu/ac
2009,33,Canola,32.5,bu/ac
2010,33,Canola,29.2,bu/ac
2011,33,Canola,26.6,bu/ac
2012,33,Canola,25.5,bu/ac
2013,33,Canola,35.8,bu/ac
2014,33,Canola,31.84,bu/ac
2015,33,Canola,32.69,bu/ac
2016,33,Canola,40.5,bu/ac
2017,33,Canola,30.35,bu/ac
2018,33,Canola,32.9,bu/ac
2019,33,Canola,37.1,bu/ac
2020,33,Canola,41.8,bu/ac
2021,33,Canola,33.9,bu/ac
2022,33,Canola,43.7,bu/ac
2023,33,Canola,38.7,bu/ac
2024,33,Canola,38.5,bu/ac
2025,33,Canola,45.9,bu/ac
1990,34,Canola,24,bu/ac
1991,34,Canola,26.4,bu/ac
1992,34,Canola,30,bu/ac
1993,34,Canola,26.8,bu/ac
1994,34,Canola,22.8,bu/ac
1995,34,Canola,20.8,bu/ac
1996,34,Canola,20.7,bu/ac
1997,34,Canola,13.9,bu/ac
1998,34,Canola,20.1,bu/ac
1999,34,Canola,20.8,bu/ac
2000,34,Canola,24.2,bu/ac
2001,34,Canola,21.1,bu/ac
2002,34,Canola,22.9,bu/ac
2003,34,Canola,16.3,bu/ac
2004,34,Canola,16.7,bu/ac
2005,34,Canola,28.7,bu/ac
2006,34,Canola,21.7,bu/ac
2007,34,Canola,20.6,bu/ac
2008,34,Canola,23.5,bu/ac
2009,34,Canola,24,bu/ac
2010,34,Canola,30,bu/ac
2011,34,Canola,24.3,bu/ac
2012,34,Canola,28.2,bu/ac
2013,34,Canola,36.7,bu/ac
2014,34,Canola,31.44,bu/ac
2015,34,Canola,29.63,bu/ac
2016,34,Canola,35.5,bu/ac
2017,34,Canola,30.26,bu/ac
2018,34,Canola,36.4,bu/ac
2019,34,Canola,37.9,bu/ac
2020,34,Canola,37.9,bu/ac
2021,34,Canola,32.4,bu/ac
2022,34,Canola,40.7,bu/ac
2023,34,Canola,35.6,bu/ac
2024,34,Canola,37.8,bu/ac
2025,34,Canola,48.5,bu/ac
1990,35,Canola,25,bu/ac
1992,35,Canola,28,bu/ac
1993,35,Canola,35.2,bu/ac
1994,35,Canola,24.2,bu/ac
1995,35,Canola,19.4,bu/ac
1996,35,Canola,22.5,bu/ac
1997,35,Canola,17.5,bu/ac
1998,35,Canola,22.9,bu/ac
1999,35,Canola,20.5,bu/ac
2000,35,Canola,23.4,bu/ac
2001,35,Canola,20.6,bu/ac
2002,35,Canola,17.9,bu/ac
2003,35,Canola,13,bu/ac
2004,35,Canola,16.6,bu/ac
2005,35,Canola,15.5,bu/ac
2006,35,Canola,22,bu/ac
2007,35,Canola,17.1,bu/ac
2008,35,Canola,22,bu/ac
2009,35,Canola,30.5,bu/ac
2010,35,Canola,37.2,bu/ac
2011,35,Canola,12.5,bu/ac
2012,35,Canola,25.7,bu/ac
2013,35,Canola,36.3,bu/ac
2014,35,Canola,31.75,bu/ac
2015,35,Canola,27.35,bu/ac
2016,35,Canola,33,bu/ac
2017,35,Canola,35.58,bu/ac
2018,35,Canola,35.6,bu/ac
2019,35,Canola,35.5,bu/ac
2020,35,Canola,39.2,bu/ac
2021,35,Canola,27.6,bu/ac
2022,35,Canola,42.9,bu/ac
2023,35,Canola,30.2,bu/ac
2024,35,Canola,31.9,bu/ac
2025,35,Canola,48.9,bu/ac
1992,36,Canola,28.8,bu/ac
1993,36,Canola,30,bu/ac
1994,36,Canola,19,bu/ac
1995,36,Canola,22.4,bu/ac
1996,36,Canola,23.1,bu/ac
1997,36,Canola,14.1,bu/ac
1998,36,Canola,22.2,bu/ac
1999,36,Canola,24.4,bu/ac
2000,36,Canola,24.7,bu/ac
2001,36,Canola,19.9,bu/ac
2002,36,Canola,12.7,bu/ac
2003,36,Canola,9.3,bu/ac
2004,36,Canola,24.3,bu/ac
2005,36,Canola,26.1,bu/ac
2006,36,Canola,22.3,bu/ac
2007,36,Canola,20.8,bu/ac
2008,36,Canola,22.4,bu/ac
2009,36,Canola,31.4,bu/ac
2010,36,Canola,28.9,bu/ac
2011,36,Canola,16.8,bu/ac
2012,36,Canola,23.1,bu/ac
2013,36,Canola,39,bu/ac
2014,36,Canola,26.72,bu/ac
2015,36,Canola,29.27,bu/ac
2016,36,Canola,31,bu/ac
2017,36,Canola,26.94,bu/ac
2018,36,Canola,32,bu/ac
2019,36,Canola,33.4,bu/ac
2020,36,Canola,39,bu/ac
2021,36,Canola,23.3,bu/ac
2022,36,Canola,43.5,bu/ac
2023,36,Canola,27.4,bu/ac
2024,36,Canola,31.1,bu/ac
2025,36,Canola,46.1,bu/ac
1992,37,Canola,20,bu/ac
1993,37,Canola,20,bu/ac
1994,37,Canola,20,bu/ac
1995,37,Canola,16.3,bu/ac
1996,37,Canola,19.1,bu/ac
1997,37,Canola,11.8,bu/ac
1998,37,Canola,22.2,bu/ac
1999,37,Canola,19.3,bu/ac
2000,37,Canola,24.2,bu/ac
2001,37,Canola,16.8,bu/ac
2002,37,Canola,16,bu/ac
2003,37,Canola,8.2,bu/ac
2004,37,Canola,24.8,bu/ac
2005,37,Canola,20.4,bu/ac
2006,37,Canola,16.9,bu/ac
2007,37,Canola,17.7,bu/ac
2008,37,Canola,20.1,bu/ac
2009,37,Canola,28.7,bu/ac
2010,37,Canola,25.4,bu/ac
2011,37,Canola,13.6,bu/ac
2012,37,Canola,24.2,bu/ac
2013,37,Canola,33.6,bu/ac
2014,37,Canola,30.16,bu/ac
2015,37,Canola,31.82,bu/ac
2016,37,Canola,35.6,bu/ac
2017,37,Canola,15.44,bu/ac
2018,37,Canola,25.7,bu/ac
2019,37,Canola,20.2,bu/ac
2020,37,Canola,32.7,bu/ac
2021,37,Canola,21.5,bu/ac
2022,37,Canola,36.6,bu/ac
2023,37,Canola,24.6,bu/ac
2024,37,Canola,22.4,bu/ac
2025,37,Canola,42.1,bu/ac
1992,38,Canola,20,bu/ac
1993,38,Canola,25.7,bu/ac
1994,38,Canola,10.2,bu/ac
1995,38,Canola,14.3,bu/ac
1996,38,Canola,22,bu/ac
1997,38,Canola,14.7,bu/ac
1998,38,Canola,21.5,bu/ac
1999,38,Canola,20.8,bu/ac
2000,38,Canola,31.7,bu/ac
2001,38,Canola,25.2,bu/ac
2002,38,Canola,20.2,bu/ac
2003,38,Canola,12.1,bu/ac
2004,38,Canola,29.7,bu/ac
2005,38,Canola,27.9,bu/ac
2006,38,Canola,20.2,bu/ac
2007,38,Canola,22.5,bu/ac
2008,38,Canola,22.1,bu/ac
2009,38,Canola,33.5,bu/ac
2010,38,Canola,26.8,bu/ac
2011,38,Canola,20.3,bu/ac
2012,38,Canola,26.5,bu/ac
2013,38,Canola,38,bu/ac
2014,38,Canola,32.46,bu/ac
2015,38,Canola,29.45,bu/ac
2016,38,Canola,40.7,bu/ac
2017,38,Canola,13.34,bu/ac
2018,38,Canola,23.3,bu/ac
2019,38,Canola,27,bu/ac
2020,38,Canola,37.2,bu/ac
2021,38,Canola,23.8,bu/ac
2022,38,Canola,36.4,bu/ac
2023,38,Canola,24.5,bu/ac
2024,38,Canola,14.9,bu/ac
2025,38,Canola,38.4,bu/ac
1990,39,Canola,20,bu/ac
1992,39,Canola,30,bu/ac
1993,39,Canola,24.5,bu/ac
1994,39,Canola,20,bu/ac
1995,39,Canola,19.7,bu/ac
1996,39,Canola,22.5,bu/ac
1997,39,Canola,21.2,bu/ac
1998,39,Canola,19.6,bu/ac
1999,39,Canola,23.6,bu/ac
2000,39,Canola,20.9,bu/ac
2001,39,Canola,17.9,bu/ac
2002,39,Canola,17.9,bu/ac
2003,39,Canola,9.3,bu/ac
2004,39,Canola,20.5,bu/ac
2005,39,Canola,20.7,bu/ac
2006,39,Canola,18.8,bu/ac
2007,39,Canola,21.3,bu/ac
2008,39,Canola,28.5,bu/ac
2009,39,Canola,35.9,bu/ac
2010,39,Canola,32.1,bu/ac
