field_id,region,variety,acres,yield_bu_ac,fertilizer_kg_ha,irrigated,seeding_date
F088,South,DKTC 9105,394,49.2,144,FALSE,2025-04-17
F089,South,PV 581 GC,486,44.9,143,FALSE,2025-04-23
F090,South,DKTC 9105,460,44.5,111,FALSE,2025-04-29
F091,South,Liberty 6060,457,49.3,136,FALSE,2025-05-07
F092,South,Liberty 6060,337,38.2,99,FALSE,2025-05-18
F093,South,InVigor L345PC,78,42.3,75,FALSE,2025-04-20
F094,South,DKTC 9105,334,42.9,102,FALSE,2025-05-04
F095,North,InVigor L345PC,81,46.2,85,FALSE,2025-05-18
F096,South,DKTC 9105,377,40.8,110,FALSE,2025-05-13
F097,North,DKTC 9105,240,36.4,64,TRUE,2025-05-23
F098,Central,PV 581 GC,294,38.4,65,FALSE,2025-05-12
F099,Central,DKTC 9105,418,54.1,114,FALSE,2025-05-15
F100,Central,DKTC 9105,379,47.6,88,FALSE,2025-04-19
F101,South,DKTC 9105,482,32.7,128,FALSE,2025-05-11
F102,North,InVigor L345PC,113,42.8,97,FALSE,2025-05-16
F103,South,DKTC 9105,230,51.5,101,FALSE,2025-05-22
F104,North,Liberty 6060,221,52.8,132,FALSE,2025-05-24
F105,North,PV 581 GC,468,52.5,159,TRUE,2025-05-15
F106,Central,Liberty 6060,244,50.5,135,FALSE,2025-05-18
F107,Central,PV 581 GC,383,47.5,134,FALSE,2025-04-29
F108,South,PV 581 GC,357,46.8,144,FALSE,2025-05-10
F109,Central,PV 581 GC,247,37.6,75,FALSE,2025-05-06
F110,North,PV 581 GC,276,51.9,54,FALSE,2025-05-07
F111,Central,Liberty 6060,252,45.3,104,FALSE,2025-04-19
F112,Central,DKTC 9105,384,39.8,78,TRUE,2025-04-26
F113,Central,PV 581 GC,162,47.1,137,FALSE,2025-05-14
F114,South,Liberty 6060,358,35.7,112,FALSE,2025-04-30
F115,Central,PV 581 GC,176,55.7,110,TRUE,2025-05-19
F116,Central,Liberty 6060,236,55.9,153,FALSE,2025-05-20
F117,North,DKTC 9105,151,45.4,89,TRUE,2025-05-04
F118,South,DKTC 9105,118,34.4,79,FALSE,2025-04-20
F119,North,Liberty 6060,415,47.3,140,TRUE,2025-05-06
F120,South,InVigor L345PC,202,40.6,103,FALSE,2025-04-24
