Year,Province,Crop,Seeded_acres,Yield_bu_ac
2016,Ontario,Corn for grain,2162000,156.4
2016,Ontario,Mixed grains,92800,65.7
2016,Ontario,Oats,82200,80.0
2016,Ontario,Rye,80000,47.9
2016,Ontario,Soybeans,2783400,45.5
2016,Ontario,Spring wheat,120500,52.9
2016,Ontario,Wheat (all),1256600,84.1
2016,Ontario,Winter wheat,1080400,87.5
2016,Prince Edward Island,Barley,61467,65.6
2016,Prince Edward Island,Corn for grain,8844,123.5
2016,Prince Edward Island,Oats,10481,74.0
2016,Prince Edward Island,Soybeans,44932,34.1
2016,Prince Edward Island,Spring wheat,26677,50.8
2016,Prince Edward Island,Wheat (all),36177,52.4
2016,Prince Edward Island,Winter wheat,7275,58.3
2016,Quebec,Barley,128600,63.2
2016,Quebec,Canola,34200,42.1
2016,Quebec,Corn for grain,980600,166.4
2016,Quebec,Mixed grains,40000,52.3
2016,Quebec,Oats,208700,68.0
2016,Quebec,Rye,38500,49.2
2016,Quebec,Soybeans,869100,48.2
2016,Quebec,Spring wheat,187700,51.1
2016,Quebec,Wheat (all),236500,52.5
2016,Quebec,Winter wheat,39700,60.6
2016,Saskatchewan,Barley,2475000,69.8
2016,Saskatchewan,Canola,11250000,42.1
2016,Saskatchewan,Dry peas,2160000,40.5
2016,Saskatchewan,Durum wheat,5000000,48.5
2016,Saskatchewan,Flax,780000,27.0
2016,Saskatchewan,Mixed grains,30000,50.0
2016,Saskatchewan,Oats,1380000,94.0
2016,Saskatchewan,Rye,135000,50.2
2016,Saskatchewan,Soybeans,240000,32.3
2016,Saskatchewan,Spring wheat,6870000,46.1
2016,Saskatchewan,Wheat (all),12120000,47.3
2016,Saskatchewan,Winter wheat,240000,58.3
2017,Alberta,Barley,2850000,71.8
2017,Alberta,Canola,6930000,43.7
2017,Alberta,Corn for grain,60000,133.8
2017,Alberta,Dry peas,1800000,40.9
2017,Alberta,Durum wheat,1090000,36.7
2017,Alberta,Flax,85000,28.8
2017,Alberta,Mixed grains,135000,64.6
2017,Alberta,Oats,690000,92.9
2017,Alberta,Rye,45000,52.8
2017,Alberta,Spring wheat,5860000,55.5
2017,Alberta,Wheat (all),7080000,52.6
2017,Alberta,Winter wheat,105000,61.9
2017,British Columbia,Barley,42000,59.5
2017,British Columbia,Canola,112000,36.3
2017,British Columbia,Dry peas,63000,39.5
2017,British Columbia,Mixed grains,12000,
2017,British Columbia,Oats,70000,89.2
2017,British Columbia,Spring wheat,44000,53.3
2017,British Columbia,Wheat (all),44000,53.3
2017,Manitoba,Barley,265000,80.4
2017,Manitoba,Canola,3160000,44.0
2017,Manitoba,Corn for grain,410000,128.2
2017,Manitoba,Dry peas,65000,46.8
2017,Manitoba,Flax,60000,29.7
2017,Manitoba,Mixed grains,13000,50.0
2017,Manitoba,Oats,520000,110.8
2017,Manitoba,Rye,80000,69.2
2017,Manitoba,Soybeans,2290000,36.1
2017,Manitoba,Spring wheat,2625000,61.3
2017,Manitoba,Wheat (all),2765000,61.3
2017,Manitoba,Winter wheat,70000,61.8
2017,New Brunswick,Barley,14000,69.3
2017,New Brunswick,Corn for grain,16000,134.2
2017,New Brunswick,Oats,26000,77.6
2017,New Brunswick,Soybeans,21000,28.3
2017,New Brunswick,Spring wheat,7000,54.3
2017,New Brunswick,Wheat (all),7000,54.3
2017,Nova Scotia,Barley,4000,68.6
2017,Nova Scotia,Corn for grain,18500,134.4
2017,Nova Scotia,Oats,4500,60.0
2017,Nova Scotia,Soybeans,12500,45.6
2017,Nova Scotia,Wheat (all),8000,74.6
2017,Nova Scotia,Winter wheat,7000,74.6
2017,Ontario,Barley,80000,61.2
2017,Ontario,Canola,45000,46.5
2017,Ontario,Corn for grain,2120000,167.0
2017,Ontario,Mixed grains,80000,61.8
2017,Ontario,Oats,70000,83.8
2017,Ontario,Rye,100000,41.1
2017,Ontario,Soybeans,3075000,45.6
2017,Ontario,Spring wheat,90000,46.7
2017,Ontario,Wheat (all),1040000,83.7
2017,Ontario,Winter wheat,920000,87.3
2017,Prince Edward Island,Barley,55000,66.7
2017,Prince Edward Island,Corn for grain,12000,131.3
2017,Prince Edward Island,Oats,11500,65.5
2017,Prince Edward Island,Soybeans,50000,36.0
2017,Prince Edward Island,Spring wheat,30000,55.4
2017,Prince Edward Island,Wheat (all),40000,56.4
2017,Prince Edward Island,Winter wheat,9500,59.4
2017,Quebec,Barley,131000,61.7
2017,Quebec,Canola,37100,44.3
2017,Quebec,Corn for grain,939000,159.3
2017,Quebec,Mixed grains,33400,54.1
2017,Quebec,Oats,148300,67.4
2017,Quebec,Rye,29700,39.8
2017,Quebec,Soybeans,983500,41.9
2017,Quebec,Spring wheat,190300,46.6
2017,Quebec,Wheat (all),232300,47.9
2017,Quebec,Winter wheat,38300,54.7
2017,Saskatchewan,Barley,2325000,66.4
2017,Saskatchewan,Canola,12730000,39.3
2017,Saskatchewan,Dry peas,2165000,33.8
2017,Saskatchewan,Durum wheat,4115000,35.0
2017,Saskatchewan,Flax,900000,19.8
2017,Saskatchewan,Mixed grains,30000,36.0
2017,Saskatchewan,Oats,1660000,90.8
2017,Saskatchewan,Rye,100000,50.6
2017,Saskatchewan,Soybeans,850000,20.8
2017,Saskatchewan,Spring wheat,6955000,47.9
2017,Saskatchewan,Wheat (all),11335000,43.2
2017,Saskatchewan,Winter wheat,235000,45.8
2018,Alberta,Barley,3114100,66.8
2018,Alberta,Canola,6810000,38.8
2018,Alberta,Corn for grain,35000,144.6
2018,Alberta,Dry peas,1511400,39.9
2018,Alberta,Durum wheat,1184800,35.6
2018,Alberta,Flax,91600,26.0
2018,Alberta,Mixed grains,179000,
2018,Alberta,Oats,795100,88.7
2018,Alberta,Rye,39600,52.8
2018,Alberta,Soybeans,18300,25.0
2018,Alberta,Spring wheat,6265000,52.4
2018,Alberta,Wheat (all),7544800,49.7
2018,Alberta,Winter wheat,67900,56.8
2018,British Columbia,Barley,50000,64.8
2018,British Columbia,Canola,137000,40.7
2018,British Columbia,Corn for grain,900,153.4
2018,British Columbia,Dry peas,70000,42.6
2018,British Columbia,Durum wheat,900,33.8
2018,British Columbia,Mixed grains,8000,75.0
2018,British Columbia,Oats,75000,85.1
2018,British Columbia,Rye,9800,55.1
2018,British Columbia,Soybeans,500,38.0
2018,British Columbia,Spring wheat,59500,56.7
2018,British Columbia,Wheat (all),76400,56.4
2018,British Columbia,Winter wheat,9200,56.8
2018,Manitoba,Barley,324000,75.3
2018,Manitoba,Canola,3416000,43.3
2018,Manitoba,Corn for grain,421000,113.2
2018,Manitoba,Dry peas,85000,47.0
2018,Manitoba,Flax,37500,26.7
2018,Manitoba,Mixed grains,15000,60.8
2018,Manitoba,Oats,484900,103.2
2018,Manitoba,Rye,57800,61.0
2018,Manitoba,Soybeans,1890000,34.0
2018,Manitoba,Spring wheat,2852100,61.1
2018,Manitoba,Wheat (all),2932200,60.9
2018,Manitoba,Winter wheat,41000,54.1
2018,New Brunswick,Barley,11100,53.1
2018,New Brunswick,Canola,1000,34.5
2018,New Brunswick,Corn for grain,15000,121.2
2018,New Brunswick,Dry peas,900,13.2
2018,New Brunswick,Mixed grains,100,
2018,New Brunswick,Oats,22000,61.9
2018,New Brunswick,Rye,900,
2018,New Brunswick,Soybeans,14000,41.7
2018,New Brunswick,Spring wheat,7200,50.5
2018,New Brunswick,Wheat (all),11200,50.7
2018,New Brunswick,Winter wheat,3500,51.1
2018,Newfoundland and Labrador,Dry peas,100,
2018,Newfoundland and Labrador,Mixed grains,300,
2018,Newfoundland and Labrador,Oats,500,70.1
2018,Newfoundland and Labrador,Rye,100,
2018,Newfoundland and Labrador,Wheat (all),100,
2018,Newfoundland and Labrador,Winter wheat,100,
2018,Nova Scotia,Barley,2000,55.3
2018,Nova Scotia,Corn for grain,23000,127.2
2018,Nova Scotia,Mixed grains,600,60.0
2018,Nova Scotia,Oats,2600,72.6
2018,Nova Scotia,Rye,1000,54.4
2018,Nova Scotia,Soybeans,13800,50.8
2018,Nova Scotia,Spring wheat,1300,56.5
2018,Nova Scotia,Wheat (all),8300,69.3
2018,Nova Scotia,Winter wheat,4500,72.9
2018,Ontario,Barley,90000,58.5
2018,Ontario,Canola,63000,47.1
2018,Ontario,Corn for grain,2155000,166.0
2018,Ontario,Dry peas,7000,30.8
2018,Ontario,Flax,3500,17.4
2018,Ontario,Mixed grains,78000,61.5
2018,Ontario,Oats,74000,74.2
2018,Ontario,Rye,115500,48.0
2018,Ontario,Soybeans,3020000,51.4
2018,Ontario,Spring wheat,85400,54.3
2018,Ontario,Wheat (all),1055400,81.2
2018,Ontario,Winter wheat,919300,83.6
2018,Prince Edward Island,Barley,75000,65.5
2018,Prince Edward Island,Corn for grain,10000,139.2
2018,Prince Edward Island,Dry peas,2200,51.7
2018,Prince Edward Island,Mixed grains,3700,65.1
2018,Prince Edward Island,Oats,10500,64.0
2018,Prince Edward Island,Rye,2400,39.3
2018,Prince Edward Island,Soybeans,41000,41.0
2018,Prince Edward Island,Spring wheat,28000,51.2
2018,Prince Edward Island,Wheat (all),41000,55.9
2018,Prince Edward Island,Winter wheat,12000,66.7
2018,Quebec,Barley,135000,54.1
2018,Quebec,Canola,36200,43.8
2018,Quebec,Corn for grain,953000,150.4
2018,Quebec,Dry peas,3400,41.4
2018,Quebec,Mixed grains,29000,58.0
2018,Quebec,Oats,183000,62.3
2018,Quebec,Rye,33000,43.6
2018,Quebec,Soybeans,915000,46.9
2018,Quebec,Spring wheat,185000,44.5
2018,Quebec,Wheat (all),235700,46.8
2018,Quebec,Winter wheat,45200,55.8
2018,Saskatchewan,Barley,2692000,62.7
2018,Saskatchewan,Canola,12350000,40.7
2018,Saskatchewan,Corn for grain,13600,91.0
2018,Saskatchewan,Dry peas,1935300,34.5
2018,Saskatchewan,Durum wheat,4989600,34.9
2018,Saskatchewan,Flax,721400,22.4
2018,Saskatchewan,Mixed grains,42000,38.1
2018,Saskatchewan,Oats,1405000,90.8
2018,Saskatchewan,Rye,75000,34.9
2018,Saskatchewan,Soybeans,407500,21.0
2018,Saskatchewan,Spring wheat,7827400,47.7
2018,Saskatchewan,Wheat (all),12987000,42.7
2018,Saskatchewan,Winter wheat,135500,42.8
2019,Alberta,Barley,3563100,72.4
2019,Alberta,Canola,5933500,40.3
2019,Alberta,Corn for grain,29100,124.0
2019,Alberta,Dry peas,1800200,35.5
2019,Alberta,Durum wheat,775000,32.0
2019,Alberta,Flax,114000,30.1
2019,Alberta,Mixed grains,162900,62.8
2019,Alberta,Oats,899100,93.6
2019,Alberta,Rye,65700,54.7
2019,Alberta,Soybeans,7000,27.6
2019,Alberta,Spring wheat,6587600,54.7
2019,Alberta,Wheat (all),7462600,52.3
2019,Alberta,Winter wheat,79900,49.0
2019,British Columbia,Barley,62600,62.6
2019,British Columbia,Canola,85800,41.6
2019,British Columbia,Corn for grain,700,153.4
2019,British Columbia,Dry peas,52100,44.2
2019,British Columbia,Flax,800,38.0
2019,British Columbia,Mixed grains,10000,46.6
2019,British Columbia,Oats,67700,91.2
2019,British Columbia,Rye,11400,59.5
2019,British Columbia,Spring wheat,68500,56.7
2019,British Columbia,Wheat (all),85700,56.9
2019,British Columbia,Winter wheat,9800,58.1
2019,Manitoba,Barley,336300,76.9
2019,Manitoba,Canola,3307800,42.0
2019,Manitoba,Corn for grain,459800,109.7
2019,Manitoba,Dry peas,125600,49.4
2019,Manitoba,Durum wheat,18400,54.5
2019,Manitoba,Flax,87000,23.3
2019,Manitoba,Mixed grains,24600,37.8
2019,Manitoba,Oats,525200,106.1
2019,Manitoba,Rye,98900,60.3
2019,Manitoba,Soybeans,1469500,29.2
2019,Manitoba,Spring wheat,3099900,60.8
2019,Manitoba,Wheat (all),3163700,60.8
2019,Manitoba,Winter wheat,40500,61.4
2019,New Brunswick,Barley,13500,68.0
2019,New Brunswick,Canola,1400,37.3
2019,New Brunswick,Corn for grain,9100,112.3
2019,New Brunswick,Dry peas,1400,26.5
2019,New Brunswick,Mixed grains,1800,41.4
2019,New Brunswick,Oats,18800,75.1
2019,New Brunswick,Rye,700,
2019,New Brunswick,Soybeans,11100,31.9
2019,New Brunswick,Spring wheat,9100,53.6
2019,New Brunswick,Wheat (all),14800,56.1
2019,New Brunswick,Winter wheat,4000,63.5
2019,Newfoundland and Labrador,Oats,700,
2019,Newfoundland and Labrador,Wheat (all),200,
2019,Nova Scotia,Barley,3100,52.4
2019,Nova Scotia,Corn for grain,17800,114.5
2019,Nova Scotia,Dry peas,158,
2019,Nova Scotia,Mixed grains,400,
2019,Nova Scotia,Oats,2700,60.0
2019,Nova Scotia,Rye,1800,62.2
2019,Nova Scotia,Soybeans,9600,40.8
2019,Nova Scotia,Spring wheat,1600,44.5
2019,Nova Scotia,Wheat (all),6600,62.1
2019,Nova Scotia,Winter wheat,3400,69.7
2019,Ontario,Barley,101700,63.0
2019,Ontario,Canola,46600,43.2
2019,Ontario,Corn for grain,2202500,158.4
2019,Ontario,Dry peas,9100,35.3
2019,Ontario,Flax,,28.3
2019,Ontario,Mixed grains,76900,68.3
2019,Ontario,Oats,93100,82.8
2019,Ontario,Rye,92700,48.4
2019,Ontario,Soybeans,3114500,44.1
2019,Ontario,Spring wheat,95500,58.5
2019,Ontario,Wheat (all),1098900,74.4
2019,Ontario,Winter wheat,656100,76.8
2019,Prince Edward Island,Barley,49600,67.9
2019,Prince Edward Island,Canola,900,40.7
2019,Prince Edward Island,Corn for grain,12100,131.3
2019,Prince Edward Island,Dry peas,4000,43.0
2019,Prince Edward Island,Mixed grains,6200,58.2
2019,Prince Edward Island,Oats,11100,65.7
2019,Prince Edward Island,Rye,3000,
2019,Prince Edward Island,Soybeans,46400,34.1
2019,Prince Edward Island,Spring wheat,32700,56.9
2019,Prince Edward Island,Wheat (all),46500,57.5
2019,Prince Edward Island,Winter wheat,8400,60.3
2019,Quebec,Barley,122200,60.2
2019,Quebec,Canola,29900,39.5
2019,Quebec,Corn for grain,945100,141.4
2019,Quebec,Dry peas,5400,31.1
2019,Quebec,Flax,3800,17.4
2019,Quebec,Mixed grains,31700,53.7
2019,Quebec,Oats,181500,70.0
2019,Quebec,Rye,40000,40.8
2019,Quebec,Soybeans,906200,46.6
2019,Quebec,Spring wheat,180900,50.7
2019,Quebec,Wheat (all),226400,50.7
2019,Quebec,Winter wheat,22600,50.2
2019,Saskatchewan,Barley,3150000,69.3
2019,Saskatchewan,Canola,11775000,42.8
2019,Saskatchewan,Dry peas,2334900,37.0
2019,Saskatchewan,Durum wheat,4100000,40.5
2019,Saskatchewan,Flax,727500,21.6
2019,Saskatchewan,Mixed grains,44800,35.4
2019,Saskatchewan,Oats,1795900,96.2
2019,Saskatchewan,Rye,117100,46.1
2019,Saskatchewan,Soybeans,150000,28.3
2019,Saskatchewan,Spring wheat,8705800,47.3
2019,Saskatchewan,Wheat (all),12915800,45.1
2019,Saskatchewan,Winter wheat,104500,33.5
2020,Alberta,Barley,3661700,74.0
2020,Alberta,Canola,5876000,40.2
2020,Alberta,Corn for grain,40800,141.1
2020,Alberta,Dry peas,1650100,41.5
2020,Alberta,Durum wheat,1012000,48.5
2020,Alberta,Flax,97100,33.2
2020,Alberta,Mixed grains,171000,50.2
2020,Alberta,Oats,881200,85.9
2020,Alberta,Rye,102800,58.7
2020,Alberta,Soybeans,2500,
2020,Alberta,Spring wheat,6314100,56.8
2020,Alberta,Wheat (all),7448400,55.8
2020,Alberta,Winter wheat,91700,65.9
2020,British Columbia,Barley,73900,47.8
2020,British Columbia,Canola,92100,30.0
2020,British Columbia,Corn for grain,1900,163.5
2020,British Columbia,Dry peas,65100,21.6
2020,British Columbia,Mixed grains,7700,40.7
2020,British Columbia,Oats,71900,75.9
2020,British Columbia,Rye,9800,43.7
2020,British Columbia,Spring wheat,44900,42.8
2020,British Columbia,Wheat (all),67900,43.7
2020,British Columbia,Winter wheat,13300,48.9
2020,Manitoba,Barley,415300,79.9
2020,Manitoba,Canola,3414100,41.4
2020,Manitoba,Corn for grain,372300,122.2
2020,Manitoba,Dry peas,175200,52.5
2020,Manitoba,Durum wheat,31000,41.8
2020,Manitoba,Flax,65400,29.5
2020,Manitoba,Mixed grains,58000,35.9
2020,Manitoba,Oats,695100,111.4
2020,Manitoba,Rye,113100,64.9
2020,Manitoba,Soybeans,1149600,37.3
2020,Manitoba,Spring wheat,3106400,61.5
2020,Manitoba,Wheat (all),3169400,61.3
2020,Manitoba,Winter wheat,29800,67.2
2020,New Brunswick,Barley,19900,43.6
2020,New Brunswick,Canola,1200,42.1
2020,New Brunswick,Corn for grain,8900,103.4
2020,New Brunswick,Dry peas,2200,26.8
2020,New Brunswick,Mixed grains,300,
2020,New Brunswick,Oats,14100,69.1
2020,New Brunswick,Rye,500,
2020,New Brunswick,Soybeans,7600,27.0
2020,New Brunswick,Spring wheat,12200,40.2
2020,New Brunswick,Wheat (all),13400,40.6
2020,New Brunswick,Winter wheat,1000,45.7
2020,Newfoundland and Labrador,Oats,600,58.8
2020,Nova Scotia,Barley,2200,51.5
2020,Nova Scotia,Corn for grain,18000,113.9
2020,Nova Scotia,Dry peas,700,
2020,Nova Scotia,Mixed grains,400,60.1
2020,Nova Scotia,Oats,4000,59.9
2020,Nova Scotia,Rye,600,62.0
2020,Nova Scotia,Soybeans,9900,42.1
2020,Nova Scotia,Spring wheat,3000,38.6
2020,Nova Scotia,Wheat (all),11000,54.2
2020,Nova Scotia,Winter wheat,5900,63.6
2020,Ontario,Barley,89900,61.8
2020,Ontario,Canola,32400,45.9
2020,Ontario,Corn for grain,2191000,163.9
2020,Ontario,Dry peas,16200,32.8
2020,Ontario,Mixed grains,68900,62.2
2020,Ontario,Oats,104500,72.6
2020,Ontario,Rye,152400,45.6
2020,Ontario,Soybeans,2850200,50.7
2020,Ontario,Spring wheat,116500,47.3
2020,Ontario,Wheat (all),1279200,79.5
2020,Ontario,Winter wheat,1036700,83.0
2020,Prince Edward Island,Barley,47800,62.9
2020,Prince Edward Island,Corn for grain,13000,127.6
2020,Prince Edward Island,Dry peas,14800,45.0
2020,Prince Edward Island,Mixed grains,3400,45.8
2020,Prince Edward Island,Oats,7900,74.2
2020,Prince Edward Island,Rye,6500,62.0
2020,Prince Edward Island,Soybeans,38300,37.9
2020,Prince Edward Island,Spring wheat,34800,48.7
2020,Prince Edward Island,Wheat (all),49300,51.7
2020,Prince Edward Island,Winter wheat,12000,62.8
2020,Quebec,Barley,126100,46.9
2020,Quebec,Canola,27600,38.6
2020,Quebec,Corn for grain,890800,144.7
2020,Quebec,Dry peas,9400,36.7
2020,Quebec,Mixed grains,30400,44.6
2020,Quebec,Oats,204200,57.1
2020,Quebec,Rye,55300,40.0
2020,Quebec,Soybeans,885500,48.4
2020,Quebec,Spring wheat,241200,34.4
2020,Quebec,Wheat (all),292300,34.6
2020,Quebec,Winter wheat,32200,36.2
2020,Saskatchewan,Barley,3124400,68.7
2020,Saskatchewan,Canola,11339200,42.7
2020,Saskatchewan,Corn for grain,22500,56.8
2020,Saskatchewan,Dry peas,2321700,39.5
2020,Saskatchewan,Durum wheat,4645600,41.3
2020,Saskatchewan,Flax,766800,23.4
2020,Saskatchewan,Mixed grains,75500,38.6
2020,Saskatchewan,Oats,1855700,91.4
2020,Saskatchewan,Rye,143900,41.0
2020,Saskatchewan,Soybeans,126700,20.0
2020,Saskatchewan,Spring wheat,8053000,49.9
2020,Saskatchewan,Wheat (all),12858600,46.7
2020,Saskatchewan,Winter wheat,144900,39.1
2021,Alberta,Barley,3950591,47.4
2021,Alberta,Canola,6685992,28.9
2021,Alberta,Corn for grain,47349,143.1
2021,Alberta,Dry peas,1471231,23.0
2021,Alberta,Durum wheat,1037000,22.8
2021,Alberta,Flax,123223,16.9
2021,Alberta,Mixed grains,234354,45.1
2021,Alberta,Oats,883962,58.7
2021,Alberta,Rye,97681,55.0
2021,Alberta,Spring wheat,5709845,36.8
2021,Alberta,Wheat (all),6951394,34.9
2021,Alberta,Winter wheat,171065,42.4
2021,British Columbia,Barley,74721,41.0
2021,British Columbia,Canola,103340,28.6
2021,British Columbia,Corn for grain,6958,
2021,British Columbia,Dry peas,47174,23.2
2021,British Columbia,Mixed grains,11396,66.5
2021,British Columbia,Oats,81486,76.4
2021,British Columbia,Rye,5285,
2021,British Columbia,Spring wheat,54227,34.1
2021,British Columbia,Wheat (all),66932,37.2
2021,British Columbia,Winter wheat,9125,56.9
2021,Manitoba,Barley,419797,54.8
2021,Manitoba,Canola,3424226,36.4
2021,Manitoba,Corn for grain,442248,95.5
2021,Manitoba,Dry peas,212969,34.9
2021,Manitoba,Durum wheat,15390,40.0
2021,Manitoba,Flax,90159,17.4
2021,Manitoba,Mixed grains,47096,35.4
2021,Manitoba,Oats,743384,74.3
2021,Manitoba,Rye,104703,56.0
2021,Manitoba,Soybeans,1287330,29.2
2021,Manitoba,Spring wheat,2841819,47.9
2021,Manitoba,Wheat (all),2911092,47.9
2021,Manitoba,Winter wheat,42509,51.8
2021,New Brunswick,Barley,16924,62.0
2021,New Brunswick,Corn for grain,8321,137.4
2021,New Brunswick,Mixed grains,1108,
2021,New Brunswick,Oats,31460,89.9
2021,New Brunswick,Rye,2776,
2021,New Brunswick,Soybeans,7837,41.9
2021,New Brunswick,Spring wheat,5370,56.1
2021,New Brunswick,Wheat (all),6900,58.5
2021,New Brunswick,Winter wheat,1474,70.5
2021,Nova Scotia,Barley,3403,64.0
2021,Nova Scotia,Corn for grain,16024,137.7
2021,Nova Scotia,Mixed grains,1081,72.2
2021,Nova Scotia,Oats,3373,78.1
2021,Nova Scotia,Rye,2074,42.6
2021,Nova Scotia,Soybeans,10866,53.6
2021,Nova Scotia,Wheat (all),12160,67.1
2021,Nova Scotia,Winter wheat,7919,74.1
2021,Ontario,Barley,68756,66.3
2021,Ontario,Canola,43079,43.0
2021,Ontario,Corn for grain,2202465,175.2
2021,Ontario,Dry peas,9060,34.0
2021,Ontario,Durum wheat,3920,
2021,Ontario,Mixed grains,59961,59.3
2021,Ontario,Oats,84320,89.3
2021,Ontario,Rye,116061,52.3
2021,Ontario,Soybeans,2806255,51.9
2021,Ontario,Spring wheat,113046,54.1
2021,Ontario,Wheat (all),1304964,87.6
2021,Ontario,Winter wheat,1144406,90.9
