Year,Crop,Variety,Acres,Yield_bu_ac
2023,Field Peas,PATRICK CDC,759,23.4
2023,Flax,BETHUNE CDC,2638,12.3
2023,Flax,GLAS CDC,5100,16.0
2023,Flax,ROWLAND CDC,5161,14.4
2023,Flax,SORREL CDC,3897,7.7
2023,Flax,TOPAZ,1371,8.1
2023,Red Lentils,DAZIL CDC,2844,617
2023,Red Lentils,IMPULSE,26552,1021
2023,Red Lentils,MAXIM CDC,18764,825
2023,Red Lentils,NIMBLE,2421,705
2023,Red Lentils,PROCLAIM CDC,6733,1208
2023,Red Lentils,REDMOON,3961,732
2023,Red Lentils,SIMMIE CDC,4312,800
2023,Oats,ARBORG CDC,999,33.2
2023,Oats,DANCER CDC,460,37.0
2023,Oats,HAYMAKER CDC,457,37.8
2023,Durum,ALLOY CDC,57227,22.8
2023,Durum,BRIGADE,35513,26.4
2023,Durum,COMMANDER,10088,39.3
2023,Durum,CONGRESS AAC,11304,31.9
2023,Durum,CREDENCE CDC,4379,29.6
2023,Durum,CURRENT AAC,5317,25.9
2023,Durum,DEFY CDC,69308,36.1
2023,Durum,DONLOW AAC,15144,19.9
2023,Durum,DYNAMIC CDC,1850,17.1
2023,Durum,FLARE CDC,3555,21.0
2023,Durum,FORTITUDE CDC,4109,21.4
2023,Durum,GRAINLAND AAC,34528,17.4
2023,Durum,KYLE,4139,13.6
2023,Durum,PRECISION CDC,70157,23.6
2023,Durum,RAYMORE AAC,970,12.6
2023,Durum,SCHRADER AAC,1370,17.7
2023,Durum,SPITFIRE AAC,20437,25.9
2023,Durum,STRONGFIELD,7083,17.9
2023,Durum,STRONGHOLD AAC,10275,18.4
2023,Durum,SUCCEED AAC VB,5155,30.2
2023,Durum,TRANSCEND,242693,18.5
2023,Durum,VANTTA CDC,790,20.5
2023,Durum,VERONA CDC,4926,32.0
2023,Durum,WEYBURN VB AAC,4718,27.7
2023,Spring Wheat,ADAMANT,2602,18.2
2023,Spring Wheat,BRANDON AAC,9558,27.2
2023,Spring Wheat,HOCKLEY AAC,1395,20.5
2023,Spring Wheat,LANDMARK CDC,3475,30.5
2023,Spring Wheat,PLENTIFUL CDC,1644,21.4
2023,Spring Wheat,REDNET,1010,18.1
2023,Spring Wheat,TISDALE AAC,515,26.7
2023,Spring Wheat,UTMOST CDC,3746,19.6
2023,Spring Wheat,VIEWFIELD AAC,7015,13.5
2023,Spring Wheat,WASKADA,1507,18.4
2024,Barley,ADVANTAGE AB,622,32.4
2024,Barley,AUSTENSON CDC,10470,31.8
2024,Barley,CHAMPION,860,46.3
2024,Barley,COPELAND CDC,5834,42.1
2024,Barley,COWBOY CDC,575,18.9
2024,Barley,FRASER CDC,2413,53.6
2024,Barley,MAVERICK CDC,7398,39.6
2024,Barley,RENEGADE CDC,2630,54.7
2024,Barley,SYNERGY AAC,18878,40.6
2024,Canola,BY 7204LL,459,30.4
2024,Canola,DK400TL,655,7.7
2024,Canola,DK800LL,558,18.8
2024,Canola,DKTFLL 21 SC,4246,17.1
2024,Canola,L233P,52360,16.9
2024,Canola,L340PC,171308,17.0
2024,Canola,L343PC,1915,16.1
2024,Canola,L345PC,61251,19.7
2024,Canola,L356PC,24072,18.7
2024,Canola,LR354PC,2937,16.8
2024,Canola,P520L,832,19.9
2024,Field Peas,AMARILLO CDC,3694,16.3
2024,Field Peas,ARDILL AAC,7724,19.6
2024,Field Peas,CARVER AAC,568,17.0
2024,Field Peas,CHROME AAC,2289,15.5
2024,Field Peas,FOREST CDC,4024,21.9
2024,Field Peas,GOLDEN CDC,2164,17.7
2024,Field Peas,HICKIE CDC,1151,13.8
2024,Field Peas,INCA CDC,8398,23.3
2024,Field Peas,JULIUS AAC,600,27.4
2024,Field Peas,LEWOCHKO CDC,1721,29.8
2024,Field Peas,LIMERICK CDC,2581,15.7
2024,Field Peas,MEADOW CDC,20384,18.8
2024,Flax,BETHUNE CDC,2631,15.6
2024,Flax,DORADO CDC,1460,13.7
2024,Flax,GLAS CDC,1119,8.7
2024,Flax,ROWLAND CDC,5452,11.1
2024,Flax,SORREL CDC,2353,10.9
2024,Flax,TOPAZ,2460,6.7
2024,Red Lentils,DAZIL CDC,1802,430
2024,Red Lentils,IMPACT CDC,1518,1279
2024,Red Lentils,IMPULSE,26364,862
2024,Red Lentils,MAXIM CDC,13304,637
2024,Red Lentils,NIMBLE,1608,1149
2024,Red Lentils,PROCLAIM CDC,3973,1129
2024,Red Lentils,REDMOON,887,679
2024,Red Lentils,SIMMIE CDC,7466,853
2024,Oats,ARBORG CDC,972,25.4
2024,Oats,HAYMAKER CDC,874,30.2
2024,Durum,ALLOY CDC,48158,19.7
2024,Durum,BRIGADE,18924,33.1
2024,Durum,COMMANDER,10621,26.3
2024,Durum,CONGRESS AAC,11740,28.4
2024,Durum,COVERT CDC,4716,30.3
2024,Durum,CREDENCE CDC,550,44.3
2024,Durum,CURRENT AAC,5880,18.7
2024,Durum,DEFY CDC,195486,28.7
2024,Durum,DONLOW AAC,27164,24.8
2024,Durum,DYNAMIC CDC,992,34.7
2024,Durum,FLARE CDC,14380,26.4
2024,Durum,FORTITUDE CDC,4742,26.4
2024,Durum,GRAINLAND AAC,46095,22.1
2024,Durum,KYLE,1968,20.3
2024,Durum,PRECISION CDC,49503,22.5
2024,Durum,SCHRADER AAC,4915,21.5
2024,Durum,SPITFIRE AAC,19719,23.5
2024,Durum,STRONGFIELD,3737,22.1
2024,Durum,STRONGHOLD AAC,28887,20.4
2024,Durum,SUCCEED AAC VB,5785,25.3
2024,Durum,TRANSCEND,219997,19.8
2024,Durum,VANTTA CDC,1854,29.0
2024,Durum,VERONA CDC,1434,30.6
2024,Durum,WEYBURN VB AAC,7768,29.5
2024,Spring Wheat,ADAMANT,2844,18.6
2024,Spring Wheat,BRANDON AAC,10526,29.4
2024,Spring Wheat,LANDMARK CDC,3613,26.6
2024,Spring Wheat,PLENTIFUL CDC,1048,20.3
2024,Spring Wheat,REDNET,666,22.3
2024,Spring Wheat,TISDALE AAC,1397,19.9
2024,Spring Wheat,UTMOST CDC,2275,18.4
2024,Spring Wheat,VIEWFIELD AAC,5462,23.1
2024,Spring Wheat,WASKADA,1326,22.5
2025,Barley,ADVANTAGE AB,406,58.4
2025,Barley,AUSTENSON CDC,8917,49.0
2025,Barley,CHAMPION,1056,51.6
2025,Barley,COPELAND CDC,4273,54.6
2025,Barley,COWBOY CDC,1069,26.3
2025,Barley,FRASER CDC,1286,77.1
2025,Barley,MAVERICK CDC,7154,35.4
2025,Barley,RENEGADE CDC,2540,31.7
2025,Barley,SYNERGY AAC,18677,48.5
2025,Canola,BY 6211TF,1523,29.5
2025,Canola,BY 7204LL,2715,39.7
2025,Canola,DK 801 LL,4742,44.6
2025,Canola,DK400TL,3535,32.7
2025,Canola,DK401TK,2421,37.4
2025,Canola,DK800LL,1855,59.3
2025,Canola,DKTFLL 21 SC,674,45.0
2025,Canola,L233P,39989,39.8
2025,Canola,L330PC,14762,42.2
2025,Canola,L333PC,8111,48.6
2025,Canola,L340PC,172800,38.1
2025,Canola,L341PC,2127,45.8
2025,Canola,L343PC,540,44.8
2025,Canola,L345PC,24257,36.9
2025,Canola,L356PC,26893,39.7
2025,Canola,LR354PC,1330,44.8
2025,Canola,P1540L,580,53.1
2025,Canola,P520L,6445,38.7
2025,Field Peas,ABERDEEN AAC,2895,28.7
2025,Field Peas,ACER,1140,50.2
2025,Field Peas,AMARILLO CDC,2915,29.9
2025,Field Peas,ARDILL AAC,11516,36.3
2025,Field Peas,BOOST PS,1022,39.6
2025,Field Peas,CARVER AAC,1769,32.4
2025,Field Peas,CHROME AAC,905,35.0
2025,Field Peas,CITRINE CDC,520,43.1
2025,Field Peas,FOREST CDC,2920,51.4
2025,Field Peas,GOLDEN CDC,581,22.8
2025,Field Peas,GREENWATER,590,17.9
2025,Field Peas,HICKIE CDC,1840,24.0
2025,Field Peas,INCA CDC,6229,42.3
2025,Field Peas,JULIUS AAC,1700,29.0
2025,Field Peas,LEWOCHKO CDC,1546,51.9
2025,Field Peas,LIMERICK CDC,3234,14.8
2025,Field Peas,MEADOW CDC,27035,29.1
2025,Field Peas,PATRICK CDC,2049,20.5
2025,Field Peas,SPRUCE CDC,836,38.7
2025,Field Peas,STRIKER CDC,2048,38.4
2025,Field Peas,TOLLEFSON CDC,420,53.1
2025,Flax,BETHUNE CDC,1873,26.6
2025,Flax,BRAVO AAC,805,19.0
2025,Flax,DORADO CDC,3555,26.3
2025,Flax,GLAS CDC,6965,29.3
2025,Flax,ROWLAND CDC,14142,30.3
2025,Flax,SORREL CDC,3526,27.9
2025,Flax,TOPAZ,4388,19.3
2025,Red Lentils,DAZIL CDC,635,1268
2025,Red Lentils,IMPACT CDC,1916,1340
2025,Red Lentils,IMPULSE,18563,1578
2025,Red Lentils,MAXIM CDC,11091,1343
2025,Red Lentils,NIMBLE,6515,2341
2025,Red Lentils,PROCLAIM CDC,8955,1532
2025,Red Lentils,REDMOON,1631,2017
2025,Red Lentils,SIMMIE CDC,7890,1367
2025,Oats,ARBORG CDC,1018,83.9
2025,Oats,DANCER CDC,1020,83.3
2025,Oats,HAYMAKER CDC,1054,88.1
2025,Oats,MORGAN AC,435,75.1
2025,Durum,ALLOY CDC,42470,30.8
2025,Durum,BRIGADE,14887,39.9
2025,Durum,COMMANDER,10247,70.0
2025,Durum,CONGRESS AAC,5792,41.0
2025,Durum,COVERT CDC,3689,42.4
2025,Durum,CREDENCE CDC,1380,31.9
2025,Durum,CURRENT AAC,4815,28.5
2025,Durum,DEFY CDC,209078,44.2
2025,Durum,DONLOW AAC,25282,38.8
2025,Durum,DYNAMIC CDC,2516,33.0
2025,Durum,EVIDENT CDC,7016,49.5
2025,Durum,FLARE CDC,12265,29.9
2025,Durum,FORTITUDE CDC,4164,39.3
2025,Durum,GRAINLAND AAC,43126,31.3
2025,Durum,KYLE,5147,25.3
2025,Durum,PRECISION CDC,40198,36.9
2025,Durum,RAYMORE AAC,766,24.2
2025,Durum,SCHRADER AAC,4287,35.5
2025,Durum,SPITFIRE AAC,11188,27.6
2025,Durum,STRONGFIELD,12940,29.6
2025,Durum,STRONGHOLD AAC,29023,32.1
2025,Durum,SUCCEED AAC VB,4619,31.7
2025,Durum,TRANSCEND,181511,26.5
2025,Durum,VANTTA CDC,8575,46.3
2025,Durum,VERONA CDC,966,25.5
2025,Durum,WEYBURN VB AAC,7834,43.7
2025,Durum,WISETON CDC,465,40.7
2025,Spring Wheat,ADAMANT,480,26.9
2025,Spring Wheat,BRANDON AAC,9505,33.1
2025,Spring Wheat,HOCKLEY AAC,4301,28.7
2025,Spring Wheat,LANDMARK CDC,3515,13.6
2025,Spring Wheat,PLENTIFUL CDC,622,18.7
2025,Spring Wheat,REDNET,808,26.4
2025,Spring Wheat,TISDALE AAC,1803,26.6
2025,Spring Wheat,UTMOST CDC,3034,18.8
2025,Spring Wheat,VIEWFIELD AAC,5513,30.9
2025,Spring Wheat,WASKADA,1273,29.3
