Year	Municipality	Crop	Variety	Farms	Acres	Yield/Acre	(Metric)	Yield/Acre	(Imperial)
2020	BRENDA-WASKADA	RED SPRING WHEAT	AAC BRANDON (BW 932)	48	32,563.0	1.761	Tonnes	64.7	Bushels
2020	BRENDA-WASKADA	RED SPRING WHEAT	AAC CAMERON VB <CANTERRA>	3	1,079.0	1.715	Tonnes	63.0	Bushels
2020	BRENDA-WASKADA	RED SPRING WHEAT	AAC ELIE(BW931)	22	10,997.0	1.687	Tonnes	62.0	Bushels
2020	BRENDA-WASKADA	RED SPRING WHEAT	AAC REDBERRY	4	892.0	1.760	Tonnes	64.7	Bushels
2020	BRENDA-WASKADA	RED SPRING WHEAT	AAC TISDALE (PT250)	Below	Minimum	Tolerance	 	 	 
2020	BRENDA-WASKADA	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	Below	Minimum	Tolerance	 	 	 
2020	BRENDA-WASKADA	RED SPRING WHEAT	CARBERRY (BW874)	Below	Minimum	Tolerance	 	 	 
2020	BRENDA-WASKADA	RED SPRING WHEAT	SY TORACH <SYNGENTA>	Below	Minimum	Tolerance	 	 	 
2020	BROKENHEAD	RED SPRING WHEAT	AAC BRANDON (BW 932)	35	8,067.0	1.775	Tonnes	65.2	Bushels
2020	BROKENHEAD	RED SPRING WHEAT	AAC ELIE(BW931)	14	3,526.0	1.874	Tonnes	68.9	Bushels
2020	BROKENHEAD	RED SPRING WHEAT	AAC TISDALE (PT250)	Below	Minimum	Tolerance	 	 	 
2020	BROKENHEAD	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	25	6,821.0	2.101	Tonnes	77.2	Bushels
2020	BROKENHEAD	RED SPRING WHEAT	BOLLES <SEED DEPOT>	Below	Minimum	Tolerance	 	 	 
2020	BROKENHEAD	RED SPRING WHEAT	CARBERRY (BW874)	Below	Minimum	Tolerance	 	 	 
2020	BROKENHEAD	RED SPRING WHEAT	CARDALE (BW429)	6	792.0	1.759	Tonnes	64.6	Bushels
2020	BROKENHEAD	RED SPRING WHEAT	CDC STANLEY (BW880)	4	1,287.0	1.268	Tonnes	46.6	Bushels
2020	BROKENHEAD	RED SPRING WHEAT	CDC TITANIUM <PROVEN>	Below	Minimum	Tolerance	 	 	 
2020	BROKENHEAD	RED SPRING WHEAT	CS DAYBREAK <CANTERRA>	Below	Minimum	Tolerance	 	 	 
2020	BROKENHEAD	RED SPRING WHEAT	GLENN	Below	Minimum	Tolerance	 	 	 
2020	BROKENHEAD	RED SPRING WHEAT	SY TORACH <SYNGENTA>	Below	Minimum	Tolerance	 	 	 
2020	CARTIER	RED SPRING WHEAT	AAC BRANDON (BW 932)	49	22,335.0	1.845	Tonnes	67.8	Bushels
2020	CARTIER	RED SPRING WHEAT	AAC ELIE(BW931)	Below	Minimum	Tolerance	 	 	 
2020	CARTIER	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	3	875.0	1.742	Tonnes	64.0	Bushels
2020	CARTIER	RED SPRING WHEAT	CARBERRY (BW874)	Below	Minimum	Tolerance	 	 	 
2020	CARTIER	RED SPRING WHEAT	CARDALE (BW429)	Below	Minimum	Tolerance	 	 	 
2020	CARTIER	RED SPRING WHEAT	CDC LANDMARK	Below	Minimum	Tolerance	 	 	 
2020	CARTIER	RED SPRING WHEAT	CS DAYBREAK <CANTERRA>	Below	Minimum	Tolerance	 	 	 
2020	CARTIER	RED SPRING WHEAT	SY GABBRO <SYNGENTA>	Below	Minimum	Tolerance	 	 	 
2020	CARTIER	RED SPRING WHEAT	SY TORACH <SYNGENTA>	Below	Minimum	Tolerance	 	 	 
2020	CARTIER	RED SPRING WHEAT	WR859 CL (BW859)	Below	Minimum	Tolerance	 	 	 
2020	CARTWRIGHT-ROBLIN	RED SPRING WHEAT	AAC BRANDON (BW 932)	41	14,566.0	1.684	Tonnes	61.9	Bushels
2020	CARTWRIGHT-ROBLIN	RED SPRING WHEAT	AAC ELIE(BW931)	7	1,593.0	1.525	Tonnes	56.0	Bushels
2020	CARTWRIGHT-ROBLIN	RED SPRING WHEAT	AAC REDBERRY	9	2,716.0	1.622	Tonnes	59.6	Bushels
2020	CARTWRIGHT-ROBLIN	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	Below	Minimum	Tolerance	 	 	 
2020	CARTWRIGHT-ROBLIN	RED SPRING WHEAT	AAC WHEATLAND <SECAN>	Below	Minimum	Tolerance	 	 	 
2020	CARTWRIGHT-ROBLIN	RED SPRING WHEAT	CARBERRY (BW874)	Below	Minimum	Tolerance	 	 	 
2020	CARTWRIGHT-ROBLIN	RED SPRING WHEAT	CDC HUGHES <CPSC> |PT588|	Below	Minimum	Tolerance	 	 	 
2020	CARTWRIGHT-ROBLIN	RED SPRING WHEAT	CDC PLENTIFUL (PT580)	6	1,542.0	1.464	Tonnes	53.8	Bushels
2020	CARTWRIGHT-ROBLIN	RED SPRING WHEAT	SY 433 <SYNGENTA> (BW433)	Below	Minimum	Tolerance	 	 	 
2020	CLANWILLIAM-ERICKSON	RED SPRING WHEAT	AAC BRANDON (BW 932)	Below	Minimum	Tolerance	 	 	 
2020	CLANWILLIAM-ERICKSON	RED SPRING WHEAT	AAC REDBERRY	8	2,360.0	1.247	Tonnes	45.8	Bushels
2020	CLANWILLIAM-ERICKSON	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	4	1,656.0	1.292	Tonnes	47.5	Bushels
2020	CLANWILLIAM-ERICKSON	RED SPRING WHEAT	BOLLES <SEED DEPOT>	Below	Minimum	Tolerance	 	 	 
2020	CLANWILLIAM-ERICKSON	RED SPRING WHEAT	CDC HUGHES <CPSC> |PT588|	Below	Minimum	Tolerance	 	 	 
2020	CLANWILLIAM-ERICKSON	RED SPRING WHEAT	CDC PLENTIFUL (PT580)	Below	Minimum	Tolerance	 	 	 
2020	CLANWILLIAM-ERICKSON	RED SPRING WHEAT	CDC TITANIUM <PROVEN>	Below	Minimum	Tolerance	 	 	 
2020	COLDWELL	RED SPRING WHEAT	AAC BRANDON (BW 932)	Below	Minimum	Tolerance	 	 	 
2020	COLDWELL	RED SPRING WHEAT	AC BARRIE (BW 661)	Below	Minimum	Tolerance	 	 	 
2020	CORNWALLIS	RED SPRING WHEAT	AAC BRANDON (BW 932)	27	10,116.0	1.345	Tonnes	49.4	Bushels
2020	CORNWALLIS	RED SPRING WHEAT	AAC ELIE(BW931)	Below	Minimum	Tolerance	 	 	 
2020	CORNWALLIS	RED SPRING WHEAT	AAC TISDALE (PT250)	Below	Minimum	Tolerance	 	 	 
2020	CORNWALLIS	RED SPRING WHEAT	BOLLES <SEED DEPOT>	Below	Minimum	Tolerance	 	 	 
2020	DAUPHIN	RED SPRING WHEAT	AAC BRANDON (BW 932)	64	32,850.5	1.789	Tonnes	65.7	Bushels
2020	DAUPHIN	RED SPRING WHEAT	AAC CAMERON VB <CANTERRA>	5	1,562.0	1.708	Tonnes	62.8	Bushels
2020	DAUPHIN	RED SPRING WHEAT	AAC REDBERRY	5	1,094.0	1.982	Tonnes	72.8	Bushels
2020	DAUPHIN	RED SPRING WHEAT	AAC STARBUCK <SECAN>	Below	Minimum	Tolerance	 	 	 
2020	DAUPHIN	RED SPRING WHEAT	AAC TISDALE (PT250)	12	2,458.0	1.432	Tonnes	52.6	Bushels
2020	DAUPHIN	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	16	5,681.0	1.886	Tonnes	69.3	Bushels
2020	DAUPHIN	RED SPRING WHEAT	AC BARRIE (BW 661)	Below	Minimum	Tolerance	 	 	 
2020	DAUPHIN	RED SPRING WHEAT	BOLLES <SEED DEPOT>	Below	Minimum	Tolerance	 	 	 
2020	DAUPHIN	RED SPRING WHEAT	CARDALE (BW429)	11	3,893.0	1.875	Tonnes	68.9	Bushels
2020	DAUPHIN	RED SPRING WHEAT	CDC PLENTIFUL (PT580)	Below	Minimum	Tolerance	 	 	 
2020	DAUPHIN	RED SPRING WHEAT	CDC STANLEY (BW880)	Below	Minimum	Tolerance	 	 	 
2020	DAUPHIN	RED SPRING WHEAT	CDC VR MORRIS (BW423)	Below	Minimum	Tolerance	 	 	 
2020	DAUPHIN	RED SPRING WHEAT	CS DAYBREAK <CANTERRA>	Below	Minimum	Tolerance	 	 	 
2020	DAUPHIN	RED SPRING WHEAT	GLENN	3	731.0	1.657	Tonnes	60.9	Bushels
2020	DAUPHIN	RED SPRING WHEAT	WASKADA (BW 357)	Below	Minimum	Tolerance	 	 	 
2020	DELORAINE-WINCHESTER	RED SPRING WHEAT	AAC BRANDON (BW 932)	40	18,106.0	1.681	Tonnes	61.8	Bushels
2020	DELORAINE-WINCHESTER	RED SPRING WHEAT	AAC ELIE(BW931)	5	2,930.0	2.004	Tonnes	73.6	Bushels
2020	DELORAINE-WINCHESTER	RED SPRING WHEAT	AAC REDBERRY	9	4,381.0	2.024	Tonnes	74.4	Bushels
2020	DELORAINE-WINCHESTER	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	Below	Minimum	Tolerance	 	 	 
2020	DELORAINE-WINCHESTER	RED SPRING WHEAT	BOLLES <SEED DEPOT>	3	503.0	1.735	Tonnes	63.8	Bushels
2020	DELORAINE-WINCHESTER	RED SPRING WHEAT	CARBERRY (BW874)	3	1,206.0	1.295	Tonnes	47.6	Bushels
2020	DELORAINE-WINCHESTER	RED SPRING WHEAT	CDC HUGHES <CPSC> |PT588|	Below	Minimum	Tolerance	 	 	 
2020	DESALABERRY	RED SPRING WHEAT	AAC BRANDON (BW 932)	52	16,404.0	1.860	Tonnes	68.3	Bushels
2020	DESALABERRY	RED SPRING WHEAT	AAC ELIE(BW931)	3	1,020.0	1.749	Tonnes	64.2	Bushels
2020	DESALABERRY	RED SPRING WHEAT	AAC STARBUCK <SECAN>	Below	Minimum	Tolerance	 	 	 
2020	DESALABERRY	RED SPRING WHEAT	AAC TISDALE (PT250)	7	1,618.0	1.906	Tonnes	70.0	Bushels
2020	DESALABERRY	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	Below	Minimum	Tolerance	 	 	 
2020	DESALABERRY	RED SPRING WHEAT	CARDALE (BW429)	5	3,379.0	1.876	Tonnes	68.9	Bushels
2020	DESALABERRY	RED SPRING WHEAT	CS DAYBREAK <CANTERRA>	Below	Minimum	Tolerance	 	 	 
2020	DUFFERIN	RED SPRING WHEAT	AAC BRANDON (BW 932)	73	19,379.0	1.899	Tonnes	69.8	Bushels
2020	DUFFERIN	RED SPRING WHEAT	AAC ELIE(BW931)	4	1,105.0	1.984	Tonnes	72.9	Bushels
2020	DUFFERIN	RED SPRING WHEAT	AAC STARBUCK <SECAN>	Below	Minimum	Tolerance	 	 	 
2020	DUFFERIN	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	3	1,257.0	1.404	Tonnes	51.6	Bushels
2020	DUFFERIN	RED SPRING WHEAT	BOLLES <SEED DEPOT>	10	1,441.0	2.038	Tonnes	74.9	Bushels
2020	DUFFERIN	RED SPRING WHEAT	CARDALE (BW429)	4	772.0	2.049	Tonnes	75.3	Bushels
2020	DUFFERIN	RED SPRING WHEAT	SY GABBRO <SYNGENTA>	Below	Minimum	Tolerance	 	 	 
2020	DUFFERIN	RED SPRING WHEAT	SY TORACH <SYNGENTA>	Below	Minimum	Tolerance	 	 	 
2020	EAST ST PAUL	RED SPRING WHEAT	AAC BRANDON (BW 932)	Below	Minimum	Tolerance	 	 	 
2020	ELLICE-ARCHIE	RED SPRING WHEAT	AAC ALIDA (BW980)	3	822.0	1.505	Tonnes	55.3	Bushels
2020	ELLICE-ARCHIE	RED SPRING WHEAT	AAC BRANDON (BW 932)	21	7,868.0	1.610	Tonnes	59.2	Bushels
2020	ELLICE-ARCHIE	RED SPRING WHEAT	AAC ELIE(BW931)	6	2,854.0	1.479	Tonnes	54.3	Bushels
2020	ELLICE-ARCHIE	RED SPRING WHEAT	AAC LEROY VB <ALLIANCE>	Below	Minimum	Tolerance	 	 	 
2020	ELLICE-ARCHIE	RED SPRING WHEAT	AAC REDBERRY	5	883.0	1.789	Tonnes	65.7	Bushels
2020	ELLICE-ARCHIE	RED SPRING WHEAT	AAC STARBUCK <SECAN>	Below	Minimum	Tolerance	 	 	 
2020	ELLICE-ARCHIE	RED SPRING WHEAT	AAC TISDALE (PT250)	Below	Minimum	Tolerance	 	 	 
2020	ELLICE-ARCHIE	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	4	4,606.0	1.719	Tonnes	63.2	Bushels
2020	ELLICE-ARCHIE	RED SPRING WHEAT	AAC WHEATLAND <SECAN>	3	1,219.0	2.036	Tonnes	74.8	Bushels
2020	ELLICE-ARCHIE	RED SPRING WHEAT	BOLLES <SEED DEPOT>	6	1,323.0	1.640	Tonnes	60.3	Bushels
2020	ELLICE-ARCHIE	RED SPRING WHEAT	CARBERRY (BW874)	Below	Minimum	Tolerance	 	 	 
2020	ELLICE-ARCHIE	RED SPRING WHEAT	CDC HUGHES <CPSC> |PT588|	Below	Minimum	Tolerance	 	 	 
2020	ELLICE-ARCHIE	RED SPRING WHEAT	CDC LANDMARK	6	1,691.0	1.775	Tonnes	65.2	Bushels
2020	ELLICE-ARCHIE	RED SPRING WHEAT	CDC PLENTIFUL (PT580)	4	713.0	1.769	Tonnes	65.0	Bushels
2020	ELLICE-ARCHIE	RED SPRING WHEAT	GLENN	Below	Minimum	Tolerance	 	 	 
2020	ELTON	RED SPRING WHEAT	AAC ALIDA (BW980)	Below	Minimum	Tolerance	 	 	 
2020	ELTON	RED SPRING WHEAT	AAC BRANDON (BW 932)	65	34,229.0	1.777	Tonnes	65.3	Bushels
2020	ELTON	RED SPRING WHEAT	AAC CAMERON VB <CANTERRA>	Below	Minimum	Tolerance	 	 	 
2020	ELTON	RED SPRING WHEAT	AAC ELIE(BW931)	Below	Minimum	Tolerance	 	 	 
2020	ELTON	RED SPRING WHEAT	AAC STARBUCK <SECAN>	Below	Minimum	Tolerance	 	 	 
2020	ELTON	RED SPRING WHEAT	AAC TISDALE (PT250)	Below	Minimum	Tolerance	 	 	 
2020	ELTON	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	10	2,119.0	1.693	Tonnes	62.2	Bushels
2020	ELTON	RED SPRING WHEAT	CDC PLENTIFUL (PT580)	Below	Minimum	Tolerance	 	 	 
2020	ELTON	RED SPRING WHEAT	HARVEST (BW259)	Below	Minimum	Tolerance	 	 	 
2020	EMERSON-FRANKLIN	RED SPRING WHEAT	5604HR CL (BW 878)	Below	Minimum	Tolerance	 	 	 
2020	EMERSON-FRANKLIN	RED SPRING WHEAT	AAC BRANDON (BW 932)	49	26,321.0	1.572	Tonnes	57.8	Bushels
2020	EMERSON-FRANKLIN	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	3	1,105.0	1.892	Tonnes	69.5	Bushels
2020	EMERSON-FRANKLIN	RED SPRING WHEAT	BOLLES <SEED DEPOT>	Below	Minimum	Tolerance	 	 	 
2020	EMERSON-FRANKLIN	RED SPRING WHEAT	CARBERRY (BW874)	Below	Minimum	Tolerance	 	 	 
2020	EMERSON-FRANKLIN	RED SPRING WHEAT	CARDALE (BW429)	Below	Minimum	Tolerance	 	 	 
2020	EMERSON-FRANKLIN	RED SPRING WHEAT	SY GABBRO <SYNGENTA>	Below	Minimum	Tolerance	 	 	 
2020	ETHELBERT	RED SPRING WHEAT	AAC BRANDON (BW 932)	7	3,494.0	1.444	Tonnes	53.0	Bushels
2020	ETHELBERT	RED SPRING WHEAT	AAC ELIE(BW931)	Below	Minimum	Tolerance	 	 	 
2020	ETHELBERT	RED SPRING WHEAT	AAC REDBERRY	Below	Minimum	Tolerance	 	 	 
2020	ETHELBERT	RED SPRING WHEAT	AAC TISDALE (PT250)	Below	Minimum	Tolerance	 	 	 
2020	ETHELBERT	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	Below	Minimum	Tolerance	 	 	 
2020	ETHELBERT	RED SPRING WHEAT	AC DOMAIN (BW 148)	Below	Minimum	Tolerance	 	 	 
2020	ETHELBERT	RED SPRING WHEAT	CARDALE (BW429)	Below	Minimum	Tolerance	 	 	 
2020	ETHELBERT	RED SPRING WHEAT	CDC STANLEY (BW880)	Below	Minimum	Tolerance	 	 	 
2020	FISHER	RED SPRING WHEAT	AAC BRANDON (BW 932)	37	9,562.0	1.576	Tonnes	57.9	Bushels
2020	FISHER	RED SPRING WHEAT	AAC CAMERON VB <CANTERRA>	Below	Minimum	Tolerance	 	 	 
2020	FISHER	RED SPRING WHEAT	AAC ELIE(BW931)	Below	Minimum	Tolerance	 	 	 
2020	FISHER	RED SPRING WHEAT	AAC REDBERRY	Below	Minimum	Tolerance	 	 	 
2020	FISHER	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	7	2,684.0	2.045	Tonnes	75.1	Bushels
2020	FISHER	RED SPRING WHEAT	CARDALE (BW429)	3	1,242.0	1.250	Tonnes	45.9	Bushels
2020	FISHER	RED SPRING WHEAT	CDC STANLEY (BW880)	5	1,925.0	1.230	Tonnes	45.2	Bushels
2020	FISHER	RED SPRING WHEAT	WASKADA (BW 357)	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	5604HR CL (BW 878)	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	AAC BRANDON (BW 932)	29	12,886.0	1.740	Tonnes	64.0	Bushels
2020	GILBERT PLAINS	RED SPRING WHEAT	AAC CAMERON VB <CANTERRA>	6	2,651.0	1.547	Tonnes	56.8	Bushels
2020	GILBERT PLAINS	RED SPRING WHEAT	AAC ELIE(BW931)	3	1,256.0	1.937	Tonnes	71.2	Bushels
2020	GILBERT PLAINS	RED SPRING WHEAT	AAC LEROY VB <ALLIANCE>	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	AAC REDBERRY	30	16,744.0	1.861	Tonnes	68.4	Bushels
2020	GILBERT PLAINS	RED SPRING WHEAT	AAC TISDALE (PT250)	6	592.0	1.905	Tonnes	70.0	Bushels
2020	GILBERT PLAINS	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	13	4,386.0	2.011	Tonnes	73.9	Bushels
2020	GILBERT PLAINS	RED SPRING WHEAT	AAC WHEATLAND <SECAN>	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	AC DOMAIN (BW 148)	9	2,290.0	1.360	Tonnes	50.0	Bushels
2020	GILBERT PLAINS	RED SPRING WHEAT	BOLLES <SEED DEPOT>	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	CARDALE (BW429)	4	3,104.0	1.778	Tonnes	65.3	Bushels
2020	GILBERT PLAINS	RED SPRING WHEAT	CDC HUGHES <CPSC> |PT588|	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	CDC ORTONA <PROVEN>	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	CDC STANLEY (BW880)	5	2,730.0	1.737	Tonnes	63.8	Bushels
2020	GILBERT PLAINS	RED SPRING WHEAT	CDC VR MORRIS (BW423)	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	GLENN	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	KANE (BW342)	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	SY TORACH <SYNGENTA>	Below	Minimum	Tolerance	 	 	 
2020	GILBERT PLAINS	RED SPRING WHEAT	UNITY VB	Below	Minimum	Tolerance	 	 	 
2020	GIMLI	RED SPRING WHEAT	AAC BRANDON (BW 932)	11	3,119.0	1.906	Tonnes	70.0	Bushels
2020	GIMLI	RED SPRING WHEAT	AAC ELIE(BW931)	Below	Minimum	Tolerance	 	 	 
2020	GIMLI	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	Below	Minimum	Tolerance	 	 	 
2020	GIMLI	RED SPRING WHEAT	CARDALE (BW429)	3	1,095.0	1.698	Tonnes	62.4	Bushels
2020	GIMLI	RED SPRING WHEAT	CDC HUGHES <CPSC> |PT588|	Below	Minimum	Tolerance	 	 	 
2020	GIMLI	RED SPRING WHEAT	CDC TITANIUM <PROVEN>	Below	Minimum	Tolerance	 	 	 
2020	GIMLI	RED SPRING WHEAT	CS DAYBREAK <CANTERRA>	Below	Minimum	Tolerance	 	 	 
2020	GLENBORO-SOUTH CYPRESS	RED SPRING WHEAT	5604HR CL (BW 878)	Below	Minimum	Tolerance	 	 	 
2020	GLENBORO-SOUTH CYPRESS	RED SPRING WHEAT	AAC BRANDON (BW 932)	34	9,422.0	1.614	Tonnes	59.3	Bushels
2020	GLENBORO-SOUTH CYPRESS	RED SPRING WHEAT	AAC TISDALE (PT250)	Below	Minimum	Tolerance	 	 	 
